,race,age,gender
15356,white,child,male
19940,white,child,male
22763,white,adult,male
16672,white,tenager,female
6627,white,tenager,female
33419,black,tenager,female
31480,white,young-adult,female
27739,white,adult,male
7540,white,adult,female
15837,other,tenager,female
7025,asian,adult,male
2326,black,adult,male
27786,asian,tenager,female
19544,white,adult,male
43412,white,adult,female
11116,asian,adult,female
11821,white,tenager,female
35791,black,adult,male
44049,white,tenager,male
36723,white,child,female
21180,white,tenager,female
41841,white,senior,female
22358,white,senior,male
31568,white,adult,male
25222,white,tenager,male
38080,white,senior,female
38086,asian,tenager,female
30952,white,adult,female
42737,other,young-adult,male
21746,white,adult,female
4001,white,tenager,female
10248,white,tenager,female
34131,white,adult,female
7233,white,senior,male
12479,asian,adult,female
20040,white,adult,male
42960,white,child,male
562,white,senior,male
10952,white,adult,male
29064,white,adult,male
3766,native,child,male
16707,white,child,male
21309,white,senior,male
18028,other,adult,male
29325,other,adult,male
14357,white,adult,female
34575,white,child,male
6390,white,senior,female
31963,white,adult,male
29867,white,adult,female
19405,white,adult,male
22040,other,adult,male
41997,other,child,female
1582,white,adult,female
27071,white,adult,male
11353,white,tenager,male
23257,asian,tenager,male
3548,white,senior,female
43910,white,adult,male
4899,white,tenager,female
18939,white,child,male
30610,white,adult,female
30785,white,child,female
16043,other,tenager,female
11363,white,adult,male
7845,white,adult,male
20880,white,adult,male
6549,other,tenager,male
42105,white,senior,male
38956,white,adult,male
11007,white,senior,female
34642,white,senior,female
1184,white,adult,female
31417,white,tenager,female
21771,white,senior,female
36420,white,young-adult,male
44671,other,tenager,male
3876,white,young-adult,female
29909,white,adult,female
24407,asian,tenager,female
21388,white,tenager,male
41311,other,senior,female
11481,white,adult,male
31838,white,adult,male
9701,asian,adult,male
14960,white,adult,female
41390,other,child,male
21656,white,tenager,female
22401,asian,tenager,female
28653,white,senior,female
31212,asian,adult,female
42669,asian,adult,female
37282,white,senior,female
18622,white,adult,male
18352,asian,young-adult,male
41108,black,adult,female
4823,white,adult,female
7389,white,adult,female
38871,white,adult,male
8290,asian,adult,male
38973,white,child,female
20869,white,adult,male
28242,asian,adult,female
8820,white,senior,female
5242,pacific-islander,senior,male
26489,white,adult,female
11769,white,adult,female
44761,white,senior,female
47,white,tenager,male
17347,white,child,female
40478,white,adult,female
4187,white,tenager,male
19609,asian,tenager,female
2593,white,child,male
458,asian,adult,female
21106,white,adult,female
9205,white,young-adult,female
13600,white,adult,female
5083,white,child,male
21884,asian,adult,male
868,native,tenager,male
17793,asian,adult,female
32476,white,adult,male
13893,white,senior,female
40345,white,young-adult,female
27184,other,adult,male
553,white,senior,female
5349,asian,senior,female
31980,white,adult,female
849,white,adult,female
24569,white,adult,female
12527,white,adult,female
10575,white,adult,male
3391,white,adult,female
1178,asian,young-adult,male
32112,asian,senior,female
15944,white,tenager,female
13008,white,child,male
28143,white,tenager,male
4505,white,tenager,male
28209,white,adult,male
13002,white,adult,male
35198,white,senior,male
18619,white,senior,male
4089,white,adult,female
44295,white,adult,male
7202,white,tenager,female
28624,other,adult,male
15432,white,adult,female
10221,white,adult,female
13324,other,child,male
36633,white,adult,female
27467,white,tenager,female
35211,white,adult,male
9087,black,adult,male
3590,black,adult,male
29246,native,tenager,male
27047,black,adult,male
24012,white,adult,female
24408,asian,tenager,male
8343,asian,young-adult,male
29161,white,senior,male
50,white,senior,male
30857,white,young-adult,female
34237,white,senior,male
41698,white,senior,male
12528,white,adult,male
22567,white,adult,male
23255,asian,adult,male
1177,asian,young-adult,male
29694,asian,adult,female
25462,white,adult,male
21779,white,senior,female
10516,other,child,female
21084,black,tenager,male
40609,other,adult,male
41813,white,adult,female
16737,white,adult,male
24246,white,adult,male
7498,white,senior,female
41681,pacific-islander,child,male
9137,asian,young-adult,female
35913,other,adult,female
17492,white,adult,female
3135,white,tenager,female
38963,other,adult,female
3735,white,tenager,female
30346,white,adult,female
5709,white,adult,female
5182,asian,adult,female
44008,other,senior,male
10762,white,senior,female
229,other,tenager,male
39983,other,young-adult,male
30698,black,tenager,female
14549,white,adult,female
12924,white,tenager,male
43174,white,adult,male
9616,white,senior,male
35561,other,young-adult,male
30650,other,child,female
36182,asian,adult,male
20878,white,tenager,female
33862,white,senior,male
17604,white,adult,female
5851,white,child,male
18176,asian,young-adult,male
13299,white,adult,female
22501,white,senior,male
6361,asian,senior,female
10988,asian,tenager,female
29547,white,tenager,female
39266,white,adult,female
17288,white,senior,male
25867,white,adult,male
4091,other,young-adult,male
24310,white,adult,male
41435,pacific-islander,senior,female
41681,pacific-islander,child,male
11270,white,adult,male
40248,other,adult,male
20720,white,adult,female
20380,white,senior,male
33227,white,adult,male
42316,native,young-adult,male
29068,white,adult,male
27613,other,tenager,male
15875,white,senior,female
10936,other,child,male
7000,white,adult,female
13463,native,child,female
34365,asian,adult,female
33563,white,adult,male
41712,white,tenager,male
38557,white,senior,male
7638,white,adult,male
21884,asian,adult,male
34840,asian,adult,male
26245,white,child,male
2405,white,tenager,female
42506,white,adult,male
21117,white,adult,female
37920,other,senior,female
25596,white,senior,female
21884,asian,adult,male
14881,white,adult,female
38271,other,adult,female
38587,other,adult,female
31331,white,adult,male
21874,white,adult,male
34405,white,adult,male
39510,white,tenager,female
34352,white,senior,male
25699,other,adult,female
37828,white,senior,male
253,white,tenager,male
39021,white,senior,female
8861,white,adult,female
5389,white,adult,female
157,other,tenager,female
44169,other,tenager,female
6054,white,adult,female
21709,black,tenager,female
20954,white,adult,male
6494,white,child,female
40868,white,young-adult,female
20450,white,adult,male
13332,asian,young-adult,female
2954,white,young-adult,male
22906,black,adult,female
17812,white,child,male
38051,white,tenager,male
16624,white,tenager,male
29173,asian,adult,female
44169,other,tenager,female
31890,white,senior,female
15949,white,senior,female
32965,asian,adult,female
25664,white,tenager,female
15094,white,tenager,female
2639,white,tenager,female
28435,other,tenager,male
1695,white,adult,female
30708,white,adult,female
2267,black,child,female
15449,asian,adult,male
1547,black,adult,female
36146,other,young-adult,female
34368,white,tenager,female
32231,white,child,male
36931,white,senior,male
8704,native,tenager,male
23875,white,adult,male
28728,other,child,male
16574,white,adult,male
32610,white,adult,female
37076,other,adult,male
13897,white,adult,male
41855,white,adult,female
23147,white,adult,female
32321,black,tenager,female
18250,other,adult,male
14984,other,tenager,female
17162,white,tenager,male
25732,asian,adult,male
28230,other,adult,female
26666,native,senior,female
22080,white,senior,male
5912,white,senior,male
12074,white,senior,male
37137,native,adult,male
20661,white,young-adult,female
22377,white,tenager,female
17171,white,senior,male
34206,white,senior,female
44107,white,adult,female
5554,asian,adult,female
3990,white,adult,female
27785,white,adult,female
34528,white,senior,female
8188,white,senior,female
39031,asian,adult,male
38307,white,tenager,male
24516,other,senior,female
44739,white,senior,male
18089,black,tenager,female
18166,white,senior,female
35058,other,tenager,male
18833,white,adult,male
26610,white,adult,male
33318,white,tenager,female
28779,other,tenager,male
30869,other,tenager,male
32469,white,tenager,female
13980,white,senior,female
15118,white,adult,male
38742,asian,tenager,female
30000,white,adult,male
24020,white,adult,female
43622,white,adult,female
4031,white,senior,male
23780,white,senior,female
12260,black,adult,female
9210,white,senior,male
28158,other,adult,female
19406,white,adult,female
44437,black,adult,male
36761,other,senior,male
26394,white,young-adult,female
25731,asian,adult,female
42421,white,senior,male
43677,white,senior,male
41791,white,adult,male
17458,asian,adult,female
6118,white,senior,male
7205,native,adult,female
40505,white,adult,male
19063,asian,adult,female
23255,asian,adult,male
11165,white,adult,female
18521,white,adult,male
28640,other,tenager,female
29412,white,senior,male
24829,white,adult,female
25330,asian,young-adult,female
7079,white,adult,female
15414,other,adult,male
39941,other,tenager,male
34287,white,adult,female
29631,white,adult,female
33243,asian,adult,female
35933,other,tenager,male
27645,asian,adult,female
16595,native,child,male
37362,asian,senior,male
35276,other,senior,female
17895,pacific-islander,young-adult,male
40613,white,senior,male
28980,white,adult,male
8677,white,adult,male
26948,white,adult,male
33895,white,tenager,male
7439,other,adult,female
44207,white,senior,female
35781,white,tenager,male
5848,white,adult,female
11022,white,adult,male
30598,white,tenager,female
458,asian,adult,female
14922,white,adult,male
11279,white,adult,female
37566,white,adult,male
24170,white,child,female
24061,white,adult,female
136,white,senior,male
15130,asian,young-adult,female
10628,white,senior,male
35949,other,tenager,female
8966,white,senior,female
21193,white,child,female
19609,asian,tenager,female
9009,other,tenager,female
14678,white,senior,female
24080,white,adult,female
39143,white,child,female
12479,asian,adult,female
35075,white,adult,male
6488,asian,adult,female
32416,white,senior,male
37186,asian,adult,female
29052,white,child,male
18444,white,adult,female
32768,white,child,female
41111,black,tenager,female
19319,white,adult,female
23754,white,senior,male
3345,white,tenager,female
40630,other,tenager,male
7176,asian,adult,female
23193,white,senior,male
32678,white,adult,female
8449,white,tenager,female
18184,white,tenager,male
39745,white,senior,female
5105,asian,adult,female
39797,black,tenager,female
5553,asian,adult,male
35073,white,senior,female
43979,white,senior,female
26377,white,senior,male
37020,other,tenager,male
12764,asian,adult,female
17789,asian,young-adult,female
36985,white,adult,male
29272,white,tenager,male
32348,white,adult,female
19247,white,senior,female
30356,white,senior,female
25551,asian,adult,female
29529,white,senior,male
12764,asian,adult,female
34226,white,senior,female
4788,white,adult,male
12767,black,adult,male
43035,white,child,male
24958,white,adult,female
32326,white,adult,female
38224,white,adult,female
39009,pacific-islander,adult,female
20519,white,adult,female
2453,white,adult,male
22368,white,adult,male
34200,white,senior,male
33985,white,senior,female
20013,white,young-adult,female
6109,white,adult,male
33117,white,adult,female
12636,other,tenager,male
13763,other,adult,female
24284,asian,young-adult,male
26273,asian,tenager,male
32324,black,senior,male
44431,asian,tenager,male
31808,white,adult,male
5554,asian,adult,female
19610,black,tenager,male
27521,other,adult,male
37628,other,tenager,female
31368,white,adult,male
11183,white,adult,female
18410,asian,adult,male
32513,other,tenager,male
30531,white,adult,male
35941,other,tenager,male
11115,asian,adult,male
36950,pacific-islander,senior,male
18393,other,adult,male
43449,other,adult,female
41681,pacific-islander,child,male
13921,white,adult,male
41534,black,young-adult,male
8290,asian,adult,male
11591,white,tenager,male
37726,white,senior,male
10298,white,adult,female
10018,white,senior,male
36699,white,adult,male
21499,white,senior,male
37262,white,young-adult,female
39448,white,senior,male
29671,white,adult,male
35814,white,adult,male
42870,asian,adult,female
20446,white,adult,female
18411,asian,adult,female
10695,asian,tenager,male
25410,white,senior,female
27678,white,adult,male
18418,white,senior,female
8931,asian,young-adult,male
18205,asian,young-adult,female
4638,other,senior,female
4334,white,adult,male
14092,other,tenager,male
9641,native,adult,female
25208,white,young-adult,female
618,white,senior,female
6346,white,senior,male
35676,white,senior,male
36092,asian,tenager,male
22064,white,adult,male
34272,other,senior,female
17458,asian,adult,female
23257,asian,tenager,male
20950,native,adult,male
10165,white,adult,male
41437,pacific-islander,adult,male
18640,black,adult,male
43657,white,tenager,female
12247,white,young-adult,female
1446,white,senior,female
6582,black,adult,female
24509,white,adult,male
41188,other,adult,male
25329,asian,adult,male
14553,other,adult,female
31212,asian,adult,female
32007,black,adult,female
22937,white,senior,male
8680,asian,young-adult,female
671,white,adult,female
243,white,senior,male
26115,white,senior,female
25294,white,adult,male
33783,white,adult,female
8248,asian,adult,male
27137,white,tenager,female
20659,white,senior,male
44080,white,tenager,male
2935,white,senior,female
39411,other,adult,male
25001,white,adult,female
41884,white,adult,female
34464,white,adult,female
28242,asian,adult,female
41913,white,adult,female
3978,native,tenager,male
40555,pacific-islander,adult,female
18268,white,young-adult,male
33197,asian,senior,male
38590,other,tenager,male
42163,black,tenager,male
18262,white,tenager,female
40018,white,adult,female
13593,white,adult,female
21083,black,adult,female
35945,other,adult,female
19991,asian,adult,female
17225,white,senior,female
19536,white,senior,male
40899,white,adult,female
30962,white,adult,female
19078,white,adult,male
26468,white,senior,male
4999,white,tenager,female
42352,white,senior,male
24672,white,senior,male
17185,black,child,male
25329,asian,adult,male
39723,white,tenager,female
31858,white,tenager,female
28959,white,young-adult,female
7175,asian,adult,male
25209,white,adult,male
18865,white,adult,male
17418,black,adult,female
23222,white,child,female
898,other,tenager,male
27361,white,adult,female
43411,white,senior,male
18642,black,adult,male
22229,white,adult,female
15949,white,senior,female
8390,white,adult,female
34672,white,adult,female
26561,white,adult,female
40161,other,senior,male
24104,white,adult,female
20464,white,senior,male
12966,white,adult,female
11119,white,tenager,male
42637,white,adult,female
37938,white,adult,male
7106,white,adult,female
6786,white,senior,male
3615,asian,young-adult,male
17180,white,adult,female
703,white,tenager,male
28779,other,tenager,male
11064,white,adult,female
43713,asian,child,male
30965,white,tenager,female
26616,white,adult,male
35393,black,adult,female
35376,white,young-adult,male
38420,black,tenager,male
4364,black,child,female
36547,other,tenager,female
1207,asian,adult,female
6919,asian,adult,female
44458,white,tenager,male
7097,white,adult,male
4114,white,adult,male
43841,other,adult,female
3011,other,adult,male
7463,white,adult,female
8680,asian,young-adult,female
29985,white,adult,female
3530,white,senior,male
36794,white,senior,male
2391,black,young-adult,male
32322,black,tenager,female
29308,white,senior,female
9217,asian,young-adult,male
35909,other,adult,female
20702,white,child,male
34314,white,senior,female
31279,other,adult,female
40632,asian,adult,male
18378,white,senior,male
20754,other,child,male
846,white,young-adult,female
8641,white,young-adult,female
14100,white,adult,male
42878,other,young-adult,female
36933,white,adult,female
32025,asian,young-adult,female
7303,white,adult,female
42669,asian,adult,female
12131,white,adult,male
39165,white,adult,male
25990,white,adult,male
34649,black,tenager,male
28242,asian,adult,female
4493,white,adult,male
25551,asian,adult,female
18915,white,adult,female
26529,white,adult,female
30218,other,tenager,female
13653,white,adult,female
38413,black,adult,female
12826,white,adult,female
17682,asian,tenager,male
23419,white,adult,female
36558,asian,adult,male
37539,white,adult,male
23596,white,adult,female
43647,white,tenager,female
25331,asian,tenager,female
17687,white,adult,male
6919,asian,adult,female
43726,white,adult,male
25036,white,adult,female
24498,asian,adult,female
24207,other,adult,male
5500,white,adult,male
43658,white,tenager,female
23981,black,adult,male
40260,white,senior,female
40315,white,tenager,male
18561,white,adult,male
15195,white,adult,male
33525,white,adult,male
27687,white,senior,male
4952,white,adult,female
32099,native,tenager,female
37976,other,adult,male
4460,black,adult,male
16314,white,tenager,male
14887,asian,adult,female
776,white,senior,female
7612,white,tenager,female
20194,other,adult,male
8733,asian,tenager,female
42199,white,senior,female
13337,white,adult,male
944,asian,young-adult,female
36591,white,adult,female
8436,asian,young-adult,female
23684,white,adult,female
42438,asian,adult,male
24233,white,adult,male
33562,white,adult,female
43415,other,senior,male
5835,white,adult,female
42056,white,tenager,male
13120,asian,adult,male
10692,asian,adult,female
27610,other,adult,male
14361,white,adult,female
5073,white,senior,female
41188,other,adult,male
22290,white,tenager,male
11116,asian,adult,female
21833,white,adult,male
30746,white,senior,female
29928,asian,tenager,male
3930,white,adult,male
19847,white,senior,female
10091,white,child,female
11503,native,adult,male
3331,black,adult,male
6695,asian,adult,female
27542,native,tenager,male
19068,black,adult,male
39866,white,tenager,male
6385,white,senior,male
18410,asian,adult,male
34480,other,senior,female
13764,other,adult,male
19493,white,tenager,male
17116,white,adult,male
18163,asian,young-adult,male
3465,white,adult,male
38258,white,senior,female
9599,white,adult,male
1610,white,adult,male
265,white,tenager,female
11116,asian,adult,female
27316,white,young-adult,male
1235,white,young-adult,male
39799,black,tenager,female
30264,white,senior,female
42870,asian,adult,female
5122,white,adult,male
8700,white,tenager,female
22127,white,adult,female
3744,asian,adult,male
36985,white,adult,male
24851,other,tenager,male
1234,white,adult,male
15129,asian,young-adult,female
27045,black,adult,male
39668,white,senior,male
5721,white,senior,female
41897,asian,adult,female
39705,white,young-adult,male
5890,white,senior,male
31332,white,senior,female
42750,white,adult,female
458,asian,adult,female
6782,white,senior,female
18522,white,adult,female
9599,white,adult,male
35863,other,tenager,male
29218,white,tenager,male
8484,white,senior,female
18824,other,tenager,male
6819,black,adult,female
4710,white,senior,male
19904,asian,young-adult,male
36790,white,senior,female
1703,white,adult,female
26406,white,tenager,female
39590,native,child,female
29712,asian,adult,male
40621,white,child,female
19517,white,adult,female
33268,white,senior,female
26503,white,child,male
5769,black,adult,male
32380,other,adult,male
17759,white,senior,male
32785,white,adult,male
20324,white,adult,female
4455,white,young-adult,male
41941,white,child,female
4177,white,adult,male
8603,white,senior,female
8393,other,adult,male
5924,asian,adult,female
15917,white,adult,female
35131,other,adult,male
19860,white,tenager,female
24719,white,tenager,male
21353,white,tenager,female
11965,white,adult,male
8223,asian,adult,female
43661,white,tenager,male
19003,white,adult,male
39031,asian,adult,male
17283,white,tenager,female
42659,white,adult,female
7577,white,adult,female
5964,white,adult,female
7576,black,adult,male
6695,asian,adult,female
17796,white,adult,female
40830,white,senior,male
10693,asian,adult,male
37953,other,adult,female
7327,white,tenager,male
29659,white,adult,female
20618,white,adult,female
38634,white,young-adult,male
23256,asian,young-adult,female
22671,asian,senior,male
7763,white,tenager,male
22560,black,adult,male
31649,white,adult,male
35946,white,adult,male
13526,other,tenager,female
11129,asian,adult,female
28023,other,young-adult,female
36053,asian,adult,male
28588,white,senior,female
9547,white,adult,male
29449,white,adult,female
38744,other,child,female
19146,white,young-adult,female
11128,asian,adult,male
34147,white,senior,female
27386,native,adult,male
37806,white,child,male
22614,black,child,female
26529,white,adult,female
6271,asian,adult,male
25332,asian,senior,female
3253,white,tenager,female
3817,white,senior,male
37045,white,senior,male
37254,asian,senior,female
38832,asian,adult,female
25407,white,young-adult,female
40082,asian,young-adult,male
31711,white,senior,male
21093,white,adult,male
34512,white,tenager,male
38417,black,tenager,female
17124,white,adult,male
13766,other,child,male
8274,white,adult,female
9202,black,young-adult,male
6501,white,adult,male
24150,white,tenager,male
35936,other,tenager,male
18918,white,adult,male
42270,other,adult,female
44438,black,adult,female
2099,white,adult,female
25072,white,child,male
13053,asian,adult,female
4590,white,tenager,male
34715,asian,tenager,female
41557,white,adult,male
21454,other,adult,female
19314,white,adult,male
5553,asian,adult,male
25817,asian,adult,female
25818,asian,young-adult,male
9915,white,child,male
42016,other,adult,female
32894,other,adult,female
18411,asian,adult,female
9434,white,senior,male
10670,white,child,male
5757,white,adult,female
22210,asian,adult,male
7027,asian,child,male
32058,white,adult,male
17864,white,young-adult,male
18619,white,senior,male
7004,black,tenager,female
14989,white,adult,female
40897,asian,child,male
9902,white,senior,female
35127,white,tenager,female
18861,black,adult,male
25035,white,adult,male
31849,white,adult,male
22622,white,child,female
34190,white,adult,male
1207,asian,adult,female
33603,asian,tenager,male
27613,other,tenager,male
43100,black,adult,male
35085,white,adult,female
9070,white,young-adult,male
27874,white,tenager,male
24377,white,senior,female
30396,native,young-adult,female
42198,pacific-islander,senior,male
14028,white,adult,male
25732,asian,adult,male
34399,white,senior,female
23255,asian,adult,male
29260,white,adult,female
31449,white,adult,female
25731,asian,adult,female
17458,asian,adult,female
30745,white,adult,male
40626,white,senior,male
20583,white,adult,male
31878,asian,adult,female
29153,white,tenager,male
36152,black,tenager,male
27261,other,tenager,male
15833,other,tenager,male
38158,black,young-adult,female
32323,black,adult,male
40895,asian,tenager,male
22210,asian,adult,male
41552,white,tenager,male
42575,white,tenager,male
13624,white,young-adult,male
17679,asian,adult,male
25303,white,senior,male
28871,white,tenager,male
21415,white,adult,female
17849,white,adult,female
7993,white,senior,male
42306,white,tenager,male
21516,asian,adult,male
34591,white,senior,male
12629,white,adult,male
22652,white,child,male
24190,white,young-adult,male
29648,white,tenager,male
1384,white,adult,female
44425,white,senior,male
4061,white,adult,female
4653,white,adult,male
22929,white,adult,male
29179,white,adult,female
17048,white,adult,male
26274,asian,senior,female
32766,white,adult,male
25779,asian,adult,male
3772,white,adult,female
43047,white,senior,female
14718,white,adult,male
34715,asian,tenager,female
20642,black,adult,male
14803,white,tenager,male
13199,black,tenager,male
32325,black,adult,female
36260,white,tenager,female
5242,pacific-islander,senior,male
3350,white,adult,male
38985,other,adult,female
7176,asian,adult,female
16626,white,senior,female
7024,white,tenager,female
20520,white,adult,male
40575,other,adult,female
26749,native,tenager,female
32967,asian,tenager,female
1514,white,adult,female
1393,white,adult,male
29563,asian,adult,female
6519,other,child,female
34406,white,adult,female
28433,white,adult,male
8944,asian,young-adult,male
43296,white,senior,male
12729,white,senior,male
16186,white,tenager,female
25845,white,child,male
22993,white,senior,female
9453,white,adult,male
22719,white,senior,female
28662,white,senior,male
18202,white,tenager,female
16568,white,adult,male
39992,black,adult,male
42439,asian,tenager,female
44036,asian,adult,female
41005,white,adult,male
15156,white,tenager,female
18440,white,adult,male
27562,white,adult,female
24989,black,adult,male
41815,white,tenager,female
15676,other,tenager,female
17071,white,adult,female
30411,white,adult,female
35177,black,adult,female
1573,white,senior,female
11727,white,adult,female
16062,other,tenager,male
6168,white,adult,male
3963,white,adult,female
5347,asian,tenager,male
36511,other,adult,male
38234,other,tenager,female
23718,white,young-adult,female
17458,asian,adult,female
43459,black,adult,female
8771,black,young-adult,male
66,white,tenager,male
32459,white,adult,male
20028,white,child,female
21647,white,tenager,male
9385,white,adult,female
22336,white,adult,female
33615,white,adult,male
17790,asian,adult,male
36786,white,adult,male
40344,other,senior,male
31878,asian,adult,female
3486,white,adult,male
17792,asian,adult,male
30861,white,tenager,male
4934,white,adult,female
38905,white,senior,male
27028,white,senior,female
41832,white,tenager,male
11387,white,child,male
38419,black,tenager,male
43683,white,senior,female
19961,white,senior,female
5842,black,child,female
1958,white,tenager,female
2557,white,adult,male
40893,asian,young-adult,female
7558,other,senior,female
11683,white,senior,female
10693,asian,adult,male
32654,white,senior,female
8281,white,adult,female
10520,white,child,male
36182,asian,adult,male
15948,other,senior,female
41663,white,tenager,male
34031,white,senior,female
8312,white,adult,female
36171,white,senior,female
10146,other,tenager,female
44066,white,adult,male
15938,white,adult,female
44460,white,adult,female
35669,black,tenager,female
15249,white,adult,female
43051,white,tenager,male
3683,white,senior,female
5347,asian,tenager,male
12806,white,tenager,male
16804,black,tenager,male
11753,white,senior,male
17681,asian,tenager,male
40555,pacific-islander,adult,female
10520,white,child,male
10922,white,adult,female
15582,white,adult,male
17806,white,senior,female
26607,white,senior,female
23551,white,adult,male
3311,white,adult,male
13972,white,child,male
35335,other,young-adult,female
9201,white,tenager,male
21831,white,senior,male
39090,asian,adult,female
17600,other,child,male
38299,white,tenager,male
2936,white,senior,male
38065,white,senior,male
36436,white,senior,female
1883,other,adult,female
17140,white,adult,female
41021,black,tenager,female
10687,white,adult,male
28772,other,adult,female
26522,asian,tenager,female
8387,other,tenager,male
3051,native,tenager,female
40451,black,adult,female
15662,other,adult,male
30478,white,senior,male
35996,other,senior,male
38927,white,senior,female
41506,white,tenager,male
6283,asian,senior,female
17820,white,adult,male
20244,white,young-adult,female
32319,black,tenager,female
20557,asian,adult,male
19978,white,senior,male
28367,white,adult,male
8599,white,young-adult,male
16736,white,adult,male
16040,other,adult,female
34563,white,child,female
39524,other,adult,male
42105,white,senior,male
18473,other,adult,female
5589,white,adult,female
28771,other,adult,male
20126,other,adult,male
1251,other,tenager,female
41179,white,adult,female
14878,asian,senior,female
26523,asian,tenager,female
11841,other,tenager,male
3072,white,young-adult,female
16760,white,tenager,male
9603,white,tenager,male
42729,white,adult,male
26719,white,adult,male
19315,white,senior,female
3618,other,senior,female
18247,white,senior,male
31319,other,tenager,female
40304,white,adult,male
20955,asian,tenager,female
22117,white,tenager,male
41413,white,senior,male
41435,pacific-islander,senior,female
34715,asian,tenager,female
36710,white,adult,male
23828,white,tenager,female
23473,white,senior,female
5890,white,senior,male
30970,other,tenager,female
24906,white,adult,female
25404,other,tenager,female
16473,white,child,female
33438,native,tenager,female
19850,white,adult,male
33841,other,child,male
13055,asian,tenager,male
42154,white,adult,male
7470,white,tenager,female
36182,asian,adult,male
10109,white,adult,male
3270,white,senior,female
18199,white,senior,female
6965,white,adult,male
10527,white,tenager,female
38782,asian,senior,male
11111,black,adult,male
3153,black,adult,male
6695,asian,adult,female
9413,white,tenager,female
15449,asian,adult,male
16945,white,adult,male
19991,asian,adult,female
34701,white,child,male
17276,white,child,male
23659,white,adult,female
18352,asian,young-adult,male
18384,white,tenager,female
7726,white,adult,female
13781,white,adult,male
10011,other,tenager,female
2854,white,adult,male
28599,other,adult,male
36655,white,senior,female
38608,white,senior,male
35050,black,senior,male
40689,white,adult,female
40702,white,adult,male
34190,white,adult,male
21834,white,adult,female
2299,white,child,female
11599,white,senior,female
13557,white,adult,female
40554,pacific-islander,adult,male
26525,asian,tenager,male
27625,white,adult,female
41430,other,adult,male
10693,asian,adult,male
10987,asian,adult,female
2783,white,adult,male
41006,white,young-adult,male
38542,white,adult,male
18995,white,tenager,male
38293,white,adult,male
12728,asian,adult,female
39009,pacific-islander,adult,female
30655,asian,adult,female
39172,white,adult,male
36203,white,senior,female
10013,white,adult,female
27270,white,senior,female
33793,white,adult,male
10110,white,senior,female
23279,other,adult,female
12215,white,adult,male
31828,white,adult,female
18834,white,tenager,female
23174,white,adult,male
22965,white,senior,female
7177,asian,young-adult,male
10084,black,tenager,male
29315,white,tenager,female
33603,asian,tenager,male
38329,white,senior,male
14184,white,child,male
16407,other,young-adult,female
31527,white,adult,female
32895,other,tenager,male
21003,white,adult,male
20779,white,adult,female
38635,white,young-adult,male
5844,black,adult,male
21483,asian,adult,female
34154,other,adult,female
35036,asian,tenager,male
38854,white,tenager,male
40630,other,tenager,male
18641,black,adult,male
26277,white,tenager,male
8640,white,senior,female
41215,white,adult,male
40894,asian,tenager,male
20166,white,adult,male
24626,asian,adult,female
39843,white,tenager,female
