,SERIALNO,AGEP,SCHL,SEX,RAC1P,HINCP,VEH,NP
154,2017000026663,adult,college,male,white,9,1.0,1.0
155,2017000026704,adult,college,female,other,6,1.0,4.0
156,2017000026704,young-adult,High-school,male,white,6,1.0,4.0
157,2017000026704,tenager,below-high,female,other,6,1.0,4.0
158,2017000026704,child,below-high,male,other,6,1.0,4.0
159,2017000026844,senior,High-school,male,white,5,2.0,1.0
160,2017000027188,senior,High-school,male,white,6,2.0,2.0
161,2017000027188,senior,High-school,female,white,6,2.0,2.0
162,2017000027370,senior,college,female,white,10,1.0,1.0
163,2017000027752,senior,High-school,female,white,5,2.0,1.0
164,2017000027761,adult,High-school,male,white,4,2.0,1.0
165,2017000027800,adult,college,female,white,5,2.0,2.0
166,2017000027800,adult,college,male,white,5,2.0,2.0
167,2017000028397,senior,High-school,female,white,9,2.0,2.0
168,2017000028397,senior,below-high,male,white,9,2.0,2.0
169,2017000031188,adult,college,male,white,8,3.0,5.0
170,2017000031188,adult,college,female,white,8,3.0,5.0
171,2017000031188,child,below-high,female,white,8,3.0,5.0
172,2017000031188,child,below-high,male,white,8,3.0,5.0
173,2017000031188,child,below-high,female,white,8,3.0,5.0
174,2017000031332,senior,college,male,white,7,2.0,2.0
175,2017000031332,senior,Bachelor,female,white,7,2.0,2.0
176,2017000031334,adult,High-school,male,white,7,3.0,2.0
177,2017000031334,senior,High-school,male,white,7,3.0,2.0
178,2017000031382,young-adult,Bachelor,female,other,5,2.0,2.0
179,2017000031382,young-adult,Bachelor,male,other,5,2.0,2.0
180,2017000031900,adult,High-school,male,native,6,3.0,10.0
181,2017000031900,adult,High-school,female,native,6,3.0,10.0
182,2017000031900,adult,High-school,female,native,6,3.0,10.0
183,2017000031900,young-adult,High-school,male,native,6,3.0,10.0
184,2017000031900,young-adult,High-school,female,native,6,3.0,10.0
185,2017000031900,tenager,below-high,female,native,6,3.0,10.0
186,2017000031900,tenager,below-high,female,native,6,3.0,10.0
187,2017000031900,tenager,below-high,female,native,6,3.0,10.0
188,2017000031900,child,below-high,female,native,6,3.0,10.0
189,2017000031900,child,below-high,male,native,6,3.0,10.0
190,2017000032027,senior,Bachelor,female,white,4,3.0,2.0
191,2017000032027,adult,Bachelor,male,white,4,3.0,2.0
192,2017000032724,adult,below-high,male,native,2,1.0,3.0
193,2017000032724,child,below-high,male,native,2,1.0,3.0
194,2017000032724,senior,below-high,female,native,2,1.0,3.0
195,2017000032799,adult,Bachelor,female,white,7,3.0,4.0
196,2017000032799,adult,college,male,white,7,3.0,4.0
197,2017000032799,child,below-high,male,white,7,3.0,4.0
198,2017000032799,child,below-high,female,white,7,3.0,4.0
199,2017000032928,senior,Graduate,male,white,7,2.0,2.0
200,2017000032928,senior,college,female,white,7,2.0,2.0
201,2017000033567,adult,college,female,white,4,1.0,1.0
202,2017000033645,senior,Bachelor,female,white,8,3.0,2.0
203,2017000033645,senior,college,male,white,8,3.0,2.0
204,2017000033737,adult,Bachelor,female,white,8,2.0,4.0
205,2017000033737,adult,Bachelor,male,white,8,2.0,4.0
206,2017000033737,child,below-high,female,white,8,2.0,4.0
207,2017000033737,child,below-high,female,white,8,2.0,4.0
208,2017000034147,senior,below-high,male,native,3,0.0,2.0
209,2017000034147,adult,college,female,native,3,0.0,2.0
210,2017000034409,senior,High-school,female,white,3,1.0,1.0
211,2017000034464,adult,High-school,male,white,7,2.0,2.0
212,2017000034464,adult,college,female,white,7,2.0,2.0
213,2017000034479,senior,High-school,male,white,5,1.0,1.0
214,2017000034856,adult,college,female,white,6,1.0,2.0
215,2017000034856,senior,High-school,male,white,6,1.0,2.0
216,2017000035263,senior,below-high,male,white,5,2.0,2.0
217,2017000035263,adult,High-school,female,white,5,2.0,2.0
218,2017000035370,senior,High-school,female,white,4,1.0,1.0
219,2017000035667,adult,college,male,white,6,2.0,2.0
220,2017000035667,adult,Bachelor,female,white,6,2.0,2.0
221,2017000035781,senior,High-school,male,white,3,2.0,2.0
222,2017000035781,senior,High-school,female,white,3,2.0,2.0
223,2017000035864,adult,Bachelor,female,white,7,3.0,3.0
224,2017000035864,adult,college,male,white,7,3.0,3.0
225,2017000035864,tenager,below-high,male,white,7,3.0,3.0
226,2017000035911,senior,college,male,white,5,3.0,2.0
227,2017000035911,senior,college,female,white,5,3.0,2.0
228,2017000036514,adult,Graduate,male,other,7,3.0,7.0
229,2017000036514,tenager,below-high,male,other,7,3.0,7.0
230,2017000036514,tenager,below-high,female,other,7,3.0,7.0
231,2017000036514,tenager,below-high,female,other,7,3.0,7.0
232,2017000036514,adult,college,male,white,7,3.0,7.0
233,2017000036514,adult,college,female,other,7,3.0,7.0
234,2017000036514,tenager,below-high,female,other,7,3.0,7.0
235,2017000036912,senior,High-school,male,white,3,1.0,2.0
236,2017000036912,senior,Bachelor,female,white,3,1.0,2.0
237,2017000037886,adult,Bachelor,male,white,7,3.0,6.0
238,2017000037886,adult,Graduate,female,white,7,3.0,6.0
239,2017000037886,tenager,below-high,female,white,7,3.0,6.0
240,2017000037886,tenager,below-high,male,white,7,3.0,6.0
241,2017000037886,tenager,below-high,female,white,7,3.0,6.0
242,2017000037886,tenager,below-high,female,white,7,3.0,6.0
243,2017000039040,senior,High-school,male,white,2,2.0,2.0
244,2017000039040,senior,High-school,female,white,2,2.0,2.0
245,2017000039401,senior,Bachelor,female,white,7,3.0,2.0
246,2017000039401,senior,Graduate,male,white,7,3.0,2.0
247,2017000039429,adult,Graduate,male,native,7,2.0,2.0
248,2017000039429,adult,college,female,native,7,2.0,2.0
249,2017000039928,senior,Graduate,male,white,6,3.0,2.0
250,2017000039928,senior,college,female,white,6,3.0,2.0
251,2017000040462,adult,High-school,male,white,6,2.0,4.0
252,2017000040462,adult,High-school,female,white,6,2.0,4.0
253,2017000040462,tenager,below-high,male,white,6,2.0,4.0
254,2017000040462,tenager,below-high,male,white,6,2.0,4.0
255,2017000041466,senior,High-school,male,white,5,3.0,2.0
256,2017000041466,senior,High-school,female,white,5,3.0,2.0
257,2017000041893,adult,High-school,male,white,8,3.0,2.0
258,2017000041893,adult,college,female,white,8,3.0,2.0
259,2017000042068,adult,Bachelor,male,white,9,2.0,4.0
260,2017000042068,adult,college,female,white,9,2.0,4.0
261,2017000042068,tenager,below-high,female,white,9,2.0,4.0
262,2017000042068,tenager,below-high,male,white,9,2.0,4.0
263,2017000042488,adult,below-high,male,white,6,2.0,4.0
264,2017000042488,adult,High-school,female,white,6,2.0,4.0
265,2017000042488,tenager,below-high,female,white,6,2.0,4.0
266,2017000042488,tenager,below-high,female,white,6,2.0,4.0
267,2017000043990,adult,Bachelor,male,white,7,3.0,1.0
268,2017000044279,young-adult,college,male,white,6,2.0,2.0
269,2017000044279,adult,college,female,white,6,2.0,2.0
270,2017000045909,adult,college,male,white,7,2.0,4.0
271,2017000045909,adult,Bachelor,female,white,7,2.0,4.0
272,2017000045909,child,below-high,female,white,7,2.0,4.0
273,2017000045909,child,below-high,female,white,7,2.0,4.0
274,2017000047395,senior,Bachelor,female,white,2,1.0,1.0
275,2017000047483,senior,Bachelor,female,white,4,2.0,2.0
276,2017000047483,senior,Graduate,male,white,4,2.0,2.0
277,2017000047930,adult,High-school,male,native,6,1.0,1.0
278,2017000048436,senior,college,male,white,6,2.0,2.0
279,2017000048436,senior,below-high,female,white,6,2.0,2.0
280,2017000048442,adult,college,female,white,5,1.0,2.0
281,2017000048442,senior,High-school,female,white,5,1.0,2.0
282,2017000048818,senior,High-school,female,white,6,1.0,1.0
283,2017000048857,adult,college,female,white,7,2.0,5.0
284,2017000048857,adult,college,male,white,7,2.0,5.0
285,2017000048857,tenager,below-high,female,white,7,2.0,5.0
286,2017000048857,child,below-high,male,white,7,2.0,5.0
287,2017000048857,child,below-high,female,white,7,2.0,5.0
288,2017000049084,adult,college,female,white,7,3.0,5.0
289,2017000049084,adult,college,male,white,7,3.0,5.0
290,2017000049084,tenager,below-high,female,white,7,3.0,5.0
291,2017000049084,child,below-high,female,white,7,3.0,5.0
292,2017000049084,child,below-high,male,white,7,3.0,5.0
293,2017000052498,senior,college,female,white,6,1.0,1.0
294,2017000053043,adult,High-school,female,white,3,1.0,1.0
295,2017000053928,senior,below-high,female,white,2,0.0,1.0
296,2017000054033,senior,college,female,white,3,0.0,1.0
297,2017000054865,adult,High-school,male,white,5,3.0,5.0
298,2017000054865,adult,High-school,female,white,5,3.0,5.0
299,2017000054865,tenager,below-high,male,white,5,3.0,5.0
300,2017000054865,tenager,below-high,male,white,5,3.0,5.0
301,2017000054865,child,below-high,female,white,5,3.0,5.0
302,2017000055122,adult,Bachelor,female,white,8,3.0,4.0
303,2017000055122,senior,college,male,white,8,3.0,4.0
304,2017000055122,tenager,below-high,male,native,8,3.0,4.0
305,2017000055122,tenager,below-high,male,native,8,3.0,4.0
306,2017000056451,adult,college,female,white,5,2.0,2.0
307,2017000056451,adult,college,male,white,5,2.0,2.0
308,2017000056673,adult,Bachelor,male,white,6,3.0,2.0
309,2017000056673,adult,college,female,white,6,3.0,2.0
310,2017000056681,senior,High-school,male,other,6,1.0,2.0
311,2017000056681,senior,High-school,female,white,6,1.0,2.0
312,2017000056793,adult,High-school,male,white,4,1.0,1.0
313,2017000057738,adult,college,female,white,4,2.0,2.0
314,2017000057738,senior,college,male,white,4,2.0,2.0
315,2017000057978,adult,High-school,male,white,10,3.0,4.0
316,2017000057978,adult,Bachelor,female,white,10,3.0,4.0
317,2017000057978,young-adult,college,male,white,10,3.0,4.0
318,2017000057978,tenager,below-high,female,white,10,3.0,4.0
319,2017000058079,senior,High-school,male,white,3,2.0,1.0
320,2017000058371,senior,college,female,white,2,1.0,1.0
321,2017000058583,senior,below-high,male,native,2,2.0,6.0
322,2017000058583,adult,college,female,native,2,2.0,6.0
323,2017000058583,adult,High-school,female,native,2,2.0,6.0
324,2017000058583,tenager,below-high,female,native,2,2.0,6.0
325,2017000058583,tenager,below-high,female,native,2,2.0,6.0
326,2017000058583,child,below-high,female,native,2,2.0,6.0
327,2017000059434,young-adult,college,female,white,4,3.0,4.0
328,2017000059434,young-adult,college,male,white,4,3.0,4.0
329,2017000059434,young-adult,college,female,white,4,3.0,4.0
330,2017000059434,young-adult,college,female,white,4,3.0,4.0
331,2017000060159,adult,Bachelor,male,white,10,3.0,3.0
332,2017000060159,adult,Graduate,female,white,10,3.0,3.0
333,2017000060159,tenager,below-high,female,white,10,3.0,3.0
334,2017000060177,adult,Bachelor,male,white,10,2.0,5.0
335,2017000060177,adult,Graduate,female,white,10,2.0,5.0
336,2017000060177,tenager,below-high,male,white,10,2.0,5.0
337,2017000060177,tenager,below-high,female,white,10,2.0,5.0
338,2017000060177,tenager,below-high,female,white,10,2.0,5.0
339,2017000060755,adult,college,male,white,5,3.0,1.0
340,2017000060829,adult,college,male,white,6,2.0,4.0
341,2017000060829,adult,college,female,white,6,2.0,4.0
342,2017000060829,tenager,below-high,female,white,6,2.0,4.0
343,2017000060829,tenager,below-high,male,white,6,2.0,4.0
344,2017000060975,young-adult,college,female,native,2,2.0,4.0
345,2017000060975,adult,High-school,male,native,2,2.0,4.0
346,2017000060975,child,below-high,female,native,2,2.0,4.0
347,2017000060975,tenager,below-high,male,native,2,2.0,4.0
348,2017000061016,senior,below-high,female,white,6,3.0,2.0
349,2017000061016,senior,High-school,male,white,6,3.0,2.0
350,2017000062108,senior,Graduate,male,white,3,2.0,2.0
351,2017000062108,adult,college,male,white,3,2.0,2.0
352,2017000062173,senior,below-high,male,white,5,1.0,2.0
353,2017000062173,senior,Bachelor,female,white,5,1.0,2.0
354,2017000062245,adult,High-school,male,white,5,2.0,2.0
355,2017000062245,senior,college,female,white,5,2.0,2.0
356,2017000063093,adult,Bachelor,female,white,6,3.0,4.0
357,2017000063093,adult,High-school,male,white,6,3.0,4.0
358,2017000063093,tenager,below-high,male,white,6,3.0,4.0
359,2017000063093,child,below-high,male,white,6,3.0,4.0
360,2017000063406,adult,High-school,female,white,8,3.0,2.0
361,2017000063406,adult,below-high,male,white,8,3.0,2.0
362,2017000063503,adult,college,male,white,6,2.0,2.0
363,2017000063503,adult,Graduate,female,white,6,2.0,2.0
364,2017000063692,senior,college,female,white,6,2.0,2.0
365,2017000063692,adult,college,male,white,6,2.0,2.0
366,2017000063918,adult,High-school,male,white,5,1.0,1.0
367,2017000065830,senior,below-high,female,native,8,3.0,8.0
368,2017000065830,adult,High-school,female,native,8,3.0,8.0
369,2017000065830,adult,High-school,male,native,8,3.0,8.0
370,2017000065830,tenager,below-high,female,native,8,3.0,8.0
371,2017000065830,tenager,below-high,male,native,8,3.0,8.0
372,2017000065830,tenager,below-high,female,native,8,3.0,8.0
373,2017000065830,child,below-high,female,native,8,3.0,8.0
374,2017000065830,adult,below-high,female,native,8,3.0,8.0
375,2017000065925,adult,college,male,white,6,3.0,3.0
376,2017000065925,adult,college,female,white,6,3.0,3.0
377,2017000065925,tenager,below-high,male,white,6,3.0,3.0
378,2017000066062,adult,college,male,native,2,1.0,6.0
379,2017000066062,tenager,below-high,female,native,2,1.0,6.0
380,2017000066062,child,below-high,female,native,2,1.0,6.0
381,2017000066062,child,below-high,female,native,2,1.0,6.0
382,2017000066062,child,below-high,female,native,2,1.0,6.0
383,2017000066062,adult,High-school,female,native,2,1.0,6.0
384,2017000066607,adult,High-school,female,white,3,2.0,5.0
385,2017000066607,adult,High-school,male,white,3,2.0,5.0
386,2017000066607,tenager,below-high,male,white,3,2.0,5.0
387,2017000066607,child,below-high,female,white,3,2.0,5.0
388,2017000066607,child,below-high,female,white,3,2.0,5.0
389,2017000066806,senior,college,female,white,8,1.0,2.0
390,2017000066806,senior,Graduate,male,white,8,1.0,2.0
391,2017000066957,senior,Bachelor,male,white,6,2.0,2.0
392,2017000066957,senior,Bachelor,female,white,6,2.0,2.0
393,2017000067078,adult,college,male,white,6,3.0,2.0
394,2017000067078,young-adult,college,female,white,6,3.0,2.0
395,2017000067207,senior,college,male,white,6,1.0,2.0
396,2017000067207,adult,High-school,female,white,6,1.0,2.0
397,2017000067927,senior,High-school,male,white,3,0.0,1.0
398,2017000068209,adult,High-school,female,native,6,2.0,4.0
399,2017000068209,adult,High-school,male,native,6,2.0,4.0
400,2017000068209,tenager,below-high,female,native,6,2.0,4.0
401,2017000068209,tenager,below-high,female,native,6,2.0,4.0
402,2017000068741,senior,Graduate,female,white,8,2.0,2.0
403,2017000068741,senior,High-school,male,white,8,2.0,2.0
404,2017000068780,senior,college,female,white,6,3.0,5.0
405,2017000068780,young-adult,college,female,white,6,3.0,5.0
406,2017000068780,child,below-high,female,white,6,3.0,5.0
407,2017000068780,child,below-high,female,white,6,3.0,5.0
408,2017000068780,adult,High-school,male,white,6,3.0,5.0
409,2017000069439,senior,college,female,white,5,3.0,3.0
410,2017000069439,senior,college,male,white,5,3.0,3.0
411,2017000069439,adult,Bachelor,male,white,5,3.0,3.0
412,2017000070041,adult,below-high,female,native,4,2.0,7.0
413,2017000070041,young-adult,below-high,male,native,4,2.0,7.0
414,2017000070041,tenager,below-high,male,native,4,2.0,7.0
415,2017000070041,tenager,below-high,female,native,4,2.0,7.0
416,2017000070041,tenager,below-high,male,native,4,2.0,7.0
417,2017000070041,child,below-high,female,native,4,2.0,7.0
418,2017000070041,senior,High-school,female,native,4,2.0,7.0
419,2017000070300,adult,Bachelor,female,white,10,3.0,4.0
420,2017000070300,adult,college,male,white,10,3.0,4.0
421,2017000070300,tenager,High-school,male,white,10,3.0,4.0
422,2017000070300,tenager,below-high,female,white,10,3.0,4.0
423,2017000070518,adult,college,male,white,6,2.0,1.0
424,2017000071068,adult,below-high,male,white,5,1.0,5.0
425,2017000071068,adult,High-school,female,white,5,1.0,5.0
426,2017000071068,tenager,below-high,female,white,5,1.0,5.0
427,2017000071068,tenager,below-high,male,white,5,1.0,5.0
428,2017000071068,adult,High-school,male,white,5,1.0,5.0
429,2017000071978,adult,college,female,white,2,2.0,2.0
430,2017000071978,tenager,below-high,female,white,2,2.0,2.0
431,2017000072273,adult,Graduate,female,white,8,3.0,2.0
432,2017000072273,senior,High-school,male,white,8,3.0,2.0
433,2017000072463,senior,below-high,female,white,2,1.0,1.0
434,2017000072572,senior,college,male,white,7,2.0,2.0
435,2017000072572,senior,college,female,white,7,2.0,2.0
436,2017000072614,senior,college,female,white,4,1.0,2.0
437,2017000072614,senior,college,male,white,4,1.0,2.0
438,2017000073387,senior,High-school,female,white,2,2.0,1.0
439,2017000073577,senior,High-school,female,white,6,3.0,2.0
440,2017000073577,adult,High-school,male,white,6,3.0,2.0
441,2017000073728,adult,High-school,male,white,7,3.0,3.0
442,2017000073728,adult,college,female,white,7,3.0,3.0
443,2017000073728,young-adult,college,female,white,7,3.0,3.0
444,2017000074443,senior,Bachelor,female,white,8,3.0,2.0
445,2017000074443,senior,Graduate,male,white,8,3.0,2.0
446,2017000074479,adult,High-school,male,white,6,3.0,3.0
447,2017000074479,tenager,below-high,male,white,6,3.0,3.0
448,2017000074479,adult,college,female,white,6,3.0,3.0
449,2017000074755,adult,High-school,female,white,4,2.0,1.0
450,2017000075013,senior,High-school,female,white,2,2.0,2.0
451,2017000075013,senior,High-school,male,white,2,2.0,2.0
452,2017000075238,adult,High-school,male,white,6,1.0,1.0
453,2017000075519,senior,Graduate,male,white,7,3.0,2.0
454,2017000075519,senior,Graduate,female,white,7,3.0,2.0
455,2017000075682,senior,High-school,male,native,5,2.0,2.0
456,2017000075682,senior,High-school,female,native,5,2.0,2.0
457,2017000076156,adult,High-school,male,white,7,3.0,2.0
458,2017000076156,adult,college,female,asian,7,3.0,2.0
459,2017000076502,adult,Bachelor,male,white,10,2.0,3.0
460,2017000076502,adult,Bachelor,female,white,10,2.0,3.0
461,2017000076502,tenager,below-high,male,white,10,2.0,3.0
462,2017000078387,adult,High-school,female,white,6,3.0,4.0
463,2017000078387,adult,college,male,white,6,3.0,4.0
464,2017000078387,tenager,below-high,male,white,6,3.0,4.0
465,2017000078387,tenager,below-high,female,white,6,3.0,4.0
466,2017000078507,senior,Graduate,female,white,5,2.0,1.0
467,2017000078775,senior,High-school,female,white,2,1.0,1.0
468,2017000079590,adult,Graduate,male,white,7,2.0,1.0
469,2017000079782,adult,High-school,female,asian,8,3.0,2.0
470,2017000079782,adult,college,male,white,8,3.0,2.0
471,2017000081107,adult,High-school,female,native,3,3.0,1.0
472,2017000081167,senior,college,female,white,4,1.0,1.0
473,2017000081187,adult,High-school,male,white,5,1.0,2.0
474,2017000081187,tenager,below-high,female,white,5,1.0,2.0
475,2017000081468,young-adult,Bachelor,male,native,5,2.0,1.0
476,2017000081930,senior,college,female,white,4,1.0,1.0
477,2017000082009,senior,Bachelor,male,white,8,2.0,2.0
478,2017000082009,senior,High-school,female,white,8,2.0,2.0
479,2017000082350,adult,High-school,male,white,4,2.0,2.0
