,SERIALNO,NP,VEH,HINCP,WIF
251,2017000093513,2,1.0,45000.0,0.0
252,2017000093560,2,3.0,96500.0,0.0
253,2017000093713,5,2.0,95000.0,2.0
254,2017000095056,2,3.0,99220.0,1.0
255,2017000095075,2,4.0,77200.0,2.0
256,2017000095603,4,3.0,67400.0,2.0
257,2017000095805,1,1.0,54000.0,
258,2017000095837,2,2.0,49350.0,2.0
259,2017000095975,2,2.0,35000.0,0.0
260,2017000096367,0,,,
261,2017000096424,0,,,
262,2017000096445,7,1.0,10100.0,0.0
263,2017000096685,1,1.0,17700.0,
264,2017000097643,2,2.0,55600.0,1.0
265,2017000097966,2,1.0,47800.0,
266,2017000098174,1,3.0,104000.0,
267,2017000099009,5,1.0,26200.0,0.0
268,2017000099056,5,1.0,11300.0,1.0
269,2017000099421,2,2.0,46700.0,1.0
270,2017000099424,4,3.0,364000.0,2.0
271,2017000099445,2,4.0,24400.0,1.0
272,2017000099717,2,2.0,84000.0,2.0
273,2017000100215,3,6.0,140400.0,2.0
274,2017000100440,8,0.0,20000.0,1.0
275,2017000100776,1,1.0,12700.0,
276,2017000101711,5,5.0,82000.0,3.0
277,2017000102265,2,1.0,31460.0,1.0
278,2017000102484,0,,,
279,2017000103444,4,3.0,114000.0,1.0
280,2017000103676,2,2.0,68400.0,1.0
281,2017000103765,1,0.0,15000.0,
282,2017000104067,3,2.0,65100.0,0.0
283,2017000104109,2,3.0,429000.0,1.0
284,2017000104144,2,2.0,81140.0,2.0
285,2017000104736,2,2.0,87100.0,
286,2017000105439,1,1.0,25000.0,
287,2017000105503,1,1.0,24000.0,
288,2017000105683,1,1.0,35000.0,
289,2017000106205,1,2.0,107000.0,
290,2017000106656,2,2.0,15600.0,0.0
291,2017000106657,4,1.0,35000.0,1.0
292,2017000106820,1,2.0,29000.0,
293,2017000107041,2,2.0,19800.0,0.0
294,2017000107105,1,1.0,33300.0,
295,2017000108044,0,,,
296,2017000108685,1,1.0,50000.0,
297,2017000109029,1,1.0,42200.0,
298,2017000109051,2,3.0,103200.0,1.0
299,2017000109788,1,1.0,44500.0,
300,2017000110289,1,1.0,14900.0,
301,2017000110374,1,1.0,35000.0,
302,2017000110478,2,2.0,58400.0,1.0
303,2017000110486,2,3.0,98100.0,0.0
304,2017000111254,2,2.0,120000.0,2.0
305,2017000112030,1,1.0,12000.0,
306,2017000112469,3,3.0,44290.0,3.0
307,2017000112854,0,,,
308,2017000114092,2,1.0,15450.0,0.0
309,2017000114596,1,1.0,1100.0,
310,2017000114639,2,2.0,51000.0,1.0
311,2017000114664,1,1.0,283000.0,
312,2017000114732,1,4.0,42200.0,
313,2017000114905,5,6.0,395500.0,3.0
314,2017000114929,2,2.0,56600.0,2.0
315,2017000115235,6,1.0,19200.0,0.0
316,2017000115511,4,4.0,124000.0,3.0
317,2017000115659,2,3.0,48000.0,0.0
318,2017000115889,5,2.0,114000.0,2.0
319,2017000115995,3,1.0,60000.0,2.0
320,2017000116241,0,,,
321,2017000116428,3,4.0,79200.0,0.0
322,2017000116453,3,2.0,55000.0,2.0
323,2017000116876,1,1.0,57100.0,
324,2017000116947,2,2.0,94000.0,
325,2017000117330,3,2.0,91000.0,3.0
326,2017000117532,3,5.0,99000.0,2.0
327,2017000117590,2,2.0,50000.0,2.0
328,2017000117939,2,2.0,26800.0,0.0
329,2017000118128,2,2.0,20000.0,
330,2017000118303,6,4.0,79000.0,3.0
331,2017000118486,2,2.0,69100.0,1.0
332,2017000118655,1,1.0,33700.0,
333,2017000118683,1,1.0,10000.0,
334,2017000118900,2,2.0,115000.0,2.0
335,2017000119690,3,3.0,38800.0,2.0
336,2017000120042,1,2.0,48600.0,
337,2017000120359,0,,,
338,2017000121098,2,1.0,30000.0,1.0
339,2017000121346,2,1.0,24000.0,2.0
340,2017000122095,2,2.0,93200.0,0.0
341,2017000122501,4,4.0,108700.0,3.0
342,2017000122607,2,2.0,35800.0,1.0
343,2017000122682,2,2.0,39850.0,1.0
344,2017000122843,3,3.0,75000.0,2.0
345,2017000123449,2,6.0,250300.0,2.0
346,2017000123466,3,2.0,84000.0,2.0
347,2017000123996,1,1.0,44900.0,
348,2017000124751,2,2.0,223500.0,
349,2017000125778,1,1.0,54120.0,
350,2017000126140,5,3.0,157000.0,3.0
351,2017000126303,2,3.0,120500.0,1.0
352,2017000126402,2,3.0,43000.0,0.0
353,2017000126563,7,1.0,80000.0,2.0
354,2017000127271,4,2.0,16800.0,1.0
355,2017000127272,2,1.0,22800.0,0.0
356,2017000127394,0,,,
357,2017000127450,5,4.0,86000.0,2.0
358,2017000128037,2,2.0,31800.0,0.0
359,2017000129958,0,,,
360,2017000130075,2,3.0,133000.0,2.0
361,2017000130197,2,4.0,162000.0,2.0
362,2017000130431,2,2.0,31600.0,0.0
363,2017000130839,4,5.0,223800.0,
364,2017000131792,2,2.0,80000.0,
365,2017000132073,1,1.0,52300.0,
366,2017000133544,1,1.0,36000.0,
367,2017000134010,2,1.0,10500.0,0.0
368,2017000134071,2,3.0,112000.0,1.0
369,2017000134078,2,2.0,66800.0,2.0
370,2017000134522,3,3.0,21600.0,1.0
371,2017000134590,3,1.0,39900.0,1.0
372,2017000134996,8,2.0,41600.0,1.0
373,2017000135072,3,2.0,50000.0,2.0
374,2017000135079,5,2.0,24000.0,1.0
375,2017000135135,2,5.0,218600.0,2.0
376,2017000135646,5,4.0,82000.0,3.0
377,2017000135798,1,1.0,35700.0,
378,2017000136350,1,1.0,370.0,
379,2017000136623,2,2.0,186000.0,2.0
380,2017000137045,1,1.0,9500.0,
381,2017000137065,1,1.0,6500.0,
382,2017000137461,2,3.0,103000.0,2.0
383,2017000137491,2,3.0,105000.0,2.0
384,2017000137494,4,5.0,164200.0,2.0
385,2017000138460,2,2.0,42000.0,
386,2017000138947,1,1.0,30000.0,
387,2017000139375,6,2.0,16300.0,1.0
388,2017000140547,1,2.0,0.0,
389,2017000140559,2,2.0,68000.0,2.0
390,2017000140861,4,3.0,60400.0,1.0
391,2017000140867,2,4.0,98000.0,2.0
392,2017000141321,3,2.0,108000.0,2.0
393,2017000141442,4,5.0,99000.0,3.0
394,2017000141901,1,1.0,39000.0,
395,2017000142104,1,2.0,0.0,
396,2017000142510,1,1.0,1800.0,
397,2017000143017,2,2.0,95700.0,2.0
398,2017000143588,4,2.0,18000.0,1.0
399,2017000143668,3,2.0,160000.0,1.0
400,2017000143736,1,1.0,61000.0,
401,2017000144105,1,1.0,22100.0,
402,2017000144325,3,4.0,93000.0,2.0
403,2017000144335,1,1.0,56400.0,
404,2017000144434,0,,,
405,2017000144758,1,1.0,32000.0,
406,2017000145029,1,2.0,54000.0,
407,2017000145094,4,2.0,413000.0,2.0
408,2017000145341,2,2.0,81750.0,1.0
409,2017000146192,1,1.0,4100.0,
410,2017000146866,2,2.0,419000.0,1.0
411,2017000147482,2,2.0,32700.0,0.0
412,2017000147671,3,5.0,94400.0,2.0
413,2017000147836,2,3.0,43050.0,2.0
414,2017000149157,1,2.0,21000.0,
415,2017000149682,5,4.0,78900.0,2.0
416,2017000150080,4,4.0,168000.0,2.0
417,2017000150205,4,2.0,64000.0,2.0
418,2017000150290,2,3.0,166000.0,1.0
419,2017000150293,4,2.0,130000.0,2.0
420,2017000150468,1,1.0,248000.0,
421,2017000150521,1,1.0,42200.0,
422,2017000150856,1,1.0,46000.0,
423,2017000150860,1,3.0,0.0,
424,2017000151555,4,4.0,76000.0,1.0
425,2017000152111,4,3.0,105000.0,2.0
426,2017000152195,1,1.0,35000.0,
427,2017000152391,1,2.0,42100.0,
428,2017000152436,4,2.0,90200.0,2.0
429,2017000152897,3,3.0,90000.0,
430,2017000153797,4,2.0,72000.0,2.0
431,2017000154123,2,2.0,111380.0,2.0
432,2017000154460,1,1.0,7800.0,
433,2017000154755,1,1.0,28000.0,
434,2017000156275,3,3.0,101000.0,2.0
435,2017000156533,4,4.0,71000.0,2.0
436,2017000156546,2,4.0,53000.0,2.0
437,2017000156709,5,2.0,22600.0,2.0
438,2017000157225,4,2.0,35000.0,1.0
439,2017000157334,2,3.0,29400.0,1.0
440,2017000157368,4,2.0,45000.0,1.0
441,2017000157463,5,2.0,104000.0,3.0
442,2017000157613,4,2.0,111000.0,2.0
443,2017000157614,2,3.0,131600.0,1.0
444,2017000158932,3,1.0,36000.0,1.0
445,2017000159054,1,0.0,150000.0,
446,2017000159447,1,2.0,120000.0,
447,2017000159625,1,1.0,16800.0,
448,2017000159984,4,2.0,60000.0,1.0
449,2017000160022,3,1.0,37000.0,1.0
450,2017000161536,2,2.0,0.0,0.0
451,2017000162046,2,3.0,68200.0,2.0
452,2017000162187,3,2.0,44200.0,1.0
453,2017000162417,4,4.0,35000.0,2.0
454,2017000162505,1,1.0,66000.0,
455,2017000162770,2,2.0,73500.0,1.0
456,2017000164069,2,2.0,108500.0,1.0
457,2017000164263,2,4.0,66420.0,2.0
458,2017000164333,4,3.0,0.0,0.0
459,2017000165064,2,1.0,39700.0,1.0
460,2017000165307,7,1.0,14000.0,1.0
461,2017000165526,2,2.0,109200.0,2.0
462,2017000166016,1,1.0,11900.0,
463,2017000166963,3,2.0,78000.0,3.0
464,2017000167279,2,3.0,33600.0,
465,2017000167400,1,1.0,15900.0,
466,2017000167928,0,,,
467,2017000168389,3,2.0,100000.0,1.0
468,2017000168926,1,1.0,15610.0,
469,2017000169595,0,,,
470,2017000169776,0,,,
471,2017000170239,4,5.0,165500.0,3.0
472,2017000170564,3,2.0,9400.0,
473,2017000170740,2,2.0,22900.0,1.0
474,2017000170798,2,2.0,191500.0,2.0
475,2017000170980,2,2.0,114000.0,
476,2017000171002,2,2.0,65100.0,
477,2017000171093,2,1.0,45000.0,1.0
478,2017000171110,4,3.0,81400.0,1.0
479,2017000171554,2,3.0,53000.0,2.0
480,2017000171769,2,3.0,44300.0,0.0
481,2017000172275,3,1.0,23800.0,1.0
482,2017000172531,2,3.0,26670.0,2.0
483,2017000172735,2,3.0,95000.0,2.0
484,2017000174028,1,1.0,21700.0,
485,2017000174082,3,3.0,98000.0,2.0
486,2017000174336,0,,,
487,2017000174616,3,3.0,109000.0,2.0
488,2017000174625,1,1.0,7100.0,
489,2017000175903,5,1.0,39500.0,2.0
490,2017000176184,0,,,
491,2017000176358,1,1.0,61000.0,
492,2017000176897,4,2.0,41700.0,1.0
493,2017000177711,2,4.0,180400.0,2.0
494,2017000177947,4,4.0,77000.0,
495,2017000178225,2,3.0,348000.0,1.0
496,2017000178911,0,,,
497,2017000179798,3,3.0,94000.0,2.0
498,2017000180376,2,2.0,34600.0,0.0
499,2017000181023,2,1.0,31700.0,1.0
500,2017000181127,0,,,
501,2017000181195,0,,,
502,2017000181495,2,3.0,18300.0,0.0
503,2017000181639,2,2.0,59100.0,2.0
504,2017000181936,2,4.0,124200.0,2.0
505,2017000182696,1,2.0,30000.0,
506,2017000183141,0,,,
507,2017000183934,2,3.0,250100.0,1.0
508,2017000184062,2,3.0,155000.0,2.0
509,2017000184987,2,3.0,73000.0,2.0
510,2017000185289,2,2.0,67100.0,
511,2017000186228,2,3.0,58900.0,1.0
512,2017000186351,1,2.0,29000.0,
513,2017000186939,4,4.0,61000.0,2.0
514,2017000187052,2,2.0,19000.0,
515,2017000187194,2,3.0,70000.0,2.0
516,2017000187626,2,2.0,87300.0,0.0
517,2017000189158,1,4.0,51000.0,
518,2017000189749,1,2.0,18900.0,
519,2017000189909,1,0.0,7510.0,
520,2017000189976,1,2.0,19750.0,
521,2017000190022,2,2.0,110000.0,2.0
522,2017000190037,1,1.0,32100.0,
523,2017000190167,1,3.0,6200.0,
524,2017000190660,1,1.0,3600.0,
525,2017000190927,3,4.0,86000.0,3.0
526,2017000191359,2,2.0,115000.0,1.0
527,2017000191775,2,2.0,76200.0,2.0
528,2017000191878,4,3.0,32700.0,2.0
529,2017000192210,2,2.0,43200.0,2.0
530,2017000192329,0,,,
531,2017000192541,2,2.0,100900.0,2.0
532,2017000192688,2,2.0,38800.0,0.0
533,2017000193463,6,3.0,181500.0,2.0
534,2017000193785,3,3.0,59700.0,2.0
535,2017000193877,1,3.0,100000.0,
536,2017000193908,2,2.0,28000.0,0.0
537,2017000194781,1,2.0,0.0,
538,2017000195049,2,2.0,18900.0,0.0
539,2017000195366,0,,,
540,2017000195383,2,2.0,39200.0,2.0
541,2017000195715,0,,,
542,2017000196137,1,1.0,-1200.0,
543,2017000196850,0,,,
544,2017000196983,5,3.0,94000.0,2.0
545,2017000197800,0,,,
546,2017000198074,2,2.0,125000.0,2.0
547,2017000198139,1,1.0,20800.0,
548,2017000199159,5,3.0,171000.0,2.0
549,2017000199216,3,3.0,90000.0,2.0
550,2017000199226,3,4.0,76500.0,3.0
551,2017000199258,5,2.0,115400.0,2.0
552,2017000199456,2,2.0,57000.0,2.0
553,2017000199875,2,3.0,35000.0,0.0
554,2017000200002,2,6.0,76300.0,1.0
555,2017000200005,1,1.0,38400.0,
556,2017000200502,2,2.0,37000.0,2.0
557,2017000200926,2,1.0,20800.0,1.0
558,2017000201041,0,,,
559,2017000201104,3,6.0,82300.0,2.0
560,2017000201125,1,1.0,10300.0,
561,2017000201276,2,2.0,70000.0,
562,2017000201480,2,1.0,22400.0,0.0
563,2017000202433,2,2.0,44600.0,
564,2017000202672,3,2.0,115000.0,2.0
565,2017000202966,1,1.0,26000.0,
566,2017000203688,2,1.0,34000.0,1.0
567,2017000203991,0,,,
568,2017000204042,0,,,
569,2017000204082,3,6.0,184500.0,0.0
570,2017000204253,2,2.0,152000.0,2.0
571,2017000204337,0,,,
572,2017000204436,0,,,
573,2017000204600,2,3.0,166000.0,2.0
574,2017000204846,5,3.0,63600.0,2.0
575,2017000204960,0,,,
576,2017000205965,4,3.0,121000.0,2.0
577,2017000206073,4,1.0,30000.0,1.0
578,2017000206424,2,4.0,112000.0,
579,2017000206648,1,3.0,51000.0,
580,2017000206966,2,1.0,56100.0,1.0
581,2017000207039,0,,,
582,2017000207239,2,1.0,51400.0,0.0
583,2017000207459,2,2.0,114800.0,2.0
584,2017000208224,2,2.0,62500.0,
585,2017000209186,2,2.0,49600.0,
586,2017000209254,0,,,
587,2017000209522,2,3.0,58600.0,0.0
588,2017000209641,1,1.0,60000.0,
589,2017000210409,0,,,
590,2017000210660,1,2.0,42900.0,
591,2017000212528,4,3.0,60500.0,3.0
592,2017000212804,3,5.0,43700.0,3.0
593,2017000212954,1,2.0,40000.0,
594,2017000213109,1,1.0,50000.0,
595,2017000213343,0,,,
596,2017000213672,4,5.0,423400.0,3.0
597,2017000213756,3,1.0,47400.0,3.0
598,2017000213837,3,2.0,29000.0,1.0
599,2017000214080,1,3.0,60000.0,
600,2017000215931,1,1.0,91000.0,
601,2017000216054,3,2.0,80000.0,2.0
602,2017000216430,6,3.0,97000.0,2.0
603,2017000216705,1,1.0,31000.0,
604,2017000217159,4,3.0,183200.0,2.0
605,2017000217392,4,2.0,45000.0,1.0
606,2017000217619,1,3.0,53000.0,
607,2017000217696,1,6.0,20000.0,
608,2017000218208,5,4.0,116000.0,1.0
609,2017000218299,5,3.0,85900.0,2.0
610,2017000219364,6,2.0,42600.0,2.0
611,2017000220386,1,2.0,86000.0,
612,2017000220694,2,3.0,75000.0,2.0
613,2017000221196,4,1.0,45500.0,1.0
614,2017000221211,1,1.0,-1200.0,
615,2017000221734,1,2.0,62110.0,
616,2017000221776,3,3.0,82000.0,3.0
617,2017000221922,1,2.0,34000.0,
618,2017000221940,1,2.0,100000.0,
619,2017000222042,4,2.0,46600.0,2.0
620,2017000222248,2,3.0,36000.0,2.0
621,2017000222353,5,4.0,95800.0,3.0
622,2017000222418,1,1.0,9600.0,
623,2017000222664,1,3.0,45000.0,
624,2017000223072,2,2.0,65300.0,
625,2017000223167,2,2.0,39300.0,2.0
626,2017000223537,2,2.0,69000.0,0.0
627,2017000223728,4,2.0,48000.0,2.0
628,2017000224813,2,3.0,77600.0,1.0
629,2017000224881,0,,,
630,2017000225707,2,1.0,52100.0,2.0
631,2017000226910,6,1.0,55000.0,2.0
632,2017000227260,2,2.0,68200.0,2.0
633,2017000227783,3,3.0,41000.0,2.0
634,2017000227872,2,2.0,28100.0,2.0
635,2017000228099,3,4.0,110000.0,2.0
636,2017000228959,2,1.0,17900.0,0.0
637,2017000229040,1,0.0,2200.0,
638,2017000230683,4,2.0,66000.0,2.0
639,2017000230773,1,0.0,15600.0,
640,2017000231078,1,1.0,21100.0,
641,2017000231079,4,2.0,75000.0,2.0
642,2017000232364,5,5.0,86800.0,
643,2017000233960,3,1.0,65000.0,1.0
644,2017000234200,4,1.0,18800.0,0.0
645,2017000234872,1,1.0,40340.0,
646,2017000235698,2,2.0,171400.0,2.0
647,2017000235923,0,,,
648,2017000236151,1,1.0,13600.0,
649,2017000236341,1,2.0,35000.0,
650,2017000237450,1,0.0,5100.0,
651,2017000238077,4,3.0,64000.0,3.0
652,2017000238094,2,1.0,29600.0,1.0
653,2017000238362,3,2.0,48000.0,1.0
654,2017000238624,2,3.0,65400.0,1.0
655,2017000239325,3,3.0,101000.0,3.0
656,2017000239347,0,,,
657,2017000239572,3,3.0,61200.0,2.0
658,2017000240145,2,2.0,22700.0,0.0
