,Type,Length,Label,HH,PER,VEH,TRIP
PUBTIME,N,3,Minutes Spent Transferring to Work,,P,,
PUBTRANS,C,2,Public transportation used on trip,,,,T
RAIL,C,2,MSA heavy rail status for household,H,P,V,T
RESP_CNT,N,3,Count of responding persons per household,H,,,
RIDESHARE,N,3,Count of Rideshare App Usage,,P,,
R_AGE,N,3,Age,,P,,T
R_AGE_IMP,N,3,Age (imputed),,P,,T
R_HISP,C,2,Hispanic or Latino Origin,,P,,
R_RACE,C,2,Race,,P,,
R_RELAT,C,2,Relationship,,P,,
R_SEX,C,2,Gender,,P,,T
R_SEX_IMP,C,2,Gender (imputed),,P,,T
SAMEPLC,C,2,Reason for No Trips,,P,,
SAMPSTRAT,C,2,Primary Sampling Stratum Assignment,H,,,
SCHTRN1,C,2,Mode to School,,P,,
SCHTRN2,C,2,Mode from School,,P,,
SCHTYP,C,2,Student Status,,P,,
SCRESP,C,2,"Person identifier of mail screener respondent, always 1 to roster self first",H,,,
SMPLSRCE,C,2,Sample where the case originated,H,P,V,T
SPHONE,C,2,Frequency of Smartphone Use to Access the Internet,H,,,
STRTTIME,C,4,Trip Start Time (HHMM),,,,T
TAB,C,2,Frequency of Tablet Use to Access the Internet,H,,,
TAXI,C,2,Frequency of Taxi Service or Rideshare Use for Travel,H,,,
TDAYDATE,C,6,Date of travel day (YYYYMM),H,P,V,T
TDCASEID,C,12,Unique identifier for every trip record in the file,,,,T
TDTRPNUM,C,2,"Incrementing travel day trip number, starting at 1 for each person in the file",,,,T
TDWKND,C,2,Weekend trip,,,,T
TIMETOWK,N,3,Trip Time to Work in Minutes,,P,,
TRACCTM,N,3,Trip Time to Transit Station in Minutes,,,,T
TRACC_BUS,C,2,Bus as mode used to get to public transit?,,,,T
TRACC_CRL,C,2,Rail as mode used to get to public transit?,,,,T
TRACC_OTH,C,2,Other mode used to get to public transit?,,,,T
TRACC_POV,C,2,POV as mode used to get to public transit?,,,,T
TRACC_SUB,C,2,Subway as mode used to get to public transit?,,,,T
TRACC_WLK,C,2,Walk as mode used to get to public transit?,,,,T
TRAIN,C,2,Frequency of Train Use for Travel,H,,,
TRAVDAY,C,2,Travel day - day of week,H,P,V,T
TREGRTM,N,3,Time to Destination from Transit in Minutes,,,,T
TREGR_BUS,C,2,Bus as mode used to get from public transit?,,,,T
TREGR_CRL,C,2,Rail as mode used to get from public transit?,,,,T
TREGR_OTH,C,2,Other mode used to get from public transit?,,,,T
TREGR_POV,C,2,POV as mode used to get from public transit?,,,,T
TREGR_SUB,C,2,Subway as mode used to get from public transit?,,,,T
TREGR_WLK,C,2,Walk as mode used to get from public transit?,,,,T
TRIPPURP,C,8,"Generalized purpose of trip, home-based and non-home based",,,,T
TRPACCMP,N,3,Count of People on Trip,,,,T
TRPHHACC,N,3,Count of Household Members on Trip,,,,T
TRPHHVEH,C,2,Household Vehicle Used on Trip,,,,T
TRPMILAD,N,8,"Trip distance in miles, adjusted for comparability to past surveys",,,,T
TRPMILES,N,8,"Trip distance in miles, derived from route geometry returned by Google Maps API, or from reported loop-trip distance",,,,T
TRPTRANS,C,2,"Trip Mode, derived",,,,T
TRVLCMIN,N,4,Trip Duration in Minutes,,,,T
TRWAITTM,N,3,Transit wait time in minutes,,,,T
URBAN,C,2,"Household's urban area classification, based on home address and 2014 TIGER/Line Shapefile",H,P,V,T
URBANSIZE,C,2,Urban area size where home address is located,H,P,V,T
URBRUR,C,2,Household in urban/rural area,H,P,V,T
USEPUBTR,C,2,"Public Transit Usage on Travel Date, derived",,P,,
VEHAGE,N,3,"Age of vehicle, based on model year",,,V,
VEHID,C,2,Household Vehicle Identifier Used on Trip,,,V,T
VEHOWNED,C,2,Owned Vehicle Longer than a Year,,,V,
VEHOWNMO,C,2,Months of Vehicle Ownership,,,V,
VEHTYPE,C,2,Vehicle Type,,,V,T
VEHYEAR,N,4,Vehicle Year,,,V,
VMT_MILE,N,8,"Trip distance in miles for personally driven vehicle trips, derived from route geometry returned by Google Maps API",,,,T
VPACT,N,3,Count of Times of Vigorous Physical Activity in Past Week,,P,,
WALK,C,2,Frequency of Walking for Travel,H,,,
WALK2SAVE,C,2,Walk to Reduce Financial Burden of Travel,H,,,
WALK4EX,N,3,Count of Walk Trips for Exercise,,P,,
WALK_DEF,C,2,Reason for Not Walking More: Infrastructure,,P,,
WALK_GKQ,C,2,Reason for Not Walking More: Safety,,P,,
WEBUSE17,C,2,Frequency of internet use,H,,,
WHODROVE,C,2,Person Identifier Who Drove on Trip,,,,T
WHOMAIN,C,2,Vehicle Main Driver,,,V,
WHOPROXY,C,2,Household Person Identifier Responsible for Trip Reporting,,P,,
WHYFROM,C,2,Trip Origin Purpose,,,,T
WHYTO,C,2,Trip Destination Purpose,,,,T
WHYTRP1S,C,2,Trip purpose summary,,,,T
WHYTRP90,C,2,Travel day trip purpose consistent with 1990 NPTS design.,,,,T
WKFMHMXX,N,3,Count of Days Worked From Home in Last Month,,P,,
WKFTPT,C,2,Full-Time or Part-Time Worker,,P,,
WKRMHM,C,2,Option of Working from Home,,P,,
WKSTFIPS,C,2,The state FIPS code for the respondent's geocoded work address. The state FIPS codes were identified using United States Census Bureau 2016 TIGER/Line Shapefiles.,,P,,
WORKER,C,2,Worker status,,P,,T
WRKCOUNT,N,3,Number of workers in household,H,P,V,T
WRKTIME,C,8,Arrival Time at Work,,P,,
WRKTRANS,C,2,Mode to Work,,P,,
WRK_HOME,C,2,Work from Home,,P,,
WTHHFIN,N,8,Final HH weight,H,,V,
WTPERFIN,N,8,Final Person weight,,P,,
WTTRDFIN,N,8,Final trip weight,,,,T
W_CANE,C,2,Medical Device Used: Cane,,P,,
W_CHAIR,C,2,Medical Device Used: Wheelchair,,P,,
W_CRUTCH,C,2,Medical Device Used: Crutches,,P,,
W_DOG,C,2,Medical Device Used: Dog Assistance,,P,,
W_MTRCHR,C,2,Medical Device Used: Motorized Wheelchair,,P,,
W_NONE,C,2,Medical Device Used: None,,P,,
W_SCOOTR,C,2,Medical Device Used: Motorized Scooter,,P,,
W_WHCANE,C,2,Medical Device Used: White Cane,,P,,
W_WLKR,C,2,Medical Device Used: Walker,,P,,
YEARMILE,N,6,Miles Personally Driven in all Vehicles,,P,,
YOUNGCHILD,N,3,Count of persons with an age between 0 and 4 in household,H,,,
YRTOUS,N,4,Year of Arrival in United States,,P,,
