Household Identifier,Person Identifier,"Incrementing travel day trip number, starting at 1 for each person in the file",Trip Start Time (HHMM),Trip End Time (HHMM),Trip Duration in Minutes,"Trip distance in miles, derived from route geometry returned by Google Maps API, or from reported loop-trip distance","Trip Mode, derived",Count of People on Trip,Count of Household Members on Trip,Household Vehicle Identifier Used on Trip,Transit wait time in minutes,Count of Transfers,Trip Time to Transit Station in Minutes,Parked or Dropped Off at Station,Time to Destination from Transit in Minutes,Person Identifier Who Drove on Trip,Trip Origin Purpose,Trip origin and destination at identical location,Household Vehicle Used on Trip,Household member drove on trip,Number of household members on trip including respondent,Number of non-household members on trip,Number of people on trip including respondent,Respondent was passenger on trip,Public transportation used on trip,"Generalized purpose of trip, home-based and non-home based",Time at destination,Weekend trip,"Trip distance in miles for personally driven vehicle trips, derived from route geometry returned by Google Maps API",Respondent drove on trip,Trip purpose summary,Household Person Identifier on Trip: 1,Household Person Identifier on Trip: 2,Household Person Identifier on Trip: 3,Household Person Identifier on Trip: 4,Household Person Identifier on Trip: 5,Household Person Identifier on Trip: 6,Household Person Identifier on Trip: 7,Household Person Identifier on Trip: 8,Household Person Identifier on Trip: 9,Household Person Identifier on Trip: 10,Household Person Identifier on Trip: 11,Household Person Identifier on Trip: 12,Household Person Identifier on Trip: 13,Unique identifier for every trip record in the file,Walk as mode used to get to public transit?,POV as mode used to get to public transit?,Bus as mode used to get to public transit?,Rail as mode used to get to public transit?,Subway as mode used to get to public transit?,Other mode used to get to public transit?,Walk as mode used to get from public transit?,POV as mode used to get from public transit?,Bus as mode used to get from public transit?,Rail as mode used to get from public transit?,Subway as mode used to get from public transit?,Other mode used to get from public transit?,Trip Destination Purpose,Travel day - day of week,Home Ownership,Count of household members,Count of household vehicles,Household income,Number of drivers in household,Household state,State FIPS for household address,Count of adult household members at least 18 years old,Number of workers in household,Date of travel day (YYYYMM),Person identifier of household respondent,"Life Cycle classification for the household, derived by attributes pertaining to age, relationship, and work status.","Metropolitan Statistical Area (MSA) category for the household's home address, based on household's home geocode and TIGER/Line Shapefiles.","Population size category of the Metropolitan Statistical Area (MSA), from the 2010-2014 five-year American Community Survey (ACS) API.",MSA heavy rail status for household,"Household's urban area classification, based on home address and 2014 TIGER/Line Shapefile",Urban area size where home address is located,Household in urban/rural area,"Price of gasoline, in cents, on respondent's travel day",2010 Census division classification for the respondent's home address,Census region classification for home address,"Grouping of household by combination of census division, MSA status, and presence of a subway system when population greater than 1 million",Race of household respondent,Hispanic status of household respondent,Core Based Statistical Area (CBSA) FIPS code for the respondent's home address,Sample where the case originated,Age,Educational Attainment,Gender,Primary Activity in Previous Week,Trip info from respondent or proxy,Worker status,"Driver status, derived",Final trip weight,Travel day trip purpose consistent with 1990 NPTS design.,"Trip distance in miles, adjusted for comparability to past surveys",Age (imputed),Gender (imputed),Vehicle Type,Urban / Rural indicator - Trip Origin Block group,Urban / Rural indicator - Trip Destination Block group,Category of the percent of renter-occupied housing in the census tract of the trip origin's location,Category of population density (persons per square mile) in the census tract of the trip origin's location,Category of housing units per square mile in the census tract of the trip origin's location,Category of workers per square mile in the census tract of the trip origin's location,Category of the percent of renter-occupied housing in the census block group of the trip origin's location,Category of population density (persons per square mile) in the census block group of the trip origin's location,Category of housing units per square mile in the census block group of the trip origin's location,Category of the percent of renter-occupied housing in the census tract of the trip destination's location,Category of population density (persons per square mile) in the census tract of the trip destination's location,Category of housing units per square mile in the census tract of the trip destination's location,Category of workers per square mile in the census tract of the trip destination's location,Category of the percent of renter-occupied housing in the census block group of the trip destination's location,Category of population density (persons per square mile) in the census block group of the trip destination's location,Category of housing units per square mile in the census block group of the trip destination's location
40386118,03,07,1445,1455,10,3.525,06,1,1,02,-1,-1,-1,-1,-1,01,10,02,01,01,2,0,2,01,02,HBO,-9,02,-1,02,01,01,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,403861180307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,05,01,3,2,07,2,CA,06,3,1,201701,01,10,04,06,02,02,06,01,274.3,09,04,94,01,02,XXXXX,02,67,02,01,97,01,02,02,14693.6633537798,10,3.9307275,67,01,04,T,T,50,1500,750,350,60,750,300,30,50,50,25,20,50,50
30296088,01,01,0730,0731,1,0.076,01,0,0,-1,-1,-1,-1,-1,-1,-1,01,02,02,-1,1,0,1,-1,02,HBO,3,02,-1,-1,01,01,02,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,302960880101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,02,01,4,1,11,2,NY,36,2,1,201604,01,04,01,05,01,01,05,01,233.1,02,01,21,01,02,35620,02,37,05,02,97,01,02,01,1492451.60597714,11,0.076,37,02,-1,U,U,70,30000,30000,5000,60,30000,17000,70,30000,30000,5000,60,30000,17000
30178534,02,11,2045,2055,10,2.423,03,0,0,01,-1,-1,-1,-1,-1,02,16,02,01,01,1,0,1,02,02,NHB,10,01,2.423,01,40,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,301785340211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,07,02,3,1,01,2,FL,12,2,0,201610,01,06,02,04,02,01,04,01,236.0,05,03,52,01,02,45300,01,36,05,01,05,01,02,01,6203468.56830053,03,2.7018873,36,01,01,S,U,95,3000,50,350,95,3000,50,80,7000,7000,3000,80,7000,7000
30520855,02,06,1750,1810,20,14.136,04,0,0,01,-1,-1,-1,-1,-1,02,13,02,01,01,1,0,1,02,02,HBSHOP,-9,02,14.136,01,01,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,305208550206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,06,01,3,2,08,2,WI,55,2,2,201608,02,06,03,03,02,04,06,02,216.4,03,02,33,01,02,XXXXX,02,42,04,02,01,01,01,01,41760.5448653418,01,15.174996,42,02,03,T,R,20,3000,750,1500,20,1500,750,20,300,50,75,20,300,300
40674476,01,01,0845,0855,10,1.973,03,0,0,01,-1,-1,-1,-1,-1,01,01,02,01,01,1,0,1,02,02,HBW,490,02,1.973,01,10,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,406744760101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,03,06,01,2,2,06,2,NY,36,2,2,201703,01,02,03,01,02,01,01,01,253.0,02,01,23,01,02,XXXXX,02,36,04,02,01,01,01,01,17949.2114315241,01,2.1180155,36,02,01,T,C,50,3000,1500,750,20,750,300,60,7000,3000,3000,60,7000,3000
30249623,01,03,1100,1130,30,9.743,03,1,1,02,-1,-1,-1,-1,-1,01,01,02,01,01,2,0,2,02,02,HBO,60,02,9.743,01,97,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,302496230103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,02,01,2,2,06,1,CO,08,2,0,201606,01,10,02,04,02,01,01,01,241.5,08,04,82,01,02,19740,01,69,03,01,06,01,02,01,1210919.02519559,11,10.8644193,69,01,01,T,T,05,750,300,150,0,1500,750,90,750,300,350,90,750,750
40573713,02,02,1705,1750,45,22.065,03,0,0,01,-1,-1,-1,-1,-1,02,03,02,01,01,1,0,1,02,02,HBW,-9,02,22.065,01,01,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,405737130202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,02,01,2,2,08,2,TX,48,2,2,201701,01,02,02,05,02,01,04,01,223.3,07,03,72,01,01,19100,02,41,04,01,01,01,01,01,123214.4390336,01,23.6867775,41,01,01,S,C,05,3000,1500,1500,05,7000,1500,30,7000,1500,1500,20,3000,1500
40055049,02,01,1400,1415,15,1.63,04,0,0,02,-1,-1,-1,-1,-1,02,01,02,01,01,1,0,1,02,02,HBSHOP,10,01,1.63,01,40,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400550490201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,07,01,2,2,06,2,IA,19,2,2,201703,01,02,03,03,02,01,02,01,231.3,04,02,43,01,02,XXXXX,02,56,03,02,01,01,01,01,33917.2268901072,03,1.817613,56,02,03,C,C,40,3000,1500,3000,30,3000,1500,30,7000,3000,3000,30,7000,3000
30178637,02,01,1015,1025,10,3.215,05,2,2,02,-1,-1,-1,-1,-1,01,01,02,01,01,3,0,3,01,02,HBSOCREC,35,01,-1,02,50,01,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,301786370201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,07,02,3,2,06,2,CA,06,2,2,201610,01,04,02,04,02,02,06,01,274.0,09,04,92,01,02,40900,02,25,02,02,04,02,01,01,96370.4961172566,10,3.5850465,25,02,02,T,T,30,750,300,150,40,1500,750,30,750,300,350,30,300,300
40646550,01,09,1704,1717,13,1.095,04,0,0,01,-1,-1,-1,-1,-1,01,01,02,01,01,1,0,1,02,02,HBSOCREC,23,01,1.095,01,50,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,406465500109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,07,01,2,2,06,2,SC,45,2,0,201612,01,10,03,03,02,01,03,01,238.3,05,03,53,01,02,XXXXX,02,78,04,02,06,01,02,01,72645.3100572641,08,1.2210345,78,02,03,T,S,30,750,300,350,30,1500,750,30,3000,1500,1500,20,3000,1500
30517803,02,03,1747,1802,15,2.463,03,1,1,01,-1,-1,-1,-1,-1,01,11,02,01,01,2,0,2,01,02,HBSHOP,-9,02,-1,02,01,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,305178030203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,03,01,2,3,06,2,GA,13,2,1,201606,01,10,03,03,02,01,02,01,233.2,05,03,53,01,02,XXXXX,02,83,04,02,06,02,02,01,36447.4879299655,03,2.7464913,83,02,01,C,S,20,3000,1500,1500,40,3000,1500,20,3000,750,750,20,1500,750
30546917,01,02,0719,0724,5,1.607,05,2,2,03,-1,-1,-1,-1,-1,01,06,02,01,01,3,0,3,02,02,HBO,416,02,1.607,01,01,01,02,02,01,01,-1,-1,-1,-1,-1,-1,-1,-1,305469170102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,03,01,5,5,03,3,SC,45,3,2,201611,01,06,02,04,02,02,06,01,232.7,05,03,52,01,02,16740,02,48,02,02,01,01,01,01,140043.925440517,04,1.7919657,48,02,02,T,T,30,750,300,350,30,300,300,30,750,300,350,30,300,300
30150415,01,07,1830,1836,6,2.149,03,0,0,03,-1,-1,-1,-1,-1,01,01,02,01,01,1,0,1,02,02,HBSOCREC,69,02,2.149,01,50,01,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,301504150107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,03,01,3,4,10,3,CA,06,3,3,201606,01,02,01,05,01,01,02,01,276.3,09,04,91,01,02,31080,02,54,03,02,02,01,01,01,832234.019592245,08,2.3963499,54,02,01,S,S,05,3000,1500,1500,20,3000,750,30,3000,1500,1500,20,1500,750
40089823,02,05,1906,1911,5,0.324,01,1,1,-1,-1,-1,-1,-1,-1,-1,02,02,02,-1,2,0,2,-1,02,HBSHOP,31,02,-1,-1,40,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400898230205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,04,01,2,3,11,2,CA,06,2,2,201702,02,02,01,05,01,01,03,01,281.9,09,04,91,01,02,41860,02,25,04,02,01,02,01,01,123158.522958558,03,0.324,25,02,-1,S,S,05,3000,1500,1500,05,3000,1500,05,3000,1500,1500,05,3000,1500
30039205,01,05,1615,1625,10,2.003,03,0,0,01,-1,-1,-1,-1,-1,01,11,02,01,01,1,0,1,02,02,HBSHOP,140,02,2.003,01,01,01,02,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,300392050105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,03,01,4,3,10,4,WI,55,4,4,201605,01,08,04,06,02,02,06,01,220.2,03,02,34,01,02,XXXXX,02,52,05,02,01,01,01,01,82558.2687814962,01,2.1502205,52,02,01,T,T,30,750,300,350,40,300,300,30,750,300,350,40,300,300
40482214,02,08,1420,1435,15,3.585,03,1,1,01,-1,-1,-1,-1,-1,02,13,02,01,01,2,0,2,02,02,NHB,5,02,3.585,01,70,02,01,02,02,01,-1,-1,-1,-1,-1,-1,-1,-1,404822140208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,06,02,01,5,3,09,3,CA,06,3,2,201702,01,06,02,04,02,01,04,01,280.1,09,04,92,97,02,40900,02,43,04,02,01,01,01,01,127108.729529971,04,3.9976335,43,02,01,S,C,40,1500,750,750,90,750,300,20,7000,1500,3000,20,7000,3000
30470508,01,02,1400,1420,20,3.554,03,0,0,02,-1,-1,-1,-1,-1,01,03,02,01,01,1,0,1,02,02,HBW,-9,02,3.554,01,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,304705080102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,06,01,2,2,02,2,CA,06,2,1,201608,01,10,04,06,02,04,06,02,263.7,09,04,94,01,02,XXXXX,02,50,01,02,01,01,01,01,19631.3817036701,01,3.815219,50,02,01,R,R,20,50,50,25,20,50,50,20,50,50,25,20,50,50
30126845,01,04,1905,1920,15,4.66,06,0,0,02,-1,-1,-1,-1,-1,01,13,02,01,01,1,0,1,02,02,HBSHOP,-9,01,4.66,01,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,301268450104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,06,01,2,2,06,2,SC,45,2,0,201612,01,10,04,06,02,04,06,02,230.8,05,03,54,01,02,XXXXX,02,80,04,01,06,01,02,01,18432.0280642783,10,5.196366,80,01,04,R,R,05,50,50,25,05,50,50,05,50,50,25,05,50,50
30414029,02,01,1000,1005,5,2.278,04,1,1,02,-1,-1,-1,-1,-1,01,01,02,01,01,2,0,2,01,02,HBSHOP,15,01,-1,02,40,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,304140290201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,07,01,3,4,08,3,CT,09,3,1,201611,01,02,03,03,01,01,01,01,233.6,01,01,13,01,02,XXXXX,01,55,04,02,01,01,01,01,1784931.39076363,03,2.5401978,55,02,03,S,T,05,750,300,350,05,1500,300,05,750,300,350,20,750,300
30482495,02,03,1205,1240,35,20.62,06,0,0,01,-1,-1,-1,-1,-1,02,01,02,01,01,1,0,1,02,02,HBSHOP,170,01,20.62,01,80,02,01,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,304824950203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,07,01,4,4,10,4,TX,48,4,3,201610,01,08,02,05,02,01,04,01,207.6,07,03,72,02,02,26420,02,54,04,01,01,01,01,01,408769.267272942,10,22.993362,54,01,04,C,U,20,3000,1500,1500,05,7000,1500,70,17000,7000,5000,60,17000,17000
40455999,01,02,0715,0720,5,0.385,01,0,0,-1,-1,-1,-1,-1,-1,-1,16,02,02,-1,1,0,1,-1,02,HBSOCREC,30,02,-1,-1,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,404559990102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,06,01,1,1,06,1,MD,24,1,1,201702,01,01,01,04,01,01,05,01,257.1,05,03,51,01,02,12580,01,65,05,02,01,01,01,01,591321.413544299,10,0.385,65,02,-1,U,U,50,7000,7000,5000,30,17000,7000,40,30000,17000,5000,30,30000,17000
30055617,02,02,1715,1732,17,9.647,03,0,0,02,-1,-1,-1,-1,-1,02,03,02,01,01,1,0,1,02,02,NHB,14,02,9.647,01,40,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300556170202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,02,01,3,3,08,3,CA,06,3,3,201609,01,02,03,02,02,01,01,01,271.6,09,04,93,01,02,XXXXX,02,58,03,02,01,01,01,01,18515.9537575807,03,10.7573697,58,02,01,T,C,30,50,50,25,60,50,50,40,3000,750,1500,50,3000,1500
40073275,02,02,1510,1535,25,14.154,05,0,0,01,-1,-1,-1,-1,-1,02,03,02,01,01,1,0,1,02,02,HBW,-9,02,14.154,01,01,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400732750202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,02,01,2,3,06,2,DE,10,2,2,201611,01,02,03,02,02,04,06,02,243.2,05,03,53,01,02,XXXXX,01,50,03,02,01,01,01,01,384111.24171877,01,15.194319,50,02,02,R,R,30,300,50,75,30,300,50,20,50,50,25,20,50,50
30494031,04,03,1620,1625,5,1.129,03,1,1,03,-1,-1,-1,-1,-1,03,01,02,01,01,2,0,2,01,02,HBO,5,02,-1,02,40,02,02,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,304940310403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,06,01,4,3,07,3,NE,31,2,3,201608,01,06,03,03,02,01,03,01,220.4,04,02,43,01,02,XXXXX,01,11,-1,01,-1,02,-1,-1,674481.155076105,04,1.2589479,11,01,01,C,S,0,7000,1500,3000,05,7000,1500,05,3000,1500,1500,05,7000,1500
40695840,01,02,1040,1050,10,4.188,03,0,0,01,-1,-1,-1,-1,-1,01,04,02,01,01,1,0,1,02,02,HBW,80,02,4.188,01,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,406958400102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,06,01,2,2,07,2,WI,55,2,1,201703,01,10,03,01,02,01,01,01,230.6,03,02,33,01,02,XXXXX,02,66,03,01,01,01,01,01,25584.1079018481,02,4.6700388,66,01,01,S,R,40,1500,750,750,50,3000,1500,20,750,300,150,05,300,300
