,race,age,gender
1634391,white,adult,male
610434,white,senior,male
799353,asian,child,female
919716,white,adult,male
661070,white,adult,female
253280,other,adult,female
1371207,black,adult,male
1283641,asian,senior,male
1130944,white,young-adult,male
295753,other,adult,male
629452,white,child,male
271044,asian,adult,female
84687,black,senior,male
1133258,white,tenager,male
778741,white,tenager,male
1821748,white,adult,male
443741,white,senior,female
472011,black,tenager,male
1469995,white,tenager,female
1853048,white,adult,female
1520299,other,young-adult,male
852990,white,senior,male
1754977,white,child,female
900081,native,young-adult,female
1287164,asian,adult,female
1017236,white,tenager,female
1578781,asian,adult,female
1580131,white,adult,female
1263346,white,tenager,male
1794608,white,senior,male
876028,black,senior,female
142683,other,adult,male
408609,other,tenager,male
1402257,white,tenager,female
285402,asian,tenager,female
493882,white,adult,female
807606,other,adult,female
1803478,other,adult,male
21236,white,adult,male
434898,white,senior,male
1183880,black,senior,female
134604,other,adult,male
662347,other,child,female
856688,white,senior,male
717905,white,tenager,male
1193574,native,adult,female
572334,white,senior,male
1418082,white,adult,female
240422,white,adult,female
1304025,white,adult,female
1219351,white,young-adult,female
774093,white,tenager,female
886282,asian,child,female
1763129,white,adult,male
56145,white,young-adult,female
1101847,white,adult,female
455715,white,adult,male
940455,white,child,female
125740,white,adult,male
1844753,asian,adult,female
173463,white,adult,female
757963,white,senior,male
1249563,white,adult,female
1257216,white,adult,male
637089,asian,tenager,female
456062,white,adult,male
305016,white,adult,male
840085,white,tenager,male
249824,white,adult,male
1766661,white,senior,male
1623874,asian,child,female
438244,black,tenager,female
1420564,white,adult,male
42719,other,adult,male
1281817,white,adult,female
876786,white,tenager,female
1506094,native,adult,male
1883283,black,adult,female
138970,white,adult,male
1221091,other,child,male
981477,white,adult,male
859136,white,adult,female
1731973,asian,adult,male
460509,asian,tenager,male
1297555,native,tenager,female
391508,white,tenager,male
595187,black,senior,female
1735161,white,adult,male
872324,white,tenager,female
904663,white,child,female
1168411,asian,tenager,female
1273089,white,adult,female
1790816,white,adult,male
1544627,asian,adult,male
743644,black,adult,female
732864,white,adult,female
1723657,white,adult,male
171331,other,adult,female
289943,white,tenager,male
1620548,white,adult,female
328308,white,adult,female
1624857,other,adult,female
839754,white,senior,male
1151422,asian,tenager,female
352142,asian,adult,female
189342,white,adult,male
1077120,other,child,female
469882,black,adult,female
1886291,asian,adult,male
2776,native,adult,female
683391,black,adult,female
1690330,white,adult,male
147987,white,adult,female
781898,white,young-adult,female
94143,other,adult,male
16467,white,young-adult,male
850635,white,senior,female
367865,white,tenager,female
546464,white,tenager,female
179426,asian,adult,male
880578,white,tenager,male
30264,white,tenager,female
707505,white,senior,female
1327658,black,child,male
556461,asian,senior,male
1683506,white,adult,female
1106555,white,tenager,male
20972,white,child,male
197352,white,adult,male
1304678,white,tenager,male
28815,other,adult,female
990612,asian,tenager,male
495521,white,senior,male
419229,white,tenager,male
121152,white,adult,male
42472,white,adult,male
1312276,native,tenager,male
633465,black,tenager,female
519120,black,senior,male
1146619,other,tenager,female
160069,white,adult,male
1148774,white,child,male
518926,white,senior,male
1447036,white,senior,male
743535,asian,adult,female
144989,asian,senior,female
1863472,black,adult,male
284545,white,adult,female
1165654,white,senior,male
612944,white,adult,male
407914,other,adult,male
537894,black,tenager,male
1517628,white,adult,male
1117312,white,tenager,male
1447725,asian,tenager,male
362808,white,senior,female
127162,other,adult,female
1191038,white,senior,male
1100723,asian,young-adult,male
965238,white,adult,male
981718,native,tenager,female
332096,white,senior,female
1187436,white,adult,male
2958,white,adult,female
1259554,other,tenager,female
1405894,other,child,male
1749815,white,adult,female
495552,white,adult,female
912049,white,tenager,female
939239,white,child,male
41697,asian,adult,male
1209626,white,tenager,male
1029518,white,senior,female
876892,white,senior,female
417391,asian,tenager,male
849383,white,adult,female
1697700,white,child,female
1753634,other,child,female
663221,other,tenager,female
973474,asian,adult,male
293952,white,adult,male
1748169,asian,adult,female
365049,white,senior,male
1476930,white,adult,male
689543,white,tenager,male
111368,white,senior,female
1624108,white,adult,female
132937,other,adult,male
1239640,black,adult,female
212133,asian,tenager,male
185916,white,young-adult,female
1850226,white,senior,male
428865,other,adult,male
8965,white,adult,female
1667535,white,tenager,male
1254312,white,senior,male
578277,asian,child,male
515353,asian,adult,female
1811928,white,adult,female
386209,other,tenager,male
1461156,asian,senior,female
1251191,asian,child,male
1493771,white,child,female
840038,white,senior,male
1390966,asian,adult,female
693530,asian,tenager,male
218707,white,tenager,male
725076,asian,adult,female
536661,asian,child,male
908954,white,senior,female
239242,white,tenager,male
436991,native,adult,male
1201301,asian,senior,female
1639376,white,adult,male
681611,white,senior,female
1052772,asian,adult,male
145118,asian,senior,female
976257,white,adult,female
1737437,asian,adult,female
1748142,white,adult,female
453175,asian,young-adult,female
1680149,other,adult,male
834808,white,senior,female
819729,white,tenager,female
1362443,white,adult,female
1776505,asian,child,male
1184012,white,adult,female
1124327,other,adult,female
630637,asian,young-adult,female
434321,white,adult,male
268351,other,young-adult,male
542392,other,adult,male
1411706,white,adult,male
1375374,white,senior,female
1750569,asian,adult,male
1602457,white,senior,female
298902,other,adult,female
880097,black,tenager,female
1430733,white,tenager,female
1064934,other,tenager,male
88258,white,tenager,male
1784622,white,adult,male
851001,asian,senior,male
1572408,other,adult,male
1037152,white,adult,male
880219,asian,adult,female
591758,white,senior,female
1589474,asian,senior,male
1604605,black,tenager,male
1278306,asian,child,female
879444,other,adult,male
1413178,other,young-adult,female
1647066,white,child,female
1410378,other,senior,female
1039853,white,tenager,female
1568568,white,tenager,male
10203,white,young-adult,female
1627606,asian,adult,male
353604,other,adult,male
198866,white,adult,female
6582,white,senior,female
1858409,asian,adult,male
225494,other,adult,female
874249,white,senior,female
842145,asian,adult,male
246666,white,adult,female
1708484,black,adult,male
823531,white,adult,female
538272,white,senior,male
105452,white,senior,male
925531,asian,tenager,male
709319,white,senior,male
1577928,asian,senior,female
659759,other,tenager,male
1188785,black,senior,male
1858294,white,adult,female
1301538,white,adult,female
633682,black,adult,male
1348862,white,tenager,male
1039032,white,adult,female
600312,asian,adult,female
95693,white,adult,female
1158569,white,adult,female
61153,native,child,female
1254960,white,adult,male
80922,white,adult,male
614234,white,adult,male
55033,white,tenager,male
1491953,asian,tenager,male
1411873,other,tenager,female
1316287,white,adult,male
1528175,white,tenager,male
348034,white,adult,female
960062,other,tenager,female
1171180,white,adult,female
657938,white,senior,male
1333555,white,tenager,male
1534141,white,senior,female
556595,white,senior,female
1755810,white,adult,female
934252,other,tenager,female
1319802,white,adult,female
728964,native,adult,female
597065,white,tenager,female
676680,other,young-adult,male
1042377,black,adult,male
1149649,white,senior,female
1086021,white,tenager,female
887759,black,child,male
220545,pacific-islander,adult,female
479805,asian,tenager,male
1536287,white,senior,male
833002,white,adult,female
900824,asian,senior,male
676840,black,senior,male
1405045,black,adult,female
1856113,white,adult,female
204705,native,senior,female
142262,black,tenager,female
1132553,white,tenager,female
1416784,white,adult,female
319700,white,senior,female
1627985,white,tenager,female
1590546,white,adult,male
988939,other,young-adult,male
1885609,white,senior,female
720818,white,senior,male
724329,white,tenager,male
1440951,white,tenager,female
753516,other,tenager,female
1084441,white,tenager,female
1366464,other,adult,female
1173254,white,adult,male
1260264,white,senior,male
1327462,white,adult,female
559752,asian,adult,female
600958,white,child,male
1613376,white,adult,male
1228747,white,adult,female
965475,white,tenager,male
1832641,other,child,male
143506,white,adult,female
956799,other,adult,female
486530,white,tenager,female
367982,white,adult,male
1147144,other,child,female
774123,other,child,male
1869634,white,senior,female
1522211,other,senior,male
1074462,white,adult,female
1041686,white,senior,female
1779538,asian,adult,female
1834495,white,adult,female
1752971,white,tenager,male
687909,white,adult,female
227385,white,senior,male
284605,white,adult,male
1690866,asian,senior,female
763714,white,senior,male
939448,white,child,female
449783,white,tenager,male
740506,black,adult,female
1166342,white,senior,female
1196754,white,adult,female
999382,asian,tenager,male
1022695,white,tenager,male
274721,white,adult,female
612349,white,adult,female
1665663,native,senior,female
1407562,asian,adult,male
1206932,other,adult,female
1364080,white,adult,male
1478566,white,adult,female
1126961,black,adult,male
658318,black,senior,male
1549408,asian,tenager,male
1450230,asian,senior,female
711832,white,adult,male
1697939,white,child,male
1180871,white,child,female
346263,white,tenager,male
1096734,white,tenager,female
1392627,black,adult,male
291879,black,adult,male
1859853,white,senior,female
1469408,white,senior,male
218623,other,adult,male
438673,native,adult,male
1249238,white,adult,male
16228,white,adult,male
594095,white,senior,male
453430,white,tenager,female
1557770,other,adult,male
970696,white,adult,male
967402,other,adult,male
5740,white,adult,female
602069,white,adult,male
420829,white,senior,male
1480419,white,adult,female
358614,white,tenager,male
853356,other,adult,male
782304,white,senior,female
360266,white,young-adult,male
582703,white,tenager,male
967974,white,adult,male
1635103,white,senior,female
493507,white,senior,female
1441668,other,tenager,female
244914,white,adult,female
1324872,white,adult,female
1538188,asian,tenager,male
1183512,white,adult,male
738130,white,tenager,female
1338565,white,adult,male
1724210,white,adult,female
771910,white,tenager,female
955917,white,adult,female
119438,other,adult,female
1698849,white,senior,male
281250,white,senior,female
935769,white,senior,female
1335477,white,senior,male
337709,white,adult,female
725328,white,adult,female
1657462,other,adult,female
182018,white,young-adult,female
1659569,native,adult,female
203736,white,adult,female
1441618,white,adult,male
1849240,white,adult,male
1073858,white,senior,female
1531603,other,adult,female
507140,white,tenager,male
703627,other,adult,female
1530387,asian,tenager,female
1191763,white,adult,female
1321759,white,tenager,female
769460,native,senior,female
1239962,white,senior,male
1032731,white,senior,female
1200758,black,adult,female
507937,pacific-islander,young-adult,male
1405543,pacific-islander,adult,male
169360,white,senior,male
508359,white,young-adult,female
1806822,asian,adult,female
1008216,pacific-islander,adult,male
1321057,black,adult,male
1585258,white,senior,female
1627235,white,adult,male
826672,asian,adult,female
90011,other,young-adult,male
900516,white,tenager,female
1404885,asian,young-adult,male
1395530,white,adult,male
806802,white,senior,female
227125,asian,child,female
1357987,asian,senior,male
500831,black,senior,female
551774,white,senior,male
974658,other,tenager,female
1069396,native,tenager,male
1320568,native,child,female
1869252,other,child,female
1296663,white,tenager,male
205192,black,young-adult,female
782824,asian,adult,male
1120085,white,adult,male
1561114,asian,tenager,female
1280134,white,senior,male
450229,asian,young-adult,male
736040,white,senior,female
1329443,white,adult,male
1247382,white,senior,male
1479860,white,adult,male
442897,black,adult,male
1529036,white,adult,female
734416,other,child,male
1823798,white,senior,female
1748217,white,child,female
557373,white,adult,female
1742951,other,young-adult,male
327924,asian,tenager,female
463380,asian,senior,female
1565460,white,adult,female
410278,other,tenager,female
401331,white,child,male
1519621,black,adult,female
864894,white,senior,male
1543826,other,senior,female
1645193,white,senior,male
1207954,asian,adult,male
1471886,other,adult,male
1800117,white,adult,male
823403,other,child,male
736361,white,adult,male
425270,white,tenager,female
1028088,white,adult,male
1128900,native,adult,male
737362,asian,child,male
356233,white,adult,female
726119,white,adult,male
164754,asian,adult,female
152758,asian,senior,female
563658,white,adult,male
386813,asian,senior,male
1016817,other,child,female
22493,asian,adult,female
237731,asian,senior,female
1466140,white,child,male
1488077,white,adult,male
887358,asian,adult,male
1406880,white,senior,male
688065,white,tenager,male
940535,white,child,male
842046,asian,young-adult,male
406273,other,adult,female
1738112,other,tenager,male
744237,native,adult,female
1833603,white,child,male
485979,white,tenager,male
51584,white,young-adult,male
250830,other,adult,female
988753,white,adult,female
1726507,other,adult,female
1021554,other,adult,female
578621,other,adult,female
1273392,white,tenager,female
1306301,asian,adult,male
927231,white,tenager,female
346617,white,senior,male
23938,white,adult,female
9951,white,young-adult,male
1061240,white,young-adult,male
1019512,white,tenager,female
1387954,white,adult,male
323363,white,child,female
1104566,black,senior,female
832951,other,tenager,female
1854735,asian,senior,male
104938,asian,tenager,male
1643786,white,tenager,female
1011001,black,adult,male
1757004,white,tenager,male
1414712,white,adult,female
1152134,white,adult,female
1759095,white,senior,female
141899,white,adult,female
1693820,pacific-islander,adult,male
729658,white,senior,male
1360299,white,adult,female
1604990,other,adult,male
1770018,white,adult,male
729259,other,child,male
1670315,white,tenager,male
546318,black,adult,female
849040,white,senior,male
1480010,asian,senior,male
803898,black,adult,male
679648,white,adult,male
778487,white,tenager,male
1715007,other,adult,male
1263648,other,tenager,female
764775,asian,senior,female
1076524,white,senior,male
176484,white,adult,male
1777568,white,senior,female
994897,white,adult,male
677775,other,adult,male
1022157,white,child,female
1656791,white,tenager,female
1298345,white,adult,female
1180276,white,adult,male
280593,white,tenager,male
1016847,other,adult,female
755152,white,adult,female
685813,asian,young-adult,female
936782,white,adult,female
31486,white,senior,male
1113118,black,senior,male
1821725,white,adult,female
745023,asian,young-adult,female
894485,white,adult,male
633692,white,adult,female
334074,white,adult,female
1422226,asian,child,female
1082849,asian,tenager,female
1676733,white,adult,female
968527,white,adult,male
823916,white,adult,male
516583,white,senior,male
444161,asian,adult,female
1789803,white,tenager,female
1573075,pacific-islander,adult,female
275577,white,adult,male
258794,black,adult,female
129386,white,tenager,male
677082,white,adult,female
24787,other,senior,female
1173172,white,senior,female
440039,white,senior,male
1838352,asian,young-adult,female
1263728,white,senior,male
1084605,other,adult,male
1454542,asian,senior,female
1453994,white,adult,male
1597975,white,adult,male
153985,white,adult,male
1511868,native,adult,female
43437,white,senior,female
265083,asian,adult,male
1871500,white,young-adult,female
275263,white,senior,male
145770,black,adult,female
1842481,white,child,female
107101,white,adult,female
292782,white,senior,female
346751,white,adult,female
1228004,white,senior,female
125241,other,young-adult,male
1523196,asian,senior,female
87798,white,young-adult,male
1320067,asian,adult,male
1193027,native,senior,female
368494,white,senior,female
1476352,asian,adult,male
834229,other,adult,female
1408921,white,senior,female
1275874,other,adult,male
1699302,black,senior,female
733697,white,adult,female
836108,other,tenager,male
28732,white,adult,male
344807,other,adult,female
564103,black,adult,female
1800495,asian,young-adult,male
1528248,asian,tenager,male
1307772,white,adult,female
287679,white,tenager,female
1791540,white,tenager,male
481586,white,senior,female
1636244,white,adult,male
1057603,asian,senior,female
1420980,white,senior,female
1151796,other,adult,female
158209,asian,tenager,male
1033032,asian,adult,female
756743,asian,senior,male
1081579,white,adult,male
1236057,white,adult,female
548318,black,tenager,female
1596346,asian,adult,male
511124,white,adult,male
699268,other,young-adult,female
946565,other,adult,male
1512816,white,tenager,female
1557065,white,tenager,female
951490,white,tenager,male
1833229,black,senior,female
1023349,white,adult,female
699798,black,adult,male
264286,other,tenager,female
1838910,white,adult,male
1011740,asian,adult,female
988239,asian,tenager,female
971926,white,senior,female
202047,other,tenager,female
1833651,other,adult,male
964097,white,tenager,male
1680678,asian,adult,female
1682299,white,senior,male
741547,white,senior,male
605134,white,adult,male
1374315,white,adult,female
1129159,white,adult,male
175317,white,adult,female
1311603,white,senior,male
1575012,white,young-adult,female
157445,white,tenager,female
648653,white,tenager,female
592205,white,adult,male
26945,white,adult,female
298114,white,young-adult,female
813108,white,adult,male
349617,white,adult,male
1771787,white,senior,male
538941,white,tenager,female
32855,white,adult,female
1516511,white,senior,female
336716,white,tenager,male
953879,white,adult,female
1781201,white,adult,female
973042,asian,senior,male
1375348,white,adult,female
1821821,white,adult,female
217124,white,adult,female
1765231,white,adult,female
527660,white,adult,female
423166,white,tenager,male
1123843,other,adult,male
572441,other,adult,female
178582,white,senior,female
1726354,white,child,female
897035,asian,tenager,male
443394,white,tenager,female
878198,white,adult,female
1256109,white,adult,male
1226107,black,adult,female
140480,other,adult,male
795459,white,child,female
404128,white,adult,female
461010,other,adult,female
118702,pacific-islander,adult,female
256083,white,adult,female
1121097,black,adult,male
764110,white,senior,female
1663042,white,tenager,female
240284,white,young-adult,male
735811,white,adult,female
1415386,white,adult,male
551819,white,senior,female
777246,pacific-islander,tenager,male
675501,white,adult,male
723814,white,tenager,female
123508,white,adult,female
1588852,white,adult,female
385712,black,young-adult,male
56912,asian,young-adult,female
10579,black,tenager,male
443411,white,young-adult,female
1110798,white,senior,male
45138,pacific-islander,child,male
1660186,other,adult,male
1237234,white,young-adult,male
1799610,white,adult,male
182578,asian,senior,female
347961,other,tenager,female
889671,white,senior,female
133467,white,adult,male
1530390,white,senior,female
1000483,asian,adult,male
45107,asian,adult,female
601810,white,senior,female
1100341,other,adult,male
1654863,white,adult,male
212521,other,adult,female
1758301,white,adult,male
1655958,other,adult,female
219838,asian,young-adult,male
1278318,asian,adult,male
1794936,white,adult,female
15694,white,tenager,female
258667,other,adult,female
740555,white,adult,male
385690,white,child,male
1474752,white,adult,female
1190240,asian,adult,male
339223,white,tenager,male
753036,white,adult,female
259887,white,child,female
166995,other,young-adult,female
798195,white,adult,male
1523073,black,tenager,female
61827,asian,young-adult,female
1074821,asian,tenager,male
1652226,white,adult,male
1210598,other,adult,male
1698197,white,young-adult,female
777962,white,adult,male
1365025,white,child,female
1077544,other,adult,female
214984,black,senior,male
1323417,black,adult,male
701836,white,adult,female
1339610,white,young-adult,female
817786,white,young-adult,female
157080,white,senior,male
1760750,asian,adult,female
147660,white,tenager,male
343044,asian,child,male
334197,white,adult,female
221165,white,adult,male
632653,black,adult,female
1443977,white,tenager,female
795891,white,senior,male
996287,white,tenager,male
857972,other,tenager,male
476561,white,adult,male
321119,white,tenager,female
1833757,black,adult,female
760322,asian,tenager,female
1628109,native,adult,male
681460,white,adult,male
1790385,other,adult,female
297109,asian,adult,female
222770,other,senior,male
296906,white,senior,male
256139,black,senior,female
708861,asian,tenager,female
1707348,white,adult,male
424053,white,tenager,male
1573545,white,tenager,male
288463,white,adult,female
1207582,white,tenager,male
830986,white,adult,male
1607698,asian,adult,female
939888,asian,adult,female
917084,white,adult,male
302587,other,adult,female
910945,white,senior,male
1290275,other,adult,female
1480160,white,senior,female
544120,black,senior,male
446050,native,young-adult,female
1142004,white,adult,male
1485056,white,young-adult,male
1163826,white,adult,male
384279,white,senior,male
1197752,white,adult,female
1613605,native,senior,female
766775,white,adult,male
444652,asian,adult,male
1402902,white,adult,male
1114519,white,adult,male
1567972,other,adult,female
914216,white,adult,female
1081588,white,young-adult,female
233012,asian,senior,male
1024253,white,senior,female
116209,white,senior,female
136624,white,adult,male
1532922,other,child,female
1543079,pacific-islander,tenager,female
1618440,asian,senior,male
1028027,white,adult,female
1673546,white,senior,female
1292066,other,young-adult,male
850197,white,tenager,male
1416305,asian,tenager,female
1597348,other,child,female
675674,white,senior,female
552222,white,adult,female
326867,white,senior,female
367716,white,child,male
246870,white,senior,female
970117,white,adult,male
1479106,native,adult,female
756837,white,young-adult,male
1774329,other,tenager,female
1870013,other,tenager,male
73999,white,adult,male
1012851,white,senior,male
521925,other,senior,female
163257,black,adult,male
1424084,asian,senior,male
1743756,white,senior,male
861483,white,adult,male
771746,asian,child,male
204568,white,adult,male
1048880,black,adult,female
1049902,asian,young-adult,female
397834,white,adult,female
1763969,asian,senior,male
1343226,black,adult,male
736674,white,adult,male
379163,white,tenager,male
422101,white,adult,male
213570,white,tenager,female
893896,other,tenager,female
272626,white,adult,male
1310160,black,adult,male
710789,other,adult,male
743543,white,child,female
268896,other,adult,male
597256,asian,young-adult,female
1714707,white,tenager,female
397430,white,adult,female
1443681,white,adult,female
754532,white,senior,female
1011693,black,senior,female
1297897,white,senior,female
914429,white,adult,female
1404650,white,adult,male
43968,white,adult,male
1380102,white,senior,male
1124336,white,adult,female
1809363,white,senior,male
1442012,white,adult,male
362336,white,young-adult,male
1136783,black,tenager,female
978601,white,adult,male
1241326,white,young-adult,female
1771515,asian,child,female
561431,white,young-adult,female
1042203,other,child,male
1412870,asian,senior,female
939619,white,tenager,female
1191372,white,senior,male
1282624,white,adult,female
1041254,white,child,female
687333,asian,adult,female
1256090,other,adult,female
1698408,white,young-adult,male
829904,asian,senior,female
1300658,white,senior,male
1187232,white,adult,male
1492246,white,adult,female
1108921,black,senior,male
628995,white,senior,female
1582701,white,adult,male
1320475,white,senior,female
1712707,white,adult,female
893761,white,senior,male
1743603,white,senior,male
1787316,white,adult,male
547210,other,tenager,male
696287,black,adult,female
1019732,white,adult,female
1176751,other,adult,male
860053,white,young-adult,male
710479,white,child,male
311442,asian,child,female
1776242,white,senior,female
865915,asian,senior,male
1418622,white,tenager,male
500327,asian,adult,female
915880,white,child,female
971285,asian,adult,male
1207257,white,young-adult,female
49859,asian,adult,male
1867517,white,adult,female
144143,other,adult,male
165197,white,adult,female
926993,asian,adult,male
1188975,asian,adult,female
673515,asian,adult,male
1069856,white,tenager,female
1338516,white,young-adult,female
1045856,asian,adult,female
134671,white,senior,female
1807107,white,tenager,female
584074,white,tenager,female
1423561,other,adult,male
832343,white,senior,male
587934,native,senior,male
531058,other,adult,male
1320901,asian,young-adult,female
1498599,white,adult,female
188814,white,adult,female
119599,white,adult,female
1625328,other,adult,female
281902,asian,tenager,female
659834,white,adult,female
270035,white,senior,male
826692,white,adult,female
1695709,white,adult,female
1089732,white,adult,male
1350459,black,adult,male
53547,asian,young-adult,male
50009,white,adult,male
1202427,white,child,male
247819,white,adult,male
1413214,white,child,female
1158281,black,young-adult,female
357639,white,adult,male
1816597,white,adult,male
505737,white,child,female
642600,white,adult,male
1051962,asian,senior,male
928679,white,senior,male
380508,white,tenager,female
918450,white,adult,male
1168700,white,adult,male
725852,black,adult,male
657770,asian,adult,female
1668546,white,tenager,male
1782501,asian,adult,male
1852469,other,adult,female
1718252,white,senior,male
603884,native,senior,male
737994,white,tenager,male
1121578,black,young-adult,male
1010380,white,child,male
1753710,other,adult,male
623186,white,tenager,female
674195,black,child,male
1241760,other,senior,male
1446227,white,adult,male
55858,asian,young-adult,male
467731,white,adult,female
637707,white,adult,male
229165,asian,tenager,male
141514,white,senior,male
195526,white,young-adult,male
1509187,black,young-adult,female
1587630,white,senior,female
954949,asian,tenager,female
687840,white,senior,female
1825518,white,tenager,female
350875,asian,adult,female
3422,asian,adult,male
1327173,white,senior,male
807248,black,young-adult,female
872030,asian,senior,female
377567,asian,young-adult,male
898434,other,young-adult,male
1381850,asian,adult,male
704592,other,adult,male
1522973,black,senior,female
1683366,white,senior,female
1300177,white,young-adult,male
123955,white,tenager,female
706253,white,senior,female
1259675,other,young-adult,male
174810,white,tenager,male
1621946,asian,tenager,female
1099553,white,adult,male
1754739,asian,tenager,female
456576,white,child,female
1597926,asian,senior,female
1835051,white,adult,male
800545,white,tenager,female
217867,asian,adult,female
69907,white,adult,female
92840,asian,adult,female
1711250,white,senior,male
296293,white,tenager,male
466319,white,young-adult,male
424647,white,senior,male
1334864,asian,adult,male
327614,white,adult,female
417608,other,adult,male
1493992,white,adult,female
633582,white,tenager,male
1747580,other,adult,male
1396803,black,senior,male
329703,other,young-adult,male
1492922,white,adult,male
405748,white,child,female
1853579,white,adult,female
633286,asian,adult,female
1871579,asian,senior,male
1465739,asian,senior,female
607448,other,adult,female
1807256,white,child,male
131562,other,tenager,female
195689,black,adult,female
510703,white,adult,female
665780,white,young-adult,male
469429,white,adult,male
698718,asian,child,female
1694079,white,senior,male
417616,white,adult,male
433910,white,senior,female
619875,white,adult,male
709140,white,tenager,female
1084351,other,child,female
950087,asian,young-adult,female
117961,white,adult,female
559300,asian,young-adult,female
1452334,white,adult,female
367641,white,senior,female
878144,asian,young-adult,male
1631710,white,tenager,male
693308,white,adult,male
1590321,black,child,female
104959,white,adult,male
1578352,white,adult,male
1506567,white,adult,male
67199,white,adult,male
676043,other,young-adult,female
1720378,white,senior,female
422500,other,adult,male
1172749,asian,child,male
1078172,white,senior,female
333751,white,adult,male
108320,white,tenager,female
1688170,asian,adult,male
622294,white,senior,female
1245775,white,tenager,female
1482924,white,child,male
1622539,white,young-adult,male
1742131,white,senior,female
234244,other,adult,male
709609,white,tenager,male
814732,white,tenager,female
1319276,native,adult,male
828585,white,tenager,male
801347,asian,tenager,male
1156289,pacific-islander,adult,male
342970,other,adult,male
663157,white,young-adult,male
636660,white,senior,female
1417595,white,adult,female
1648368,white,young-adult,female
1766651,asian,tenager,male
739033,white,adult,female
209050,native,child,male
1172565,other,tenager,male
810340,white,young-adult,male
45867,white,adult,female
1726078,white,adult,male
591010,white,adult,male
1079612,white,tenager,female
472657,white,tenager,male
109047,white,adult,male
663891,white,adult,female
385830,white,senior,female
1794254,other,tenager,female
1088932,pacific-islander,adult,female
771761,other,adult,male
129621,black,senior,male
728721,white,adult,female
1277648,other,adult,male
1681935,white,senior,female
842856,asian,tenager,male
888854,asian,adult,female
1735650,white,tenager,male
1737911,black,young-adult,male
1423628,asian,adult,male
1519985,white,adult,male
958133,white,adult,male
948127,white,adult,female
219841,white,adult,female
1264177,white,adult,male
1002228,asian,child,male
1027915,other,adult,female
654129,white,adult,female
1371930,white,adult,female
795565,white,child,male
1390076,asian,adult,male
523678,black,senior,female
1769321,white,adult,male
293002,asian,senior,female
1493948,white,child,female
404700,white,child,female
116684,white,adult,male
725768,white,senior,female
266775,white,tenager,female
417843,asian,adult,male
1615490,pacific-islander,senior,male
441688,other,adult,male
113018,white,adult,female
255432,white,young-adult,male
378556,white,child,female
613783,other,young-adult,male
670560,white,tenager,female
804411,white,tenager,male
1423073,white,adult,female
681239,white,adult,female
953091,white,senior,female
732726,other,tenager,female
733884,asian,adult,male
301471,white,adult,female
553006,white,adult,female
400827,white,senior,male
102561,white,tenager,male
1164384,asian,tenager,male
1518380,black,senior,female
1605869,white,young-adult,female
1440201,other,tenager,female
1702086,asian,senior,male
1702506,white,senior,male
