GEO_ID,NAME,S2902_C01_001E,S2902_C01_001M,S2902_C01_002E,S2902_C01_002M,S2902_C01_003E,S2902_C01_003M,S2902_C01_004E,S2902_C01_004M,S2902_C01_005E,S2902_C01_005M,S2902_C01_006E,S2902_C01_006M,S2902_C01_007E,S2902_C01_007M,S2902_C01_008E,S2902_C01_008M,S2902_C01_009E,S2902_C01_009M,S2902_C01_010E,S2902_C01_010M,S2902_C01_011E,S2902_C01_011M,S2902_C01_012E,S2902_C01_012M,S2902_C01_013E,S2902_C01_013M,S2902_C01_014E,S2902_C01_014M,S2902_C01_015E,S2902_C01_015M,S2902_C01_016E,S2902_C01_016M,S2902_C01_017E,S2902_C01_017M,S2902_C01_018E,S2902_C01_018M,S2902_C01_019E,S2902_C01_019M,S2902_C01_020E,S2902_C01_020M,S2902_C02_001E,S2902_C02_001M,S2902_C02_002E,S2902_C02_002M,S2902_C02_003E,S2902_C02_003M,S2902_C02_004E,S2902_C02_004M,S2902_C02_005E,S2902_C02_005M,S2902_C02_006E,S2902_C02_006M,S2902_C02_007E,S2902_C02_007M,S2902_C02_008E,S2902_C02_008M,S2902_C02_009E,S2902_C02_009M,S2902_C02_010E,S2902_C02_010M,S2902_C02_011E,S2902_C02_011M,S2902_C02_012E,S2902_C02_012M,S2902_C02_013E,S2902_C02_013M,S2902_C02_014E,S2902_C02_014M,S2902_C02_015E,S2902_C02_015M,S2902_C02_016E,S2902_C02_016M,S2902_C02_017E,S2902_C02_017M,S2902_C02_018E,S2902_C02_018M,S2902_C02_019E,S2902_C02_019M,S2902_C02_020E,S2902_C02_020M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_007E,Estimate!!Total!!Citizens 18 years and over!!SEX!!Female,120199552,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_007M,Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Female,60161,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_008E,Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade,7112958,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_008M,Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade,29853,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_009E,"Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma",15430833,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_009M,"Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma",63729,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_010E,Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency),64469257,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_010M,Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency),168166,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_011E,"Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree",54507299,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_011M,"Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree",61455,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_012E,Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree,20082513,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_012M,Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree,53837,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_013E,Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree,45523295,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_013M,Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree,171850,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_014E,Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree,26314603,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_014M,Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree,168904,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_015E,Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher,210896967,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_015M,Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher,195376,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_016E,Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher,71837898,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_016M,Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher,332918,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_017E,"Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined",227011169,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_017M,"Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined",120696,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_018E,Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level,24743926,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_018M,Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level,102110,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_019E,Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level,202267243,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_019M,Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level,211274,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_020E,"Estimate!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder",65916,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_020M,"Margin of Error!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder",121,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_001E,Estimate!!Percent!!Citizens 18 years and over,(X),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_001M,Margin of Error!!Percent!!Citizens 18 years and over,(X),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_002E,Estimate!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years,21.2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_002M,Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years,0.1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_003E,Estimate!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years,23.8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_003M,Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years,0.1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_004E,Estimate!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years,33.3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_004M,Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years,0.1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_005E,Estimate!!Percent!!Citizens 18 years and over!!AGE!!65 years and over,21.7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_005M,Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!65 years and over,0.1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_006E,Estimate!!Percent!!Citizens 18 years and over!!SEX!!Male,48.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_006M,Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Male,0.1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_007E,Estimate!!Percent!!Citizens 18 years and over!!SEX!!Female,51.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_007M,Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Female,0.1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_008E,Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_008M,Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade,0.1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_009E,"Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma",6.6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C02_009M,"Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma",0.1,,,,,,,,,,,,,,,,,,
