"Column Name","Label"
"DP02_0009MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over"
"DP02_0010E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present"
"DP02_0010M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present"
"DP02_0010MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present"
"DP02_0010EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present"
"DP02_0011E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With own children of the householder under 18 years"
"DP02_0011M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With own children of the householder under 18 years"
"DP02_0011MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With own children of the householder under 18 years"
"DP02_0011EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With own children of the householder under 18 years"
"DP02_0012E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone"
"DP02_0012EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone"
"DP02_0012M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone"
"DP02_0012MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone"
"DP02_0013E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over"
"DP02_0013M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over"
"DP02_0013MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over"
"DP02_0013EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over"
"DP02_0014E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years"
"DP02_0014M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years"
"DP02_0014MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years"
"DP02_0014EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years"
"DP02_0015E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over"
"DP02_0015M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over"
"DP02_0015MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over"
"DP02_0015EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over"
"DP02_0016E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size"
"DP02_0016M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average household size"
"DP02_0016MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average household size"
"DP02_0016EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size"
"DP02_0017E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size"
"DP02_0017M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average family size"
"DP02_0017MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average family size"
"DP02_0017EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size"
"DP02_0018E","Estimate!!RELATIONSHIP!!Population in households"
"DP02_0018M","Margin of Error!!RELATIONSHIP!!Population in households"
"DP02_0018MA","Annotation of Margin of Error!!RELATIONSHIP!!Population in households"
"DP02_0018EA","Annotation of Estimate!!RELATIONSHIP!!Population in households"
"DP02_0019E","Estimate!!RELATIONSHIP!!Population in households!!Householder"
"DP02_0019M","Margin of Error!!RELATIONSHIP!!Population in households!!Householder"
"DP02_0019MA","Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Householder"
"DP02_0019EA","Annotation of Estimate!!RELATIONSHIP!!Population in households!!Householder"
"DP02_0020E","Estimate!!RELATIONSHIP!!Population in households!!Spouse"
"DP02_0020EA","Annotation of Estimate!!RELATIONSHIP!!Population in households!!Spouse"
"DP02_0020M","Margin of Error!!RELATIONSHIP!!Population in households!!Spouse"
"DP02_0020MA","Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Spouse"
"DP02_0021E","Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner"
"DP02_0021M","Margin of Error!!RELATIONSHIP!!Population in households!!Unmarried partner"
"DP02_0021MA","Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Unmarried partner"
"DP02_0021EA","Annotation of Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner"
"DP02_0022E","Estimate!!RELATIONSHIP!!Population in households!!Child"
"DP02_0022M","Margin of Error!!RELATIONSHIP!!Population in households!!Child"
"DP02_0022MA","Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Child"
"DP02_0022EA","Annotation of Estimate!!RELATIONSHIP!!Population in households!!Child"
"DP02_0023E","Estimate!!RELATIONSHIP!!Population in households!!Other relatives"
"DP02_0023M","Margin of Error!!RELATIONSHIP!!Population in households!!Other relatives"
"DP02_0023MA","Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Other relatives"
"DP02_0023EA","Annotation of Estimate!!RELATIONSHIP!!Population in households!!Other relatives"
"DP02_0024E","Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives"
"DP02_0024EA","Annotation of Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives"
"DP02_0024M","Margin of Error!!RELATIONSHIP!!Population in households!!Other nonrelatives"
"DP02_0024MA","Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Other nonrelatives"
"DP02_0025E","Estimate!!MARITAL STATUS!!Males 15 years and over"
"DP02_0025M","Margin of Error!!MARITAL STATUS!!Males 15 years and over"
"DP02_0025MA","Annotation of Margin of Error!!MARITAL STATUS!!Males 15 years and over"
"DP02_0025EA","Annotation of Estimate!!MARITAL STATUS!!Males 15 years and over"
"DP02_0026E","Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married"
"DP02_0026M","Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Never married"
"DP02_0026MA","Annotation of Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Never married"
"DP02_0026EA","Annotation of Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married"
"DP02_0027E","Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated"
"DP02_0027M","Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated"
"DP02_0027MA","Annotation of Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated"
"DP02_0027EA","Annotation of Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated"
"DP02_0028E","Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated"
"DP02_0028EA","Annotation of Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated"
"DP02_0028M","Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Separated"
"DP02_0028MA","Annotation of Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Separated"
"DP02_0029E","Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed"
"DP02_0029M","Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Widowed"
"DP02_0029MA","Annotation of Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Widowed"
"DP02_0029EA","Annotation of Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed"
"DP02_0030E","Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced"
"DP02_0030M","Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Divorced"
"DP02_0030MA","Annotation of Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Divorced"
"DP02_0030EA","Annotation of Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced"
"DP02_0031E","Estimate!!MARITAL STATUS!!Females 15 years and over"
"DP02_0031M","Margin of Error!!MARITAL STATUS!!Females 15 years and over"
"DP02_0031MA","Annotation of Margin of Error!!MARITAL STATUS!!Females 15 years and over"
"DP02_0031EA","Annotation of Estimate!!MARITAL STATUS!!Females 15 years and over"
"DP02_0032E","Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married"
"DP02_0032M","Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Never married"
"DP02_0032MA","Annotation of Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Never married"
"DP02_0032EA","Annotation of Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married"
"DP02_0033E","Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated"
"DP02_0033M","Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated"
"DP02_0033MA","Annotation of Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated"
"DP02_0033EA","Annotation of Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated"
"DP02_0034E","Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated"
"DP02_0034M","Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Separated"
"DP02_0034MA","Annotation of Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Separated"
"DP02_0034EA","Annotation of Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated"
"DP02_0035E","Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed"
"DP02_0035M","Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Widowed"
"DP02_0035MA","Annotation of Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Widowed"
"DP02_0035EA","Annotation of Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed"
"DP02_0036E","Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced"
"DP02_0036M","Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Divorced"
"DP02_0036MA","Annotation of Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Divorced"
"DP02_0036EA","Annotation of Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced"
"DP02_0037E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months"
"DP02_0037M","Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months"
"DP02_0037MA","Annotation of Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months"
"DP02_0037EA","Annotation of Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months"
"DP02_0038E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)"
"DP02_0038M","Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)"
"DP02_0038MA","Annotation of Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)"
"DP02_0038EA","Annotation of Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)"
"DP02_0039E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women"
"DP02_0039M","Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women"
"DP02_0039MA","Annotation of Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women"
"DP02_0039EA","Annotation of Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women"
"DP02_0040E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old"
"DP02_0040M","Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old"
"DP02_0040MA","Annotation of Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old"
"DP02_0040EA","Annotation of Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old"
"DP02_0041E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old"
"DP02_0041M","Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old"
"DP02_0041MA","Annotation of Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old"
"DP02_0041EA","Annotation of Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old"
"DP02_0042E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old"
"DP02_0042M","Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old"
"DP02_0042MA","Annotation of Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old"
"DP02_0042EA","Annotation of Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old"
"DP02_0043E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old"
"DP02_0043EA","Annotation of Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old"
"DP02_0043M","Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old"
"DP02_0043MA","Annotation of Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old"
"DP02_0044E","Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years"
"DP02_0044M","Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years"
"DP02_0044MA","Annotation of Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years"
"DP02_0044EA","Annotation of Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years"
"DP02_0045E","Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren"
"DP02_0045M","Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren"
"DP02_0045MA","Annotation of Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren"
"DP02_0045EA","Annotation of Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren"
"DP02_0046E","Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year"
"DP02_0046M","Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year"
"DP02_0046MA","Annotation of Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year"
"DP02_0046EA","Annotation of Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year"
"DP02_0047E","Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years"
"DP02_0047EA","Annotation of Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years"
"DP02_0047M","Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years"
"DP02_0047MA","Annotation of Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years"
"DP02_0048E","Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years"
"DP02_0048M","Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years"
"DP02_0048MA","Annotation of Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years"
"DP02_0048EA","Annotation of Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years"
"DP02_0049E","Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years"
"DP02_0049M","Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years"
"DP02_0049MA","Annotation of Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years"
"DP02_0049EA","Annotation of Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years"
"DP02_0050E","Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years"
"DP02_0050M","Margin of Error!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years"
"DP02_0050MA","Annotation of Margin of Error!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years"
"DP02_0050EA","Annotation of Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years"
"DP02_0051E","Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female"
"DP02_0051M","Margin of Error!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female"
"DP02_0051MA","Annotation of Margin of Error!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female"
"DP02_0051EA","Annotation of Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female"
"DP02_0052E","Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married"
"DP02_0052M","Margin of Error!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married"
"DP02_0052MA","Annotation of Margin of Error!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married"
"DP02_0052EA","Annotation of Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married"
"DP02_0053E","Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school"
"DP02_0053M","Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school"
"DP02_0053MA","Annotation of Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school"
"DP02_0053EA","Annotation of Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school"
"DP02_0054E","Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
"DP02_0054M","Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
"DP02_0054MA","Annotation of Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
"DP02_0054EA","Annotation of Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
"DP02_0055E","Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten"
"DP02_0055M","Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten"
"DP02_0055MA","Annotation of Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten"
"DP02_0055EA","Annotation of Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten"
"DP02_0056E","Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)"
"DP02_0056M","Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)"
"DP02_0056MA","Annotation of Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)"
"DP02_0056EA","Annotation of Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)"
"DP02_0057E","Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)"
"DP02_0057M","Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)"
"DP02_0057MA","Annotation of Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)"
"DP02_0057EA","Annotation of Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)"
"DP02_0058E","Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school"
"DP02_0058EA","Annotation of Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school"
"DP02_0058M","Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school"
"DP02_0058MA","Annotation of Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school"
"DP02_0059E","Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"DP02_0059M","Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"DP02_0059MA","Annotation of Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"DP02_0059EA","Annotation of Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"DP02_0060E","Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade"
"DP02_0060M","Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade"
"DP02_0060MA","Annotation of Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade"
"DP02_0060EA","Annotation of Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade"
"DP02_0061E","Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
"DP02_0061EA","Annotation of Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
"DP02_0061M","Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
"DP02_0061MA","Annotation of Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
