"Column Name","Label"
"B08202_017EA","Annotation of Estimate!!Total:!!3-person household:!!3 workers"
"B08202_017M","Margin of Error!!Total:!!3-person household:!!3 workers"
"B08202_017MA","Annotation of Margin of Error!!Total:!!3-person household:!!3 workers"
"B08202_018E","Estimate!!Total:!!4-or-more-person household:"
"B08202_018EA","Annotation of Estimate!!Total:!!4-or-more-person household:"
"B08202_018M","Margin of Error!!Total:!!4-or-more-person household:"
"B08202_018MA","Annotation of Margin of Error!!Total:!!4-or-more-person household:"
"B08202_019E","Estimate!!Total:!!4-or-more-person household:!!No workers"
"B08202_019EA","Annotation of Estimate!!Total:!!4-or-more-person household:!!No workers"
"B08202_019M","Margin of Error!!Total:!!4-or-more-person household:!!No workers"
"B08202_019MA","Annotation of Margin of Error!!Total:!!4-or-more-person household:!!No workers"
"B08202_020E","Estimate!!Total:!!4-or-more-person household:!!1 worker"
"B08202_020EA","Annotation of Estimate!!Total:!!4-or-more-person household:!!1 worker"
"B08202_020M","Margin of Error!!Total:!!4-or-more-person household:!!1 worker"
"B08202_020MA","Annotation of Margin of Error!!Total:!!4-or-more-person household:!!1 worker"
"B08202_021E","Estimate!!Total:!!4-or-more-person household:!!2 workers"
"B08202_021EA","Annotation of Estimate!!Total:!!4-or-more-person household:!!2 workers"
"B08202_021M","Margin of Error!!Total:!!4-or-more-person household:!!2 workers"
"B08202_021MA","Annotation of Margin of Error!!Total:!!4-or-more-person household:!!2 workers"
"B08202_022E","Estimate!!Total:!!4-or-more-person household:!!3 or more workers"
"B08202_022EA","Annotation of Estimate!!Total:!!4-or-more-person household:!!3 or more workers"
"B08202_022M","Margin of Error!!Total:!!4-or-more-person household:!!3 or more workers"
"B08202_022MA","Annotation of Margin of Error!!Total:!!4-or-more-person household:!!3 or more workers"
