LINK_ID,ACCESS_ID,FUNCTIONAL_CLASS,TRAVEL_DIRECTION,PRIVATE,TOLLWAY,FROM_SPEED_LIMIT,TO_SPEED_LIMIT,PUBLIC_ACCESS
59390470,34,5,B,Y,N,,,N
1222004134,32,5,B,N,N,,,Y
53186024,1023,5,B,N,N,100,100,Y
1090716170,1023,5,B,N,N,100,100,Y
53186777,1023,5,B,N,N,30,30,Y
940646120,1015,5,B,N,N,30,30,Y
991873378,32,5,B,N,N,,,Y
53185434,34,5,B,N,N,,,Y
53183753,1023,5,B,N,N,30,30,Y
773147471,991,1,T,N,N,,80,Y
1132266265,32,5,B,N,N,,,Y
1222004750,1015,5,B,N,N,,,Y
931017454,32,5,B,N,N,,,Y
53179492,1015,5,B,Y,N,10,10,N
78585440,1023,5,B,N,N,30,30,Y
53179968,1023,5,B,N,N,30,30,Y
931027286,32,5,B,N,N,,,Y
1134756123,32,5,B,N,N,,,Y
818520415,1023,5,B,N,N,30,30,Y
1192529073,1023,3,B,N,N,50,50,Y
834092167,32,5,B,N,N,,,Y
53188345,1023,4,T,N,N,,50,Y
589245884,1023,5,B,N,N,50,50,Y
589239706,1023,2,B,N,N,70,70,Y
1227516632,32,5,B,N,N,,,N
53183148,1007,5,B,N,N,30,30,Y
53182540,32,5,B,N,N,,,Y
574418193,1023,5,B,N,N,50,50,Y
1221868360,32,5,B,N,N,,,Y
931057453,1023,5,B,N,N,30,30,Y
53183798,1023,5,B,N,N,30,30,Y
53185894,1015,5,B,Y,N,100,100,N
53181683,38,5,B,N,N,,,Y
993940422,1023,3,T,N,N,,60,Y
53180558,1023,5,B,N,N,30,30,Y
1157773286,1023,5,B,N,N,30,30,Y
53178238,1023,5,B,N,N,30,30,Y
1214124596,32,5,B,N,N,,,Y
53181903,1023,5,B,N,N,30,30,Y
1215877758,1015,5,T,N,N,,30,Y
909672033,1023,5,B,Y,N,5,5,Y
1201594947,34,5,B,N,N,,,Y
1225776421,1023,2,T,N,N,,70,Y
1132353522,32,5,B,N,N,,,Y
1222003688,32,5,B,N,N,,,Y
1225609698,991,1,F,N,N,120,,Y
927129834,418,5,B,N,N,30,30,Y
53291100,32,5,B,N,N,,,Y
53190913,1015,5,B,N,N,50,50,Y
1144150023,1023,2,F,N,N,50,,Y
931467570,32,5,B,N,N,,,Y
574415289,1023,3,B,N,N,60,50,Y
931033358,32,5,B,N,N,,,Y
907924758,34,5,B,N,N,,,Y
53185231,1023,2,B,N,N,70,100,Y
991671922,32,5,B,N,N,,,Y
1222533754,32,5,B,N,N,,,Y
874852537,34,5,B,N,N,,,Y
997223069,1015,5,B,N,N,50,50,Y
1221865803,1015,5,B,N,N,30,30,Y
1221865114,32,5,B,N,N,,,Y
871511403,1023,2,F,N,N,30,,Y
1197767021,1023,4,B,N,N,50,50,Y
53183502,1023,5,B,N,N,30,30,Y
59390376,1007,5,B,N,N,30,30,Y
53183385,1023,5,B,N,N,30,30,Y
1156769575,1023,5,T,N,N,,,Y
1190667090,1023,3,B,N,N,60,60,Y
53189388,1023,5,F,N,N,30,,Y
53191507,34,5,B,N,N,,,Y
53186263,1023,5,F,N,N,30,,Y
53181232,1023,5,B,Y,N,10,10,Y
722914892,991,1,T,N,N,,120,Y
53187212,1023,4,T,N,N,,50,Y
936422982,32,5,B,N,N,,,Y
1221863604,1023,5,B,N,N,30,30,Y
78580131,991,2,F,N,N,80,,Y
78609725,1023,5,B,N,N,30,30,Y
53182208,1023,5,B,N,N,30,30,Y
1012247159,991,3,F,N,N,80,,Y
931420231,1023,4,T,N,N,,50,Y
1157727292,1023,5,B,N,N,30,30,Y
992788339,32,5,B,N,N,,,Y
1221576833,38,5,B,N,N,,,Y
53181747,1023,5,B,N,N,30,30,Y
931214872,1023,5,B,N,N,30,30,Y
1157112585,1015,5,B,N,N,50,50,Y
777947032,32,5,B,N,N,,,Y
53181294,1023,5,B,N,N,10,10,Y
914960629,1023,5,B,N,N,50,50,Y
53180947,1023,5,B,N,N,30,30,Y
874859393,32,5,B,N,N,,,Y
994277947,1023,5,F,N,N,30,,Y
1215993112,1015,5,B,N,N,,,Y
574378609,1023,5,B,N,N,30,30,Y
53182907,1007,5,B,N,N,30,30,Y
991797481,32,5,B,N,N,,,Y
53189982,1023,5,B,N,N,5,5,Y
53183360,1023,5,B,N,N,30,30,Y
1228258750,32,5,B,N,N,,,Y
53190028,1023,5,B,N,N,5,5,Y
53191169,1015,5,B,N,N,30,30,Y
1198328486,1023,4,B,N,N,50,50,Y
1220848476,32,5,B,N,N,,,Y
53190221,1023,3,B,N,N,50,50,Y
992515191,1023,5,B,N,N,30,30,Y
1201889573,1023,4,B,N,N,50,50,Y
53183693,1023,5,B,N,N,30,30,Y
993022601,1023,5,B,N,N,30,30,Y
53180186,1023,5,B,N,N,50,50,Y
1132284040,32,5,B,N,N,,,Y
1048356184,32,5,B,N,N,,,Y
53188167,1023,5,B,N,N,30,30,Y
53186586,1023,5,B,N,N,30,30,Y
53183578,1023,5,B,N,N,30,30,Y
802518621,1023,5,B,N,N,50,50,Y
1201898223,1023,4,F,N,N,50,,Y
53184370,1023,5,B,N,N,50,50,Y
53187490,1023,5,B,N,N,100,100,Y
809026806,1023,4,B,N,N,30,30,Y
1192447524,1023,5,B,N,N,30,30,Y
991841202,1023,5,B,N,N,50,50,Y
53190184,1023,5,B,N,N,30,30,Y
914935661,991,2,T,N,N,,999,Y
991796017,32,5,B,N,N,,,Y
991663409,32,5,B,N,N,,,Y
53185193,1023,5,B,N,N,30,30,Y
53189244,1023,3,T,N,N,,50,Y
53178896,1023,5,B,N,N,30,30,Y
991999573,32,5,B,N,N,,,Y
53178714,1015,5,B,N,N,30,30,Y
895140546,1023,5,B,N,N,30,30,Y
53191218,1023,5,B,N,N,30,30,Y
1016196343,991,1,T,N,N,,999,Y
53185987,1023,5,B,N,N,30,30,Y
992798575,32,5,B,N,N,,,Y
59386460,1015,5,B,N,N,,,Y
711368046,991,1,F,N,N,999,,Y
1190669253,1023,3,B,N,N,50,50,Y
992431918,1023,5,B,N,N,30,30,Y
930693491,32,5,B,N,N,,,Y
53187948,1023,5,B,N,N,30,30,Y
1218685179,34,5,B,N,N,,,Y
1134753727,32,5,B,N,N,,,Y
1191111928,1023,3,F,N,N,50,,Y
53184391,1023,5,B,N,N,50,50,Y
53184924,1023,5,B,N,N,100,100,Y
993927434,1023,5,B,N,N,10,10,Y
53191561,991,4,F,N,N,50,,Y
1132266303,1023,2,F,N,N,100,,Y
540930841,1023,5,B,N,N,50,50,Y
991999574,32,5,B,N,N,,,Y
53185194,1023,5,B,N,N,30,30,Y
907924752,32,5,B,N,N,,,Y
894246529,32,5,B,N,N,,,Y
1190886141,1023,3,B,N,N,50,50,Y
53182857,1023,3,B,N,N,50,50,Y
53186326,1015,5,B,N,N,30,30,Y
53186394,1023,5,B,N,N,10,10,Y
53191982,1023,5,B,N,N,30,30,Y
53181899,1023,5,B,N,N,30,30,Y
1228319534,1023,3,B,N,N,50,50,Y
53187721,1023,4,T,N,N,,50,Y
59385326,1023,5,B,N,N,50,50,Y
53179734,1015,5,B,N,N,50,50,Y
53194059,32,5,B,N,N,,,Y
996917282,1015,5,B,N,N,100,100,Y
997221091,1023,5,B,N,N,30,30,Y
1191122228,1023,3,F,N,N,50,,Y
908033005,1015,5,B,Y,N,10,10,Y
908033007,1015,5,B,Y,N,10,10,Y
930857584,1015,5,B,Y,N,30,30,Y
53179339,1015,5,B,N,N,50,50,Y
53178215,1023,5,B,N,N,30,30,Y
53182503,1023,5,B,N,N,30,30,Y
807858661,1023,4,B,N,N,50,50,Y
53191726,1023,5,B,N,N,30,30,Y
909504987,1023,5,B,N,N,30,30,Y
821647236,1007,4,B,N,N,30,30,Y
53291245,290,5,B,N,N,30,30,Y
1082348668,1023,2,F,N,N,50,,Y
996909108,32,5,B,N,N,,,Y
574418440,1023,4,B,N,N,50,50,Y
1190869792,1023,3,T,N,N,,50,Y
1221869090,1023,5,B,N,N,30,30,Y
53188634,1023,3,F,N,N,50,,Y
53178368,1023,5,B,N,N,30,30,Y
540930649,1023,5,B,Y,N,30,30,Y
1132271624,32,5,B,N,N,,,Y
1192595137,1015,5,B,N,N,30,30,Y
1193083492,1023,2,B,N,N,100,100,Y
1225189331,1015,5,B,N,N,,,Y
53178905,1023,5,B,N,N,30,30,Y
914942502,1023,5,F,N,N,50,,Y
996678534,32,5,B,N,N,,,Y
1222003621,32,5,B,N,N,,,Y
930894932,32,5,B,N,N,,,Y
53184830,1023,5,B,N,N,30,30,Y
53182627,1023,5,B,N,N,30,30,Y
1082384845,1023,2,T,N,N,,70,Y
988660166,1015,5,B,N,N,10,10,Y
1227513794,32,5,B,N,N,,,N
53188601,1023,5,B,N,N,30,30,Y
53191167,1015,5,B,N,N,10,10,Y
53183609,1023,5,B,N,N,30,30,Y
821646621,1007,3,B,N,N,100,100,Y
999219294,1007,5,B,N,N,30,30,Y
53179832,1023,5,B,N,N,30,30,Y
53190266,1023,3,F,N,N,60,,Y
724130339,991,1,T,N,N,,120,Y
53185451,32,5,B,N,N,,,Y
1193799617,1023,3,F,N,N,50,,Y
1192523331,1023,5,T,N,N,,50,Y
53189353,1023,5,B,N,N,30,30,Y
589257400,32,5,B,N,N,,,Y
53184958,1023,5,F,N,N,100,,Y
53191219,1023,5,B,N,N,30,30,Y
1228913693,1023,5,F,N,N,50,,Y
802473181,1023,5,B,N,N,30,30,Y
907384620,32,5,B,N,N,,,Y
1167160062,1023,3,F,N,N,50,,Y
53182805,1023,5,B,N,N,10,10,Y
1192595134,32,5,B,N,N,,,Y
1192114630,1023,3,B,N,N,70,70,Y
808141952,1023,3,T,N,N,,50,Y
53187456,1023,5,B,N,N,30,30,Y
53187090,1003,3,F,N,N,50,,Y
1160275909,32,5,B,N,N,,,Y
993066237,32,5,B,N,N,,,Y
53179831,1023,5,B,N,N,30,30,Y
53191989,1023,5,B,N,N,30,30,Y
59390395,1015,5,T,Y,N,,10,Y
1162195445,32,5,B,N,N,,,Y
1085318540,1023,2,T,N,N,,50,Y
53178961,1023,5,B,N,N,10,10,Y
1132266262,32,5,B,N,N,,,Y
1190751929,1023,3,B,N,N,50,50,Y
53188317,1023,5,T,N,N,,30,Y
53178157,1023,5,B,N,N,50,50,Y
53180915,1023,5,B,N,N,30,30,Y
993083099,1023,5,B,N,N,30,30,Y
1159702454,32,5,B,N,N,,,Y
930857534,1015,5,B,Y,N,30,30,Y
930696860,32,5,B,N,N,,,Y
53186984,1023,5,B,N,N,30,30,Y
53181852,1023,5,B,N,N,30,30,Y
931278502,1023,5,B,N,N,30,30,Y
1197767447,1023,4,B,N,N,50,50,Y
1221865019,32,5,B,N,N,,,Y
930867116,1023,5,F,N,N,50,,Y
997219986,1023,5,B,N,N,50,50,Y
1132279117,32,5,B,N,N,,,Y
1215474795,1023,5,B,N,N,50,50,Y
53178925,1023,5,B,N,N,10,10,Y
53179078,1023,5,B,N,N,30,30,Y
53179076,1023,5,B,N,N,30,30,Y
1193606370,32,5,B,N,N,,,Y
53182965,1023,5,B,N,N,30,30,Y
53190267,1015,5,B,N,N,10,10,Y
868914603,1023,5,B,N,N,30,30,Y
908446776,1015,5,B,Y,N,30,30,Y
1156723759,1015,5,B,N,N,50,50,Y
53289882,1023,5,B,N,N,30,30,Y
53181944,1023,5,B,N,N,30,30,Y
1216151646,991,1,T,N,N,,80,Y
1222045034,1023,5,B,N,N,30,30,Y
1225606838,1023,5,B,N,N,30,30,Y
53178999,1023,5,B,N,N,10,10,Y
53178480,1023,5,B,N,N,30,30,Y
1227513797,999,5,B,N,N,100,100,Y
717710786,32,5,B,N,N,,,Y
53182917,1007,5,B,N,N,30,30,Y
53185593,32,5,B,N,N,,,Y
53187635,1023,3,T,N,N,,60,Y
930958053,1023,4,B,N,N,50,50,Y
53180096,1023,5,B,N,N,30,30,Y
563884685,1023,2,T,N,N,,50,Y
53187158,1023,3,F,N,N,50,,Y
1120598305,1023,3,B,N,N,50,50,Y
1222004631,32,5,B,N,N,,,Y
59385337,1023,5,T,N,N,,30,Y
53178388,1023,5,B,N,N,30,30,Y
1228001371,32,5,B,N,N,,,Y
53179344,1023,5,B,N,N,50,50,Y
996680501,32,5,B,N,N,,,Y
53180381,1023,5,B,N,N,30,30,Y
589250863,1007,5,B,N,N,30,30,Y
786877928,32,5,B,N,N,,,Y
53178315,1023,5,B,N,N,30,30,Y
53187305,1023,3,T,N,N,,70,Y
803009684,1015,5,B,N,N,50,50,Y
53189782,1023,5,B,N,N,10,10,Y
909187713,1023,5,B,N,N,30,30,Y
53178532,1023,5,B,N,N,30,30,Y
810263763,1023,3,B,N,N,100,100,Y
574406076,1023,5,B,N,N,5,5,Y
53188513,1015,5,B,N,N,30,30,Y
777849787,1023,5,B,N,N,30,30,Y
540930748,32,5,B,N,N,,,Y
1193796510,1023,3,B,N,N,50,50,Y
53179551,1023,5,B,N,N,30,30,Y
930894930,1023,3,F,N,N,50,,Y
540924544,991,2,F,N,N,50,,Y
53186991,991,1,F,N,N,120,,Y
993052330,32,5,B,N,N,,,Y
931106760,32,5,B,N,N,,,Y
1211670364,32,5,B,N,N,,,Y
991961342,32,5,B,N,N,,,Y
1227513785,32,5,B,N,N,,,N
53186863,991,2,T,N,N,,100,Y
53181153,1015,5,B,N,N,30,30,Y
1158430880,991,1,F,N,N,80,,Y
991840516,32,5,B,N,N,,,Y
53181634,1023,5,B,N,N,30,30,Y
1225776834,1023,2,F,N,N,70,,Y
1227513780,32,5,B,N,N,,,N
802464772,1023,3,B,N,N,70,70,Y
1156721001,1023,5,F,N,N,,,Y
53291053,34,5,B,N,N,,,Y
1202077413,1023,4,B,N,N,50,50,Y
540924462,991,3,F,N,N,60,,Y
53189549,1023,3,F,N,N,50,,Y
1192523332,1023,5,T,N,N,,50,Y
53189119,38,5,B,N,N,,,Y
802464441,1023,5,B,N,N,50,50,Y
538979553,1023,3,B,N,N,50,50,Y
53180986,34,5,B,N,N,,,Y
53183105,1015,5,B,N,N,30,30,Y
1191105475,1023,3,B,N,N,50,50,Y
53179970,1023,5,B,N,N,30,30,Y
777940411,1023,5,B,N,N,30,30,Y
53182443,1023,5,B,N,N,30,30,Y
802518627,1023,5,T,N,N,,50,Y
53187357,1023,4,F,N,N,50,,Y
918459025,991,1,T,N,N,,120,Y
991925542,32,5,B,N,N,,,Y
999163129,32,5,B,N,N,,,Y
53178939,1023,5,F,N,N,30,,Y
1216951237,1015,5,B,Y,N,50,50,N
1221868472,1015,5,B,N,N,,,Y
992788388,32,5,B,N,N,,,Y
1221862515,1023,5,T,N,N,,50,Y
1132311926,32,5,B,N,N,,,Y
930894945,1015,5,B,Y,N,30,30,Y
53191457,1023,5,B,N,N,10,10,Y
773714977,991,1,T,N,N,,120,Y
1192849621,1007,4,B,N,N,30,30,Y
991925553,1023,5,B,N,N,50,50,Y
1179801017,1023,5,B,N,N,50,50,Y
1215470140,1023,5,B,N,N,50,50,Y
53179896,34,5,B,Y,N,,,N
53192050,1023,5,B,N,N,30,30,Y
1221315869,32,5,B,N,N,,,Y
992422411,1023,5,F,N,N,30,,Y
53188512,1023,5,B,N,N,30,30,Y
574418769,1023,3,T,N,N,,60,Y
53190196,1023,5,B,N,N,30,30,Y
53182046,1023,5,B,N,N,30,30,Y
1190751405,1023,3,B,N,N,70,70,Y
53187440,1015,5,B,Y,N,10,10,N
931469269,32,5,B,N,N,,,Y
993083104,1023,5,B,N,N,30,30,Y
992802676,1023,5,B,N,N,30,30,Y
717738536,1023,5,T,N,N,,50,Y
1227517170,1015,5,B,N,N,30,30,Y
53187101,1023,5,B,N,N,30,30,Y
53183701,1023,5,B,N,N,30,30,Y
1133051723,32,5,B,N,N,,,Y
53185450,32,5,B,N,N,,,Y
1225464210,991,2,F,N,N,999,,Y
53188260,1023,5,B,N,N,50,50,Y
991960363,32,5,B,N,N,,,Y
1205333462,34,5,B,N,N,,,Y
930857560,1015,5,B,Y,N,10,10,Y
1132370156,32,5,B,N,N,,,Y
78578503,1023,3,F,N,N,60,,Y
53185528,1023,5,B,N,N,50,50,Y
1132251597,1023,5,B,N,N,30,30,Y
1228077816,32,5,B,N,N,,,Y
874859397,32,5,B,N,N,,,Y
53187762,1023,2,F,N,N,50,,Y
1197546994,1015,5,B,N,N,50,50,Y
1190247611,32,5,B,N,N,,,Y
773714958,34,5,B,N,N,,,Y
1190745146,1023,3,B,N,N,50,50,Y
53189102,1023,5,B,N,N,30,30,Y
72833813,34,5,B,N,N,,,Y
53189085,1023,4,T,N,N,,50,Y
1192594444,32,5,B,N,N,,,Y
1082425770,1007,4,B,N,N,50,50,Y
991796012,1023,5,B,N,N,30,30,Y
808267084,1023,3,T,N,N,,70,Y
540930704,1023,5,B,N,N,30,30,Y
931471490,32,5,B,N,N,,,Y
53183965,1023,3,T,N,N,,50,Y
589239132,1023,5,B,N,N,30,30,Y
53186297,1023,3,F,N,N,50,,Y
53194019,1023,5,B,N,N,10,10,Y
1090580694,1023,5,B,N,N,50,50,Y
1227513786,32,5,B,N,N,,,N
773714967,991,1,F,N,N,100,,Y
1202065510,1023,4,B,N,N,50,50,Y
931254705,32,5,B,N,N,,,Y
53188992,1015,5,B,N,N,30,30,Y
53184865,2,5,B,N,N,30,30,Y
1132585192,32,5,B,N,N,,,Y
991671992,1023,5,B,N,N,30,30,Y
53179783,34,5,B,N,N,,,Y
53187074,1023,5,T,N,N,,50,Y
802517877,1023,5,B,N,N,5,5,Y
936164643,1023,5,B,N,N,30,30,Y
717738535,1023,5,T,N,N,,50,Y
574366760,1015,5,B,N,N,30,30,Y
1225106512,1015,5,B,N,N,,,Y
809196112,1003,3,B,N,N,30,30,Y
1090573217,32,5,B,N,N,,,Y
967670529,1023,5,B,N,N,5,5,Y
53190128,1023,5,T,N,N,,10,Y
1221868764,1015,5,B,Y,N,,,N
1190075323,1015,5,B,N,N,100,100,Y
78579455,991,2,F,N,N,100,,Y
1229063727,34,5,B,N,N,,,Y
1192875790,1023,3,F,N,N,30,,Y
1194994871,34,5,B,N,N,,,Y
1139765278,32,5,B,N,N,,,Y
1134780384,32,5,B,N,N,,,Y
992519907,1023,5,B,N,N,30,30,Y
53181096,1023,5,B,N,N,50,50,Y
78632475,1023,5,B,N,N,30,30,Y
53183818,1023,5,B,N,N,30,30,Y
981865411,32,5,B,N,N,,,Y
1218866739,1015,5,B,N,N,30,30,Y
1225105647,1015,5,B,N,N,,,Y
53178380,1015,5,B,N,N,50,50,Y
1221867159,32,5,B,N,N,,,Y
834099569,1023,5,B,N,N,30,30,Y
1227516047,32,5,B,N,N,,,N
874933252,32,5,B,N,N,,,Y
53186443,1015,5,B,N,N,10,10,Y
818520429,1023,5,T,N,N,,30,Y
1222150388,1015,5,B,Y,N,10,10,N
1193626051,32,5,B,N,N,,,Y
803022268,1023,4,B,N,N,50,50,Y
1132184458,32,5,B,N,N,,,Y
53188718,1023,5,B,N,N,30,30,Y
1132366048,1023,3,T,N,N,,50,Y
53290956,1023,5,B,N,N,50,50,Y
1228023459,32,5,B,N,N,,,Y
1222647179,32,5,B,N,N,,,Y
1218707622,34,5,B,N,N,,,Y
809072696,1023,4,B,N,N,30,30,Y
53191352,1023,5,B,N,N,10,10,Y
574415512,1023,5,F,N,N,30,,Y
1202151422,1023,4,T,N,N,,50,Y
1168435595,1015,5,B,Y,N,,,Y
53178727,1023,5,B,N,N,30,30,Y
53186695,1023,5,B,N,N,30,30,Y
53187990,1023,5,B,N,N,30,30,Y
1132253519,32,5,B,N,N,,,Y
992422419,32,5,B,N,N,,,Y
53180794,1023,5,B,N,N,30,30,Y
1083841195,1023,2,F,N,N,100,,Y
59386475,1023,5,B,N,N,30,30,Y
994450493,38,5,B,N,N,,,Y
53182964,1023,5,B,N,N,30,30,Y
53189028,1023,3,T,N,N,,50,Y
1221869161,1023,5,B,N,N,30,30,Y
991836607,32,5,B,N,N,,,Y
791058563,1023,5,T,N,N,,30,Y
53189233,1023,5,B,N,N,30,30,Y
1215470127,1015,5,T,N,N,,100,Y
53191577,32,5,B,N,N,,,Y
810184769,1023,3,B,N,N,30,30,Y
1082871811,991,2,F,N,N,999,,Y
807858655,1023,4,B,N,N,50,50,Y
53184694,34,5,B,N,N,,,Y
53182344,1023,5,B,N,N,30,30,Y
1215470125,1015,5,F,N,N,100,,Y
1156719265,1023,5,F,N,N,,,Y
53179949,991,2,F,N,N,50,,Y
931217732,32,5,B,N,N,,,Y
1132370145,1023,5,B,N,N,30,30,Y
1227513769,32,5,B,N,N,,,N
1222000752,32,5,B,N,N,,,Y
53291196,1023,5,B,N,N,50,50,Y
1228331360,1023,5,B,N,N,10,10,Y
53190050,1023,5,B,N,N,5,5,Y
1221866487,32,5,B,N,N,,,Y
992815259,1023,5,B,N,N,30,30,Y
1090542760,1023,3,T,N,N,,50,Y
991923858,34,5,B,N,N,,,Y
1222132955,32,5,B,N,N,,,Y
914926787,991,1,F,N,N,100,,Y
53184280,1023,4,B,N,N,50,50,Y
931116293,1015,5,B,Y,N,30,30,Y
59390397,1015,5,B,Y,N,30,30,Y
1222002595,32,5,B,N,N,,,Y
1132585202,1023,5,B,N,N,10,10,Y
53179012,1023,5,B,N,N,30,30,Y
53179498,1023,3,B,N,N,50,50,Y
1132585206,1023,5,B,N,N,30,30,Y
930857541,32,5,B,N,N,,,Y
53186495,1015,5,B,Y,N,10,10,N
53181495,1023,5,B,N,N,30,30,Y
53181494,1023,5,B,N,N,30,30,Y
1048379275,1023,5,B,N,N,30,30,Y
1158430882,32,5,B,N,N,,,Y
1134758174,32,5,B,N,N,,,Y
1132366044,32,5,B,N,N,,,Y
993970975,1015,5,B,N,N,10,10,Y
1228319526,1023,2,B,N,N,100,100,Y
1193606369,1015,5,B,N,N,,,Y
991838202,32,5,B,N,N,,,Y
991838199,32,5,B,N,N,,,Y
907685821,1023,2,F,N,N,60,,Y
1167160060,1023,3,T,N,N,,50,Y
992817845,1023,5,B,N,N,30,30,Y
53178257,1023,5,B,N,N,50,50,Y
53191569,32,5,B,N,N,,,Y
805984934,1023,2,T,N,N,,60,Y
78579501,1023,4,F,N,N,50,,Y
53191160,32,5,B,N,N,,,Y
78582120,1023,2,F,N,N,50,,Y
777849772,1023,5,B,N,N,10,10,Y
1193604630,1015,5,B,N,N,,,Y
1038723768,991,1,F,N,N,100,,Y
1160626651,32,5,B,N,N,,,Y
1221215081,32,5,B,N,N,,,Y
1215479542,1023,5,B,Y,N,50,50,Y
53291272,34,5,B,N,N,,,Y
53180405,1023,5,B,N,N,50,50,Y
930857542,32,5,B,N,N,,,Y
930857540,32,5,B,N,N,,,Y
1193606371,32,5,B,N,N,,,Y
53189898,1015,5,B,N,N,10,10,Y
1132332867,32,5,B,N,N,,,Y
807858543,1023,4,F,N,N,50,,Y
1221867234,32,5,B,N,N,,,Y
1221865805,32,5,B,N,N,,,Y
991873943,32,5,B,N,N,,,Y
53188953,1023,5,T,N,N,,30,Y
1212410067,32,5,B,N,N,,,Y
994611883,1023,5,B,N,N,10,10,Y
808187692,1023,3,F,N,N,70,,Y
931017462,32,5,B,N,N,,,Y
936378646,290,5,F,N,N,50,,Y
53183550,1023,5,B,N,N,30,30,Y
53179536,1023,5,B,N,N,30,30,Y
53180413,1023,5,B,N,N,30,30,Y
1132178186,1023,5,B,N,N,30,30,Y
53189685,1023,5,T,N,N,,50,Y
993066138,1023,3,B,N,N,30,30,Y
1202067273,1023,4,B,N,N,50,50,Y
53183025,1023,5,B,N,N,30,30,Y
992431892,32,5,B,N,N,,,Y
53186981,991,1,F,N,N,80,,Y
589239848,34,5,B,N,N,,,Y
53191467,1023,5,B,Y,N,50,50,Y
53178283,34,5,B,N,N,,,Y
53183590,1023,5,B,N,N,30,30,Y
53288737,32,5,B,N,N,,,Y
53181376,1023,5,B,N,N,30,30,Y
53180171,1023,5,B,N,N,50,50,Y
1213805395,1015,5,B,Y,N,50,50,N
1228327104,1023,5,B,Y,N,50,50,Y
991946489,32,5,B,N,N,,,Y
53186399,1023,5,B,N,N,30,30,Y
931106701,32,5,B,N,N,,,Y
1222150382,1015,5,B,Y,N,10,10,N
991681902,32,5,B,N,N,,,Y
992815252,1023,5,B,N,N,30,30,Y
574378657,1023,5,B,N,N,30,30,Y
53184074,991,3,B,N,N,100,100,Y
53181779,1023,3,B,N,N,50,50,Y
53289560,32,5,B,N,N,,,Y
53191382,1023,5,T,N,N,,50,Y
53182236,34,5,B,N,N,,,Y
931074843,32,5,B,N,N,,,Y
992802661,32,5,B,N,N,,,Y
991962715,32,5,B,N,N,,,Y
78585438,1023,5,B,N,N,30,30,Y
994090933,1023,5,B,N,N,30,30,Y
809074913,1023,4,B,N,N,30,30,Y
1218684979,34,5,B,N,N,,,Y
53290850,1015,5,B,Y,N,30,30,N
991946476,32,5,B,N,N,,,Y
993066235,32,5,B,N,N,,,Y
1225188614,1023,5,B,N,N,30,30,Y
53188664,32,5,B,N,N,,,Y
717708884,1007,5,B,N,N,30,30,Y
53187163,1023,5,T,N,N,,50,Y
59395911,1023,5,B,N,N,30,30,Y
563885168,991,2,T,N,N,,80,Y
931268756,1023,5,B,N,N,30,30,Y
1227514748,1023,5,B,N,N,30,30,Y
53191439,1015,5,B,N,N,10,10,Y
809076027,1023,3,T,N,N,,50,Y
1225608734,991,1,F,N,N,120,,Y
802473197,1023,5,B,N,N,50,50,Y
993059107,32,5,B,N,N,,,Y
1222613730,32,5,B,N,N,,,Y
53186727,1023,3,T,N,N,,50,Y
931218263,1023,5,B,N,N,30,30,Y
719685829,1023,5,B,N,N,50,50,Y
