topic,category,sub-category,id,value
EMPLOYMENT STATUS,Population 16 years and over,In labor force,DP03_0002E,19921547
EMPLOYMENT STATUS,Population 16 years and over,In labor force,DP03_0003E,19790474
EMPLOYMENT STATUS,Population 16 years and over,In labor force,DP03_0004E,18591241
EMPLOYMENT STATUS,Population 16 years and over,In labor force,DP03_0005E,1199233
EMPLOYMENT STATUS,Population 16 years and over,In labor force,DP03_0006E,131073
EMPLOYMENT STATUS,Population 16 years and over,Not in labor force,DP03_0007E,11363122
EMPLOYMENT STATUS,Population 16 years and over,,DP03_0001E,31284669
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population,No health insurance coverage,DP03_0099E,2915070
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population,With health insurance coverage,DP03_0096E,35872267
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population,With health insurance coverage,DP03_0097E,24742908
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population,With health insurance coverage,DP03_0098E,14726131
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population,,DP03_0095E,38787337
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,In labor force:,DP03_0103E,18438768
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,In labor force:,DP03_0104E,17367052
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,In labor force:,DP03_0105E,15661187
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,In labor force:,DP03_0106E,13403215
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,In labor force:,DP03_0107E,2660272
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,In labor force:,DP03_0108E,1705865
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,In labor force:,DP03_0109E,1071716
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,In labor force:,DP03_0110E,871385
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,In labor force:,DP03_0111E,434369
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,In labor force:,DP03_0112E,467756
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,In labor force:,DP03_0113E,200331
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,Not in labor force:,DP03_0114E,5419692
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,Not in labor force:,DP03_0115E,4782753
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,Not in labor force:,DP03_0116E,2711589
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,Not in labor force:,DP03_0117E,2352224
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,Not in labor force:,DP03_0118E,636939
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population 19 to 64 years,,DP03_0102E,23858460
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population under 19 years,No health insurance coverage,DP03_0101E,313815
HEALTH INSURANCE COVERAGE,Civilian noninstitutionalized population under 19 years,,DP03_0100E,9538507
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Families,"$10,000 to $14,999",DP03_0077E,200509
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Families,"$100,000 to $149,999",DP03_0083E,1638022
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Families,"$15,000 to $24,999",DP03_0078E,547788
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Families,"$150,000 to $199,999",DP03_0084E,924788
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Families,"$200,000 or more",DP03_0085E,1295573
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Families,"$25,000 to $34,999",DP03_0079E,613545
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Families,"$35,000 to $49,999",DP03_0080E,907148
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Families,"$50,000 to $74,999",DP03_0081E,1378391
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Families,"$75,000 to $99,999",DP03_0082E,1156498
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Families,"Less than $10,000",DP03_0076E,296174
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Families,Mean family income (dollars),DP03_0087E,119126
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Families,Median family income (dollars),DP03_0086E,85837
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Families,,DP03_0075E,8958436
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),"Median earnings for female full-time, year-round workers (dollars)",,DP03_0094E,48975
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),"Median earnings for male full-time, year-round workers (dollars)",,DP03_0093E,55363
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Median earnings for workers (dollars),,DP03_0092E,36729
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Nonfamily households,Mean nonfamily income (dollars),DP03_0091E,73495
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Nonfamily households,Median nonfamily income (dollars),DP03_0090E,48507
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Nonfamily households,,DP03_0089E,4085830
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Per capita income (dollars),,DP03_0088E,36955
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,"$10,000 to $14,999",DP03_0053E,534197
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,"$100,000 to $149,999",DP03_0059E,2169021
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,"$15,000 to $24,999",DP03_0054E,975904
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,"$150,000 to $199,999",DP03_0060E,1164827
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,"$200,000 or more",DP03_0061E,1586051
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,"$25,000 to $34,999",DP03_0055E,979245
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,"$35,000 to $49,999",DP03_0056E,1363211
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,"$50,000 to $74,999",DP03_0057E,2022818
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,"$75,000 to $99,999",DP03_0058E,1620466
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,"Less than $10,000",DP03_0052E,628526
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,Mean household income (dollars),DP03_0063E,106916
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,Median household income (dollars),DP03_0062E,75235
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,With Food Stamp/SNAP benefits in the past 12 months,DP03_0074E,1164713
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,With Social Security,DP03_0066E,3616722
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,With Social Security,DP03_0067E,19299
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,With Supplemental Security Income,DP03_0070E,791896
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,With Supplemental Security Income,DP03_0071E,10315
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,With cash public assistance income,DP03_0072E,421752
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,With cash public assistance income,DP03_0073E,4578
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,With earnings,DP03_0064E,10524799
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,With earnings,DP03_0065E,107340
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,With retirement income,DP03_0068E,2258339
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,With retirement income,DP03_0069E,34209
INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS),Total households,,DP03_0051E,13044266
INDUSTRY,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",DP03_0033E,415545
INDUSTRY,Civilian employed population 16 years and over,"Arts, entertainment, and recreation, and accommodation and food services",DP03_0043E,1936179
INDUSTRY,Civilian employed population 16 years and over,Construction,DP03_0034E,1175234
INDUSTRY,Civilian employed population 16 years and over,"Educational services, and health care and social assistance",DP03_0042E,3904118
INDUSTRY,Civilian employed population 16 years and over,"Finance and insurance, and real estate and rental and leasing",DP03_0040E,1116974
INDUSTRY,Civilian employed population 16 years and over,Information,DP03_0039E,539809
INDUSTRY,Civilian employed population 16 years and over,Manufacturing,DP03_0035E,1692820
INDUSTRY,Civilian employed population 16 years and over,"Other services, except public administration",DP03_0044E,969511
INDUSTRY,Civilian employed population 16 years and over,"Professional, scientific, and management, and administrative and waste management services",DP03_0041E,2546055
INDUSTRY,Civilian employed population 16 years and over,Public administration,DP03_0045E,824869
INDUSTRY,Civilian employed population 16 years and over,Retail trade,DP03_0037E,1950499
INDUSTRY,Civilian employed population 16 years and over,"Transportation and warehousing, and utilities",DP03_0038E,993917
INDUSTRY,Civilian employed population 16 years and over,Wholesale trade,DP03_0036E,525711
INDUSTRY,Civilian employed population 16 years and over,,DP03_0032E,18591241
OCCUPATION,Civilian employed population 16 years and over,"Management, business, science, and arts occupations",DP03_0027E,7297519
OCCUPATION,Civilian employed population 16 years and over,"Natural resources, construction, and maintenance occupations",DP03_0030E,1675325
OCCUPATION,Civilian employed population 16 years and over,"Production, transportation, and material moving occupations",DP03_0031E,2236854
OCCUPATION,Civilian employed population 16 years and over,Sales and office occupations,DP03_0029E,3948186
OCCUPATION,Civilian employed population 16 years and over,Service occupations,DP03_0028E,3433357
OCCUPATION,Civilian employed population 16 years and over,,DP03_0026E,18591241
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All families,"Families with female householder, no spouse present",DP03_0125E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All families,"Families with female householder, no spouse present",DP03_0126E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All families,"Families with female householder, no spouse present",DP03_0127E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All families,Married couple families,DP03_0122E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All families,Married couple families,DP03_0123E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All families,Married couple families,DP03_0124E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All families,With related children of the householder under 18 years,DP03_0120E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All families,With related children of the householder under 18 years,DP03_0121E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All families,,DP03_0119E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All people,18 years and over,DP03_0133E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All people,18 years and over,DP03_0134E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All people,18 years and over,DP03_0135E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All people,People in families,DP03_0136E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All people,Under 18 years,DP03_0129E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All people,Under 18 years,DP03_0130E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All people,Under 18 years,DP03_0131E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All people,Under 18 years,DP03_0132E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All people,Unrelated individuals 15 years and over,DP03_0137E,(X)
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All people,,DP03_0128E,(X)
