topic,category,sub-category,id,value
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_013MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_014E,101030333
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_014EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_014MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_015E,37245140
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_015EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_015MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,S1501_C05_019E,20553182
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,S1501_C05_019EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,S1501_C05_019MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,S1501_C05_020E,18476205
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,S1501_C05_020EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,S1501_C05_020MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,S1501_C05_021E,8171587
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,S1501_C05_021EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 35 to 44 years,S1501_C05_021MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,S1501_C05_022E,42930703
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,S1501_C05_022EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,S1501_C05_022MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,S1501_C05_023E,38391123
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,S1501_C05_023EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,S1501_C05_023MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,S1501_C05_024E,13625973
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,S1501_C05_024EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 45 to 64 years,S1501_C05_024MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,S1501_C05_025E,28265193
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,S1501_C05_025EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,S1501_C05_025MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,S1501_C05_026E,23676112
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,S1501_C05_026EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,S1501_C05_026MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,S1501_C05_027E,6594304
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,S1501_C05_027EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 65 years and over,S1501_C05_027MA,
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_059E,34113
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_059EA,
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_059MA,
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_060E,18032
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_060EA,
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_060MA,
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_061E,25066
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_061EA,
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_061MA,
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_062E,31077
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_062EA,
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_062MA,
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_063E,46624
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_063EA,
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_063MA,
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_064E,62631
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_064EA,
Female,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Population 25 years and over with earnings,S1501_C05_064MA,
Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Bachelor's degree or higher,S1501_C05_058E,(X)
Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Bachelor's degree or higher,S1501_C05_058EA,(X)
Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Bachelor's degree or higher,S1501_C05_058MA,(X)
Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,High school graduate (includes equivalency),S1501_C05_056E,(X)
Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,High school graduate (includes equivalency),S1501_C05_056EA,(X)
Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,High school graduate (includes equivalency),S1501_C05_056MA,(X)
Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Less than high school graduate,S1501_C05_055E,(X)
Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Less than high school graduate,S1501_C05_055EA,(X)
Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Less than high school graduate,S1501_C05_055MA,(X)
Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Some college or associate's degree,S1501_C05_057E,(X)
Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Some college or associate's degree,S1501_C05_057EA,(X)
Female,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,Some college or associate's degree,S1501_C05_057MA,(X)
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,S1501_C05_037E,876685
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,S1501_C05_037EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,S1501_C05_037MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,S1501_C05_038E,715844
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,S1501_C05_038EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,S1501_C05_038MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,S1501_C05_039E,145516
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,S1501_C05_039EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,American Indian or Alaska Native alone,S1501_C05_039MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,S1501_C05_040E,6842456
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,S1501_C05_040EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,S1501_C05_040MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,S1501_C05_041E,5852351
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,S1501_C05_041EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,S1501_C05_041MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,S1501_C05_042E,3575031
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,S1501_C05_042EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Asian alone,S1501_C05_042MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,S1501_C05_034E,14220876
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,S1501_C05_034EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,S1501_C05_034MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,S1501_C05_035E,12386405
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,S1501_C05_035EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,S1501_C05_035MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,S1501_C05_036E,3416613
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,S1501_C05_036EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Black alone,S1501_C05_036MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,S1501_C05_052E,16626646
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,S1501_C05_052EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,S1501_C05_052MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,S1501_C05_053E,11647798
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,S1501_C05_053EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,S1501_C05_053MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,S1501_C05_054E,2989892
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,S1501_C05_054EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Hispanic or Latino Origin,S1501_C05_054MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,S1501_C05_043E,193171
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,S1501_C05_043EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,S1501_C05_043MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,S1501_C05_044E,167802
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,S1501_C05_044EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,S1501_C05_044MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,S1501_C05_045E,35164
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,S1501_C05_045EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Native Hawaiian and Other Pacific Islander alone,S1501_C05_045MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,S1501_C05_046E,4582346
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,S1501_C05_046EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,S1501_C05_046MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,S1501_C05_047E,2929703
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,S1501_C05_047EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,S1501_C05_047MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,S1501_C05_048E,614724
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,S1501_C05_048EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Some other race alone,S1501_C05_048MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,S1501_C05_049E,2332416
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,S1501_C05_049EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,S1501_C05_049MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,S1501_C05_050E,2080057
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,S1501_C05_050EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,S1501_C05_050MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,S1501_C05_051E,789792
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,S1501_C05_051EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Two or more races,S1501_C05_051MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,S1501_C05_028E,84920095
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,S1501_C05_028EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,S1501_C05_028MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,S1501_C05_029E,76898171
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,S1501_C05_029EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,S1501_C05_029MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,S1501_C05_030E,28668300
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,S1501_C05_030EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone,S1501_C05_030MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",S1501_C05_031E,73808939
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",S1501_C05_031EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",S1501_C05_031MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",S1501_C05_032E,68914212
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",S1501_C05_032EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",S1501_C05_032MA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",S1501_C05_033E,26500506
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",S1501_C05_033EA,
Female,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,"White alone, not Hispanic or Latino",S1501_C05_033MA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_001E,15706354
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_001EA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_001MA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_002E,2255515
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_002EA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_002MA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_003E,5431828
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_003EA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_003MA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_004E,6579875
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_004EA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_004MA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_005E,1439136
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_005EA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C03_005MA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C03_016E,22811448
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C03_016EA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C03_016MA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C03_017E,20409119
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C03_017EA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C03_017MA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C03_018E,7236094
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C03_018EA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C03_018MA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C03_006E,106654031
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C03_006EA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C03_006MA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C03_007E,5608940
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C03_007EA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C03_007MA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C03_008E,7925609
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C03_008EA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C03_008MA,
Male,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C03_009E,29805026
