,SERIALNO,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,HHSIZE,LAT,LON
29,2017000738034,3.0,6,2.0,tenager,below-high,female,7,9.00739,7.47
30,2017000738034,3.0,6,2.0,tenager,below-high,female,7,9.007399999999999,7.47
31,2017000738034,3.0,6,2.0,tenager,below-high,female,7,9.00739,7.47
32,2017000738034,3.0,6,2.0,tenager,below-high,female,7,9.007399999999999,7.47
33,2017000738034,3.0,6,2.0,tenager,below-high,female,7,9.00739,7.47
34,2019HU0071859,2.0,8,3.0,adult,High-school,female,2,8.98591,7.44547
35,2019HU0071859,2.0,8,3.0,adult,High-school,female,2,8.98592,7.44547
36,2021HU0983782,1.0,7,3.0,adult,High-school,female,1,9.07789,7.47146
37,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.0568,7.46549
38,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.05681,7.46549
39,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.0568,7.46549
40,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.05681,7.46549
41,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.0568,7.46549
42,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.05681,7.46549
43,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.0568,7.46549
44,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.05681,7.46549
45,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.0568,7.46549
46,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.05681,7.46549
47,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.0568,7.46549
48,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.05681,7.46549
49,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.0568,7.46549
50,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.05681,7.46549
51,2021HU0343140,2.0,6,2.0,tenager,below-high,female,15,9.0568,7.46549
52,2018HU1163183,3.0,6,3.0,adult,college,male,5,9.00304,7.56025
53,2018HU1163183,3.0,6,3.0,adult,college,male,5,9.00305,7.56025
54,2018HU1163183,3.0,6,3.0,adult,college,male,5,9.00304,7.56025
55,2018HU1163183,3.0,6,3.0,adult,college,male,5,9.00305,7.56025
56,2018HU1163183,3.0,6,3.0,adult,college,male,5,9.00304,7.56025
57,2018HU1266042,3.0,8,3.0,tenager,below-high,female,1,8.9741,7.49017
58,2018HU0510879,3.0,9,2.0,tenager,below-high,female,3,9.07497,7.43258
59,2018HU0510879,3.0,9,2.0,tenager,below-high,female,3,9.07498,7.43258
60,2018HU0510879,3.0,9,2.0,tenager,below-high,female,3,9.07497,7.43258
61,2019HU0226332,3.0,6,2.0,tenager,below-high,male,2,9.04521,7.40591
62,2019HU0226332,3.0,6,2.0,tenager,below-high,male,2,9.04522,7.40591
63,2017000515932,2.0,6,3.0,tenager,below-high,male,2,9.07114,7.48524
64,2017000515932,2.0,6,3.0,tenager,below-high,male,2,9.07115,7.48524
65,2020HU0378270,3.0,10,3.0,adult,High-school,female,2,9.03061,7.502
66,2020HU0378270,3.0,10,3.0,adult,High-school,female,2,9.030619999999999,7.502
67,2020HU1124512,1.0,4,1.0,tenager,below-high,female,2,8.96854,7.46456
68,2020HU1124512,1.0,4,1.0,tenager,below-high,female,2,8.96855,7.46456
69,2017001328840,3.0,6,2.0,adult,High-school,male,1,9.08081,7.43103
70,2017000831008,3.0,7,3.0,young-adult,High-school,male,3,9.07398,7.40382
71,2017000831008,3.0,7,3.0,young-adult,High-school,male,3,9.07399,7.40382
72,2017000831008,3.0,7,3.0,young-adult,High-school,male,3,9.07398,7.40382
73,2019HU0600756,3.0,6,3.0,adult,High-school,male,1,9.0372,7.48506
74,2021HU0400507,3.0,7,3.0,adult,High-school,female,4,9.00009,7.42591
75,2021HU0400507,3.0,7,3.0,adult,High-school,female,4,9.0001,7.42591
76,2021HU0400507,3.0,7,3.0,adult,High-school,female,4,9.00009,7.42591
77,2021HU0400507,3.0,7,3.0,adult,High-school,female,4,9.0001,7.42591
78,2018HU0815113,3.0,9,3.0,tenager,below-high,female,1,8.96609,7.38186
79,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07576,7.43018
80,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07577,7.43018
81,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07576,7.43018
82,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07577,7.43018
83,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07576,7.43018
84,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07577,7.43018
85,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07576,7.43018
86,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07577,7.43018
87,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07576,7.43018
88,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07577,7.43018
89,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07576,7.43018
90,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07577,7.43018
91,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07576,7.43018
92,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07577,7.43018
93,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07576,7.43018
94,2020HU0635187,2.0,10,3.0,tenager,below-high,female,16,9.07577,7.43018
95,2020HU0766721,0.0,10,3.0,adult,below-high,male,2,9.06568,7.46812
96,2020HU0766721,0.0,10,3.0,adult,below-high,male,2,9.06569,7.46812
97,2020HU1129731,3.0,6,3.0,tenager,below-high,male,10,8.97346,7.18634
98,2020HU1129731,3.0,6,3.0,tenager,below-high,male,10,8.973469999999999,7.18634
99,2020HU1129731,3.0,6,3.0,tenager,below-high,male,10,8.97346,7.18634
100,2020HU1129731,3.0,6,3.0,tenager,below-high,male,10,8.973469999999999,7.18634
101,2020HU1129731,3.0,6,3.0,tenager,below-high,male,10,8.97346,7.18634
102,2020HU1129731,3.0,6,3.0,tenager,below-high,male,10,8.973469999999999,7.18634
103,2020HU1129731,3.0,6,3.0,tenager,below-high,male,10,8.97346,7.18634
104,2020HU1129731,3.0,6,3.0,tenager,below-high,male,10,8.973469999999999,7.18634
105,2020HU1129731,3.0,6,3.0,tenager,below-high,male,10,8.97346,7.18634
106,2020HU1129731,3.0,6,3.0,tenager,below-high,male,10,8.973469999999999,7.18634
107,2017000342692,2.0,7,2.0,tenager,below-high,female,6,8.9491,7.26208
108,2017000342692,2.0,7,2.0,tenager,below-high,female,6,8.94911,7.26208
109,2017000342692,2.0,7,2.0,tenager,below-high,female,6,8.9491,7.26208
110,2017000342692,2.0,7,2.0,tenager,below-high,female,6,8.94911,7.26208
111,2017000342692,2.0,7,2.0,tenager,below-high,female,6,8.9491,7.26208
112,2017000342692,2.0,7,2.0,tenager,below-high,female,6,8.94911,7.26208
113,2018HU1101415,3.0,10,3.0,child,below-high,male,3,8.99864,7.46502
114,2018HU1101415,3.0,10,3.0,child,below-high,male,3,8.99865,7.46502
115,2018HU1101415,3.0,10,3.0,child,below-high,male,3,8.99864,7.46502
116,2017000630206,2.0,4,1.0,child,below-high,male,4,9.08364,7.48682
117,2017000630206,2.0,4,1.0,child,below-high,male,4,9.08365,7.48682
118,2017000630206,2.0,4,1.0,child,below-high,male,4,9.08364,7.48682
119,2017000630206,2.0,4,1.0,child,below-high,male,4,9.08365,7.48682
120,2018HU0039989,3.0,6,1.0,tenager,below-high,male,3,9.00304,7.45594
121,2018HU0039989,3.0,6,1.0,tenager,below-high,male,3,9.00305,7.45594
122,2018HU0039989,3.0,6,1.0,tenager,below-high,male,3,9.00304,7.45594
123,2019HU0091653,3.0,7,2.0,child,below-high,female,2,9.08714,7.47733
124,2019HU0091653,3.0,7,2.0,child,below-high,female,2,9.08715,7.47733
125,2018HU1231092,3.0,6,3.0,adult,college,female,1,9.07112,7.40147
126,2020HU0974414,3.0,8,3.0,tenager,High-school,male,2,9.03217,7.58312
127,2020HU0974414,3.0,8,3.0,tenager,High-school,male,2,9.03218,7.58312
128,2020HU1018270,1.0,6,3.0,tenager,below-high,female,1,9.03546,7.58156
129,2020HU0350211,3.0,5,1.0,adult,High-school,male,1,9.07066,7.44372
130,2020HU0852554,1.0,10,3.0,adult,High-school,female,2,9.03265,7.44424
131,2020HU0852554,1.0,10,3.0,adult,High-school,female,2,9.03266,7.44424
132,2019HU0129184,3.0,7,3.0,adult,High-school,male,1,9.05889,7.37536
133,2017001007420,3.0,7,3.0,adult,High-school,female,1,9.09205,7.49402
134,2019HU0582656,2.0,6,1.0,adult,High-school,male,1,9.04895,7.47441
135,2021HU0351335,2.0,5,1.0,adult,High-school,male,1,9.06452,7.37098
136,2019HU0915694,3.0,5,2.0,adult,High-school,female,8,9.07853,7.39198
137,2019HU0915694,3.0,5,2.0,adult,High-school,female,8,9.07854,7.39198
138,2019HU0915694,3.0,5,2.0,adult,High-school,female,8,9.07853,7.39198
139,2019HU0915694,3.0,5,2.0,adult,High-school,female,8,9.07854,7.39198
140,2019HU0915694,3.0,5,2.0,adult,High-school,female,8,9.07853,7.39198
141,2019HU0915694,3.0,5,2.0,adult,High-school,female,8,9.07854,7.39198
142,2019HU0915694,3.0,5,2.0,adult,High-school,female,8,9.07853,7.39198
143,2019HU0915694,3.0,5,2.0,adult,High-school,female,8,9.07854,7.39198
144,2018HU0577308,3.0,8,3.0,tenager,below-high,male,2,9.0743,7.49162
145,2018HU0577308,3.0,8,3.0,tenager,below-high,male,2,9.074309999999999,7.49162
146,2017001209932,2.0,7,3.0,tenager,below-high,male,3,9.03211,7.46999
147,2017001209932,2.0,7,3.0,tenager,below-high,male,3,9.032119999999999,7.46999
148,2017001209932,2.0,7,3.0,tenager,below-high,male,3,9.03211,7.46999
149,2020HU0375399,2.0,8,3.0,adult,college,male,1,9.03496,7.52302
150,2018HU0411237,3.0,7,3.0,child,below-high,female,1,9.12944,7.37041
151,2020HU0626323,0.0,2,0.0,adult,below-high,male,1,9.05204,7.46103
152,2021HU0538432,2.0,5,1.0,tenager,below-high,female,4,9.0493,7.48239
153,2021HU0538432,2.0,5,1.0,tenager,below-high,female,4,9.04931,7.48239
154,2021HU0538432,2.0,5,1.0,tenager,below-high,female,4,9.0493,7.48239
155,2021HU0538432,2.0,5,1.0,tenager,below-high,female,4,9.04931,7.48239
156,2017000802491,1.0,3,1.0,tenager,below-high,male,1,9.07234,7.48768
157,2020HU0664323,2.0,7,2.0,tenager,below-high,female,5,9.04291,7.51468
158,2020HU0664323,2.0,7,2.0,tenager,below-high,female,5,9.042919999999999,7.51468
159,2020HU0664323,2.0,7,2.0,tenager,below-high,female,5,9.04291,7.51468
160,2020HU0664323,2.0,7,2.0,tenager,below-high,female,5,9.042919999999999,7.51468
161,2020HU0664323,2.0,7,2.0,tenager,below-high,female,5,9.04291,7.51468
162,2017000663163,3.0,10,3.0,adult,Bachelor,male,2,9.07001,7.48245
163,2017000663163,3.0,10,3.0,adult,Bachelor,male,2,9.07002,7.48245
164,2019HU1381394,3.0,8,3.0,tenager,below-high,female,1,9.04076,7.50016
165,2017000949056,2.0,4,2.0,tenager,below-high,female,2,9.02774,7.49495
166,2017000949056,2.0,4,2.0,tenager,below-high,female,2,9.02775,7.49495
167,2017000475165,2.0,7,2.0,adult,college,male,1,9.06771,7.43171
168,2017000827374,3.0,6,2.0,tenager,below-high,male,2,9.08888,7.47989
169,2017000827374,3.0,6,2.0,tenager,below-high,male,2,9.08889,7.47989
170,2021HU0631756,3.0,7,3.0,tenager,below-high,female,2,9.09009,7.48274
171,2021HU0631756,3.0,7,3.0,tenager,below-high,female,2,9.0901,7.48274
172,2021HU0855735,3.0,6,3.0,adult,High-school,male,1,9.045,7.41164
173,2019HU0880303,1.0,10,3.0,young-adult,below-high,female,1,9.07775,7.47358
174,2019HU0109358,3.0,8,3.0,adult,High-school,male,2,9.07239,7.49055
175,2019HU0109358,3.0,8,3.0,adult,High-school,male,2,9.0724,7.49055
176,2020HU0872658,3.0,8,3.0,tenager,below-high,female,2,9.15086,7.33751
177,2020HU0872658,3.0,8,3.0,tenager,below-high,female,2,9.15087,7.33751
178,2019HU0283320,3.0,6,2.0,tenager,below-high,female,1,9.07857,7.49469
179,2018HU1199596,1.0,6,2.0,child,below-high,male,1,9.10528,7.49132
180,2021HU0487482,3.0,10,2.0,tenager,below-high,male,1,9.04787,7.48515
181,2019HU1143460,3.0,6,2.0,tenager,below-high,male,1,9.01602,7.4803
182,2017000134996,2.0,5,1.0,adult,High-school,female,1,9.07179,7.48186
183,2018HU0075553,1.0,3,2.0,adult,below-high,female,1,9.08898,7.47854
184,2018HU1319520,3.0,5,1.0,child,below-high,male,1,9.07328,7.3134
185,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
186,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
187,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
188,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
189,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
190,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
191,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
192,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
193,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
194,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
195,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
196,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
197,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
198,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
199,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
200,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
201,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
202,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
203,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
204,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
205,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
206,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
207,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
208,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
209,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
210,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
211,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
212,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
213,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
214,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
215,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
216,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
217,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
218,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
219,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
220,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
221,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02933,7.58585
222,2021HU0764711,3.0,7,3.0,tenager,below-high,male,38,9.02934,7.58585
223,2021HU0503139,3.0,8,3.0,adult,Bachelor,male,2,9.00882,7.47166
224,2021HU0503139,3.0,8,3.0,adult,Bachelor,male,2,9.00883,7.47166
225,2021HU0220535,3.0,3,1.0,tenager,below-high,female,5,9.07951,7.48491
226,2021HU0220535,3.0,3,1.0,tenager,below-high,female,5,9.07952,7.48491
227,2021HU0220535,3.0,3,1.0,tenager,below-high,female,5,9.07951,7.48491
228,2021HU0220535,3.0,3,1.0,tenager,below-high,female,5,9.07952,7.48491
229,2021HU0220535,3.0,3,1.0,tenager,below-high,female,5,9.07951,7.48491
230,2021HU1304185,2.0,7,1.0,tenager,below-high,female,1,9.07006,7.44913
231,2020HU0625742,3.0,9,2.0,tenager,below-high,male,3,9.07488,7.3962
232,2020HU0625742,3.0,9,2.0,tenager,below-high,male,3,9.07489,7.3962
233,2020HU0625742,3.0,9,2.0,tenager,below-high,male,3,9.07488,7.3962
234,2021HU1072960,3.0,4,1.0,tenager,below-high,female,9,9.05014,7.50859
235,2021HU1072960,3.0,4,1.0,tenager,below-high,female,9,9.05015,7.50859
236,2021HU1072960,3.0,4,1.0,tenager,below-high,female,9,9.05014,7.50859
237,2021HU1072960,3.0,4,1.0,tenager,below-high,female,9,9.05015,7.50859
238,2021HU1072960,3.0,4,1.0,tenager,below-high,female,9,9.05014,7.50859
239,2021HU1072960,3.0,4,1.0,tenager,below-high,female,9,9.05015,7.50859
240,2021HU1072960,3.0,4,1.0,tenager,below-high,female,9,9.05014,7.50859
241,2021HU1072960,3.0,4,1.0,tenager,below-high,female,9,9.05015,7.50859
242,2021HU1072960,3.0,4,1.0,tenager,below-high,female,9,9.05014,7.50859
243,2017000312961,3.0,7,3.0,tenager,below-high,male,1,8.96868,7.43814
244,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
245,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
246,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
247,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
248,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
249,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
250,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
251,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
252,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
253,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
254,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
255,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
256,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
257,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
258,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
259,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
260,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
261,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
262,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
263,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
264,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
265,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
266,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
267,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
268,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
269,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
270,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
271,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
272,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
273,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
274,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
275,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
276,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
277,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
278,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
279,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.086549999999999,7.49035
280,2018HU1387639,3.0,7,3.0,young-adult,High-school,female,37,9.08654,7.49035
281,2020HU1102732,1.0,3,3.0,child,below-high,male,4,9.02057,7.58293
282,2020HU1102732,1.0,3,3.0,child,below-high,male,4,9.020579999999999,7.58293
283,2020HU1102732,1.0,3,3.0,child,below-high,male,4,9.02057,7.58293
284,2020HU1102732,1.0,3,3.0,child,below-high,male,4,9.020579999999999,7.58293
285,2018HU1256815,1.0,6,3.0,tenager,below-high,male,1,9.01345,7.58968
286,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.08068,7.44793
287,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.080689999999999,7.44793
288,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.08068,7.44793
289,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.080689999999999,7.44793
290,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.08068,7.44793
291,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.080689999999999,7.44793
292,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.08068,7.44793
293,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.080689999999999,7.44793
294,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.08068,7.44793
295,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.080689999999999,7.44793
296,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.08068,7.44793
297,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.080689999999999,7.44793
298,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.08068,7.44793
299,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.080689999999999,7.44793
300,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.08068,7.44793
301,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.080689999999999,7.44793
302,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.08068,7.44793
303,2019HU1335744,2.0,10,1.0,child,below-high,female,18,9.080689999999999,7.44793
304,2017000934165,2.0,6,1.0,child,below-high,female,8,9.07917,7.49092
305,2017000934165,2.0,6,1.0,child,below-high,female,8,9.07918,7.49092
306,2017000934165,2.0,6,1.0,child,below-high,female,8,9.07917,7.49092
307,2017000934165,2.0,6,1.0,child,below-high,female,8,9.07918,7.49092
308,2017000934165,2.0,6,1.0,child,below-high,female,8,9.07917,7.49092
309,2017000934165,2.0,6,1.0,child,below-high,female,8,9.07918,7.49092
310,2017000934165,2.0,6,1.0,child,below-high,female,8,9.07917,7.49092
311,2017000934165,2.0,6,1.0,child,below-high,female,8,9.07918,7.49092
312,2020HU0764256,3.0,5,2.0,tenager,below-high,female,1,9.06535,7.3671
313,2019HU0909545,3.0,6,2.0,adult,college,male,2,9.06145,7.46534
314,2019HU0909545,3.0,6,2.0,adult,college,male,2,9.06146,7.46534
315,2017000036514,3.0,7,1.0,tenager,below-high,female,7,8.99687,7.43188
316,2017000036514,3.0,7,1.0,tenager,below-high,female,7,8.996879999999999,7.43188
317,2017000036514,3.0,7,1.0,tenager,below-high,female,7,8.99687,7.43188
318,2017000036514,3.0,7,1.0,tenager,below-high,female,7,8.996879999999999,7.43188
319,2017000036514,3.0,7,1.0,tenager,below-high,female,7,8.99687,7.43188
320,2017000036514,3.0,7,1.0,tenager,below-high,female,7,8.996879999999999,7.43188
321,2017000036514,3.0,7,1.0,tenager,below-high,female,7,8.99687,7.43188
322,2017000623126,3.0,8,1.0,adult,college,female,1,9.07097,7.42997
323,2018HU0569896,3.0,8,2.0,tenager,below-high,male,4,9.07222,7.45426
324,2018HU0569896,3.0,8,2.0,tenager,below-high,male,4,9.07223,7.45426
325,2018HU0569896,3.0,8,2.0,tenager,below-high,male,4,9.07222,7.45426
326,2018HU0569896,3.0,8,2.0,tenager,below-high,male,4,9.07223,7.45426
327,2019HU0204686,3.0,8,2.0,adult,college,male,1,9.01531,7.49134
328,2019HU0730106,3.0,7,2.0,tenager,below-high,female,1,9.06327,7.4301
329,2021HU1395044,2.0,9,1.0,tenager,below-high,female,5,9.08278,7.47638
330,2021HU1395044,2.0,9,1.0,tenager,below-high,female,5,9.08279,7.47638
331,2021HU1395044,2.0,9,1.0,tenager,below-high,female,5,9.08278,7.47638
